lea,district,fy,group,measure,value,reconciles,doc_id
01250000,Harvard,2025,Expenditures Per Pupil,Professional Development,167,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,Expenditures Per Pupil,"Instructional Materials, Equipment and Technology",680,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,Expenditures Per Pupil,"Guidance, Counseling and Testing",936,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,Expenditures Per Pupil,Pupil Services,2537,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,Expenditures Per Pupil,Operations and Maintenance,2137,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,Expenditures Per Pupil,"Insurance, Retirement Programs and Other",4202,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,Expenditures Per Pupil,Total In-District Expenditures,24028,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,Expenditures Per Pupil,Total Expenditures,25565,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,Student Enrollment,In-District FTE Pupils,1012.8,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,Student Enrollment,Out-of-District FTE Pupils,59.3,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,Student Enrollment,Total FTE Pupils,1072.1,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,Student Demographics,Student Headcount,1019,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,Student Demographics,Low-Income % Headcount,0.097,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,Student Demographics,English learner % Headcount,0.035,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,Student Demographics,Students with disabilities % Headcount,0.145,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,Teacher Salaries,Teacher FTE,88.3,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,Teacher Salaries,Teachers per 100 FTE students,8.7,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,Teacher Salaries,Average Teacher Salary,91787,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,Other Staff,Instructional Coach FTE,0.5,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,Other Staff,Instructional Support FTE,5.8,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,Other Staff,Special Education Instructional Support FTE,1,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,Other Staff,Paraprofessional FTE,37.6,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,MCAS Performance,ELA Grades 3-8 % Meets or Exceeds,0.697,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,MCAS Performance,Math Grades 3-8 % Meets or Exceeds,0.663,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,MCAS Performance,ELA Grade 10 % Meets or Exceeds,0.943,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,MCAS Performance,Math Grade 10 % Meets or Exceeds,0.876,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,Expenditures Per Pupil,Administration,984,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,Expenditures Per Pupil,Instructional Leadership,1552,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,Expenditures Per Pupil,Teachers,8002,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,Expenditures Per Pupil,Other Teaching Services,2544,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,Expenditures Per Pupil,Professional Development,176,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,Expenditures Per Pupil,"Instructional Materials, Equipment and Technology",728,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,Expenditures Per Pupil,"Guidance, Counseling and Testing",747,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,Expenditures Per Pupil,Pupil Services,2805,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,Expenditures Per Pupil,Operations and Maintenance,1826,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,Expenditures Per Pupil,"Insurance, Retirement Programs and Other",3806,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,Expenditures Per Pupil,Total In-District Expenditures,23169,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2024,Expenditures Per Pupil,Total Expenditures,25306,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,Student Enrollment,In-District FTE Pupils,1023.8,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,Student Enrollment,Out-of-District FTE Pupils,56.4,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,Student Enrollment,Total FTE Pupils,1080.2,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,Student Demographics,Student Headcount,1020,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,Student Demographics,Low-Income % Headcount,0.075,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,Student Demographics,English learner % Headcount,0.025,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,Student Demographics,Students with disabilities % Headcount,0.101,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,Teacher Salaries,Teacher FTE,91.7,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,Teacher Salaries,Teachers per 100 FTE students,9,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,Teacher Salaries,Average Teacher Salary,90257,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,Other Staff,Instructional Coach FTE,1,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,Other Staff,Instructional Support FTE,6,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,Other Staff,Special Education Instructional Support FTE,1,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,Other Staff,Paraprofessional FTE,36.6,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,MCAS Performance,ELA Grades 3-8 % Meets or Exceeds,0.743,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,MCAS Performance,Math Grades 3-8 % Meets or Exceeds,0.718,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,MCAS Performance,ELA Grade 10 % Meets or Exceeds,0.869,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,MCAS Performance,Math Grade 10 % Meets or Exceeds,0.741,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,Expenditures Per Pupil,Administration,719,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,Expenditures Per Pupil,Instructional Leadership,1416,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,Expenditures Per Pupil,Teachers,8084,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,Expenditures Per Pupil,Other Teaching Services,2213,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,Expenditures Per Pupil,Professional Development,161,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,Expenditures Per Pupil,"Instructional Materials, Equipment and Technology",817,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,Expenditures Per Pupil,"Guidance, Counseling and Testing",798,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,Expenditures Per Pupil,Pupil Services,2594,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,Expenditures Per Pupil,Operations and Maintenance,1919,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,Expenditures Per Pupil,"Insurance, Retirement Programs and Other",3654,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,Expenditures Per Pupil,Total In-District Expenditures,22377,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2023,Expenditures Per Pupil,Total Expenditures,24257,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,Student Enrollment,In-District FTE Pupils,1034.2,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,Student Enrollment,Out-of-District FTE Pupils,60.1,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,Student Enrollment,Total FTE Pupils,1094.3,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,Student Demographics,Student Headcount,1025,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,Student Demographics,Low-Income % Headcount,0.083,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,Student Demographics,English learner % Headcount,0.007,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,Student Demographics,Students with disabilities % Headcount,0.112,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,Teacher Salaries,Teacher FTE,88.5,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,Teacher Salaries,Teachers per 100 FTE students,8.6,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,Teacher Salaries,Average Teacher Salary,92249,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,Other Staff,Instructional Coach FTE,1,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,Other Staff,Instructional Support FTE,4.8,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,Other Staff,Special Education Instructional Support FTE,1,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,Other Staff,Paraprofessional FTE,25,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,MCAS Performance,ELA Grades 3-8 % Meets or Exceeds,0.732,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,MCAS Performance,Math Grades 3-8 % Meets or Exceeds,0.711,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,MCAS Performance,ELA Grade 10 % Meets or Exceeds,0.889,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,MCAS Performance,Math Grade 10 % Meets or Exceeds,0.807,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,Expenditures Per Pupil,Administration,676,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,Expenditures Per Pupil,Instructional Leadership,1256,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,Expenditures Per Pupil,Teachers,7869,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,Expenditures Per Pupil,Other Teaching Services,1821,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,Expenditures Per Pupil,Professional Development,109,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,Expenditures Per Pupil,"Instructional Materials, Equipment and Technology",692,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,Expenditures Per Pupil,"Guidance, Counseling and Testing",593,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,Expenditures Per Pupil,Pupil Services,2627,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,Expenditures Per Pupil,Operations and Maintenance,1553,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,Expenditures Per Pupil,"Insurance, Retirement Programs and Other",3549,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,Expenditures Per Pupil,Total In-District Expenditures,20743,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2022,Expenditures Per Pupil,Total Expenditures,22506,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2021,Student Enrollment,In-District FTE Pupils,1008.1,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2021,Student Enrollment,Out-of-District FTE Pupils,50.5,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2021,Student Enrollment,Total FTE Pupils,1058.6,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2021,Student Demographics,Student Headcount,1006,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2021,Student Demographics,Low-Income % Headcount,0.082,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2021,Student Demographics,English learner % Headcount,0.006,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2021,Student Demographics,Students with disabilities % Headcount,0.111,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2021,Teacher Salaries,Teacher FTE,92,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2021,Teacher Salaries,Teachers per 100 FTE students,9.1,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2021,Teacher Salaries,Average Teacher Salary,86248,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2021,Other Staff,Instructional Coach FTE,1,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2021,Other Staff,Instructional Support FTE,4,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2021,Other Staff,Special Education Instructional Support FTE,1,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2021,Other Staff,Paraprofessional FTE,21.5,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2021,MCAS Performance,ELA Grades 3-8 % Meets or Exceeds,0.768,yes,sources/dese/radar-district-comparison.xlsx
