fy,lea,district,geo_level,grade_span,placement_at_start,cohort_cnt,no_iep_cnt,no_iep_pct,included_cnt,included_pct,sub_separate_cnt,sub_separate_pct,out_of_district_cnt,out_of_district_pct,unaccounted_cnt,reconciles,doc_id
2019,06100000,Ashburnham-Westminster,district,K-12,Substantially Separate Classroom,26,0,0.0,3,0.115,21,0.808,2,0.077,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2019,06100000,Ashburnham-Westminster,district,K-2,Inclusive Setting,79,22,0.278,56,0.709,0,0.0,0,0.0,1,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2019,06100000,Ashburnham-Westminster,district,K-2,Substantially Separate Classroom,3,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
2019,06160000,Ayer Shirley,district,K-12,Inclusive Setting,218,86,0.394,119,0.546,8,0.037,5,0.023,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2019,06160000,Ayer Shirley,district,K-12,Substantially Separate Classroom,25,1,0.04,4,0.16,14,0.56,6,0.24,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2019,06160000,Ayer Shirley,district,K-2,Inclusive Setting,61,12,0.197,46,0.754,3,0.049,0,0.0,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2019,06160000,Ayer Shirley,district,K-2,Substantially Separate Classroom,3,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
2019,06730000,Groton-Dunstable,district,K-12,Inclusive Setting,235,51,0.217,172,0.732,7,0.03,5,0.021,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2019,06730000,Groton-Dunstable,district,K-12,Substantially Separate Classroom,16,0,0.0,1,0.063,12,0.75,3,0.188,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2019,06730000,Groton-Dunstable,district,K-2,Inclusive Setting,58,12,0.207,43,0.741,2,0.034,1,0.017,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2019,06730000,Groton-Dunstable,district,K-2,Substantially Separate Classroom,7,0,0.0,0,0.0,4,0.571,3,0.429,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2019,07350000,North Middlesex,district,K-12,Inclusive Setting,323,39,0.121,256,0.793,16,0.05,11,0.034,1,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2019,07350000,North Middlesex,district,K-12,Substantially Separate Classroom,49,0,0.0,6,0.122,41,0.837,2,0.041,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2019,07350000,North Middlesex,district,K-2,Inclusive Setting,87,13,0.149,66,0.759,5,0.057,3,0.034,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2019,07350000,North Middlesex,district,K-2,Substantially Separate Classroom,23,0,0.0,2,0.087,20,0.87,1,0.043,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2020,00000000,State,state,K-12,Inclusive Setting,83771,15758,0.188,62574,0.747,3732,0.045,1540,0.018,167,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2020,00000000,State,state,K-12,Substantially Separate Classroom,15449,239,0.015,3164,0.205,10609,0.687,1363,0.088,74,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
