fy,lea,district,geo_level,grade_span,placement_at_start,cohort_cnt,no_iep_cnt,no_iep_pct,included_cnt,included_pct,sub_separate_cnt,sub_separate_pct,out_of_district_cnt,out_of_district_pct,unaccounted_cnt,reconciles,doc_id
2020,00000000,State,state,K-2,Inclusive Setting,21774,4661,0.214,15439,0.709,1340,0.062,299,0.014,35,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2020,00000000,State,state,K-2,Substantially Separate Classroom,3683,59,0.016,651,0.177,2670,0.725,295,0.08,8,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2020,01250000,Harvard,district,K-12,Inclusive Setting,79,24,0.304,52,0.658,0,0.0,3,0.038,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2020,01250000,Harvard,district,K-12,Substantially Separate Classroom,3,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
2020,01250000,Harvard,district,K-2,Inclusive Setting,20,8,0.4,11,0.55,0,0.0,1,0.05,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2020,01250000,Harvard,district,K-2,Substantially Separate Classroom,1,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
2020,01620000,Lunenburg,district,K-12,Inclusive Setting,145,51,0.352,88,0.607,5,0.034,1,0.007,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2020,01620000,Lunenburg,district,K-12,Substantially Separate Classroom,20,0,0.0,6,0.3,8,0.4,6,0.3,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2020,01620000,Lunenburg,district,K-2,Inclusive Setting,49,21,0.429,27,0.551,1,0.02,0,0.0,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2020,01620000,Lunenburg,district,K-2,Substantially Separate Classroom,5,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
2020,06100000,Ashburnham-Westminster,district,K-12,Inclusive Setting,264,61,0.231,185,0.701,15,0.057,3,0.011,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2020,06100000,Ashburnham-Westminster,district,K-12,Substantially Separate Classroom,26,0,0.0,2,0.077,22,0.846,2,0.077,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2020,06100000,Ashburnham-Westminster,district,K-2,Inclusive Setting,73,26,0.356,46,0.63,0,0.0,1,0.014,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2020,06100000,Ashburnham-Westminster,district,K-2,Substantially Separate Classroom,2,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
2020,06160000,Ayer Shirley,district,K-12,Inclusive Setting,171,44,0.257,120,0.702,3,0.018,4,0.023,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2020,06160000,Ayer Shirley,district,K-12,Substantially Separate Classroom,24,1,0.042,8,0.333,6,0.25,9,0.375,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2020,06160000,Ayer Shirley,district,K-2,Inclusive Setting,49,5,0.102,41,0.837,3,0.061,0,0.0,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2020,06160000,Ayer Shirley,district,K-2,Substantially Separate Classroom,2,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
2020,06730000,Groton-Dunstable,district,K-12,Inclusive Setting,230,50,0.217,171,0.743,6,0.026,3,0.013,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2020,06730000,Groton-Dunstable,district,K-12,Substantially Separate Classroom,23,1,0.043,5,0.217,13,0.565,4,0.174,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2020,06730000,Groton-Dunstable,district,K-2,Inclusive Setting,61,13,0.213,46,0.754,1,0.016,1,0.016,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2020,06730000,Groton-Dunstable,district,K-2,Substantially Separate Classroom,5,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
2020,07350000,North Middlesex,district,K-12,Inclusive Setting,332,36,0.108,276,0.831,10,0.03,9,0.027,1,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2020,07350000,North Middlesex,district,K-12,Substantially Separate Classroom,70,1,0.014,15,0.214,44,0.629,9,0.129,1,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2020,07350000,North Middlesex,district,K-2,Inclusive Setting,88,7,0.08,75,0.852,3,0.034,3,0.034,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2020,07350000,North Middlesex,district,K-2,Substantially Separate Classroom,30,1,0.033,3,0.1,22,0.733,4,0.133,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2021,00000000,State,state,K-12,Inclusive Setting,79093,17659,0.223,55201,0.698,4245,0.054,1843,0.023,145,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2021,00000000,State,state,K-12,Substantially Separate Classroom,14682,285,0.019,3358,0.229,9350,0.637,1614,0.11,75,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2021,00000000,State,state,K-2,Inclusive Setting,19757,5023,0.254,12865,0.651,1511,0.076,337,0.017,21,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2021,00000000,State,state,K-2,Substantially Separate Classroom,3099,70,0.023,667,0.215,2037,0.657,312,0.101,13,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2021,01250000,Harvard,district,K-12,Inclusive Setting,71,24,0.338,43,0.606,0,0.0,4,0.056,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2021,01250000,Harvard,district,K-12,Substantially Separate Classroom,1,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
