body,slug,years_filed,years_said_none,first_filed,last_filed,filed,said_none,of_years,org_chart_unit
TOWN MANAGER REPORT- KERRY A. SPEIDEL,town-manager-report-kerry-a-speidel,2014,,2014,2014,1,0,14,
Town Manager Report-Heather R. Lemieux,town-manager-report-heather-r-lemieux,2016,,2016,2016,1,0,14,
Trust Fund Commission,trust-fund-commission,2025,,2025,2025,1,0,14,Trust Fund Commission
Trust Funds & Investments,trust-funds-investments,2013,,2013,2013,1,0,14,
Turkey Hill Elementary,turkey-hill-elementary,2017,,2017,2017,1,0,14,
Turkey Hill Middle School,turkey-hill-middle-school,2015,,2015,2015,1,0,14,
Finance Committee Green Communities Committee,finance-committee-green-communities-committee,,2023,,,0,1,14,
Housing Authority,housing-authority,,2020;2021;2022;2023;2024,,,0,5,14,Housing Authority
Master Planning Steering,master-planning-steering,,2025,,,0,1,14,
Submitted,submitted,,2025,,,0,1,14,
Technology 62 Veterans Agent,technology-62-veterans-agent,,2014,,,0,1,14,
