fy,department,person,title,page,as_printed
2017,Technology Department,Steve Malandrinos,Information Technology Director,101,"Respectfully Submitted,"
2018,,Heather R. Lemieux,Town Manager,25,"Respectfully submitted,"
2018,,Heidi Champagne,"Principal, THES",123,"Respectfully Submitted,"
2018,,Jack Rodriquenz,Director,68,Respectfully Submitted
2018,,James P. Marino,Chief James P. Marino,102,Respectfully Submitted
2018,,John Londa,Director of Facilities and Grounds,114,"Respectfully submitted,"
2018,,Julianna Hanscom,Director of Special Services,119,"Respectfully Submitted, Julianna Hanscom, Director of Special Services"
2018,,Rob McGrath,Principal,131,"Respectfully Submitted,"
2018,,Sheila M. Harrity,"Ed.D., Superintendent-Director",135,"Respectfully submitted,"
2018,,Stephen McKenna,Interim Principal,120,"Respectfully submitted,"
2018,,Steve Malandrinos,Information Technology Director,115,"Respectfully Submitted,"
2018,Conservation Commission,Richard Bursch,Chair,59,"Respectfully Submitted,"
2019,,Brandon Kibbe,Chairman,109,"Respectfully submitted,"
2019,,Chile My Manity,"Sheila M. Harrity, Ed.D., Superintendent-Director",138,"Respectfully submitted,"
2019,,Christina Guertin,Principal,124,"Respectfully submitted,"
2019,,Heather R. Lemieux,Town Manager,27,"Respectfully submitted,"
2019,,Heidi Champagne,"Principal, Turkey Hill Elementary School",127,"Respectfully Submitted,"
2019,,John Londa,Director of Facilities and Grounds,117,"Respectfully submitted,"
2019,,Julianna Hanscom,Director of Special Services,122,"Respectfully Submitted,"
2019,,Nadine Lorenzen,Food Service Director,122,Respectfully Submitted
2019,,Public Access,,166,operating budget; or take any other action relative thereto. (Submitted by Public Access
2019,,RA TT W,,170,(Submitted by the Planning Board)
2019,,Steve Malandrinos,IT Director,118,"Respectfully Submitted,"
2019,Cemetery Commission,William Tyler,Chairman,61,"Respectfully Submitted,"
2019,Conservation Commission,Richard Bursch,Chair,63,"Respectfully Submitted,"
2019,Department of Public Works,Jack Rodriquenz,Director,70,Respectfully Submitted
2019,Public Library,Muir Haman,Library Director,78,"Respectfully submitted,"
2020,Ad Hoc Open Space Advisory Committee,Brandon Kibbe,Chairman,98,"Respectfully submitted,"
2020,Architectural Preservation District Commission,Richard McGrath,Chairman,52,Submitted by
2020,Building Department,Casey Burlingame,Building Commissioner/Zoning Enforcement Officer,53,Submitted by
2020,Conservation Commission,Bob Pease,"Chair, Kenneth Jones, Vice-Chair, Jeffrey Viviano, Catie Childs, Carl ",56,"Respectfully Submitted,"
2020,Council on Aging,Susan Doherty,Director,58,"Respectfully submitted,"
2020,Historical Commission,Richard McGrath,Chairman,66,Submitted by
2020,Lunenburg Public Schools,Annica Scott,Interim Director of Teaching & Learning,114,"Respectfully Submitted,"
2020,Lunenburg Public Schools,Chad Adams,Principal,118,"Respectfully submitted,"
2020,Lunenburg Public Schools,Heidi Champagne,Principal,122,"Respectfully Submitted,"
2020,Lunenburg Public Schools,John Londa,Director of Facilities and Grounds,107,"Respectfully submitted,"
2020,Lunenburg Public Schools,Julianna Hanscom,Director of Special Services,112,"Respectfully Submitted,"
2020,Lunenburg Public Schools,Nadine Lorenzen,Food Service Director,116,"Respectfully Submitted,"
2020,Lunenburg Public Schools,Rebecca Hyde,Title I Coordinator/Literacy Specialist,115,"Respectfully submitted,"
2020,Lunenburg Public Schools,Rob McGrath,Principal,126,"Respectfully Submitted, Rob McGrath, Principal"
2020,Lunenburg Public Schools,Steve Malandrinos,IT Director,109,"Respectfully Submitted,"
2020,Lunenburg Public Schools,Tim Santry,Principal,125,"Respectfully Submitted,"
2020,Montachusett Regional Vocational Technical School,Sheila M. Harrity,"Ed.D., Superintendent-Director",130,"Respectfully submitted, Sheila M. Harrity, Ed.D., Superintendent-Director"
2020,Police Department,Thomas L. Gammel,,93,"Sincerely,"
2020,Town Manager,Heather R. Lemieux,Town Manager,21,"Respectfully submitted,"
2020,Veteran's Agent,TJ Blauser,Veterans Services Agent,80,Submitted by
2021,,Chad Adams,Principal,111,"Respectfully submitted,"
2021,,Heather R. Lemieux,Town Manager,22,"Respectfully submitted,"
2021,,Heidi Champagne,Principal,114,"Respectfully Submitted,"
2021,,John C. Murphy,Director of Facilities & Grounds,104,"Respectfully Submitted,"
2021,,Michael Cassidy,Business Manager,105,"Respectfully Submitted,"
2021,,Nadine Lorenzen,Food Service Director,110,"Respectfully Submitted,"
2021,,Sheila M. Harrity,"Ed.D., Superintendent-Director",123,"Respectfully submitted, Sheila M. Harrity, Ed.D., Superintendent-Director"
2021,,Tim Santry,LMHS Principal,117,"Respectfully Submitted,"
