fy,section,department,printed_from,printed_to,pdf_from,pdf_to,state,as_printed
2015,Montachusett Regional Vocational Technical School,Superintendent Message,117,134,117,134,report,Superintendent Message 117
2015,Montachusett Regional Vocational Technical School,TOWN CLERK,135,136,135,136,report,TOWN CLERK 135
2015,Montachusett Regional Vocational Technical School,"Annual Town Meeting- May 2, 2015",137,139,137,139,report,"Annual Town Meeting- May 2, 2015 137"
2015,Montachusett Regional Vocational Technical School,Omnibus Budget FY 2016,140,140,140,140,report,Omnibus Budget FY 2016 140
2015,Montachusett Regional Vocational Technical School,"Special Town Meeting - November 16, 2015",180,200,180,200,report,"Special Town Meeting - November 16, 2015 180"
2015,Montachusett Regional Vocational Technical School,"Annual Town Election- May 16, 2016",201,202,201,202,report,"Annual Town Election- May 16, 2016 201"
2015,Montachusett Regional Vocational Technical School,FY 2016 Elected Officials,203,205,203,205,report,FY 2016 Elected Officials 203
2015,Miscellaneous Information,Town & School Employee Compensation,206,211,206,211,report,Town & School Employee Compensation 206-211
2015,Miscellaneous Information,Committee/Board Meeting Schedule,212,212,212,212,report,Committee/Board Meeting Schedule 212
2015,Miscellaneous Information,Town Office/Department Hours/Phone Numbers,213,214,213,214,report,Town Office/Department Hours/Phone Numbers 213-214
2016,Table Of Contents,Lunenburg Profile Elected Officials- State & Local Appointed Officials,10,17,10,17,report,Lunenburg Profile Elected Officials- State & Local Appointed Officials 10
2016,Administration,Town Manager Report-Heather R. Lemieux,18,19,18,19,report,Town Manager Report-Heather R. Lemieux 18-19
2016,Administration,"Accountant Balance Sheet for year ending June 30, 2016",20,21,20,21,report,"Accountant Balance Sheet for year ending June 30, 2016 20-21"
2016,Administration,General Funds Revenue Chart,22,23,22,23,report,General Funds Revenue Chart 22
2016,Administration,FY 2016 Receipts 23 General Fund Expenditures Chart,24,24,24,24,report,FY 2016 Receipts 23 General Fund Expenditures Chart 24
2016,Administration,General Fund Appropriations Summary & Classification of Accounts,25,30,25,30,report,General Fund Appropriations Summary & Classification of Accounts 25-30
2016,Administration,Special Revenue Funds,31,35,31,35,report,Special Revenue Funds 31-35
2016,Administration,Capital Projects Fund,36,36,36,36,report,Capital Projects Fund 36
2016,Administration,Board of Assessors,37,38,37,38,report,Board of Assessors 37-38
2016,Administration,"Treasurer/Tax Collector Treasurer's Cash as of June 30, 2016",39,39,39,39,report,"Treasurer/Tax Collector Treasurer's Cash as of June 30, 2016 39"
2016,Administration,Trust Funds,40,42,40,42,report,Trust Funds 40-42
2016,Administration,Five Year Outstanding Debt,43,43,43,43,report,Five Year Outstanding Debt 43
2016,Administration,"Debt Repayment Schedule as of June 30, 2016",44,46,44,46,report,"Debt Repayment Schedule as of June 30, 2016 44-46"
2016,Administration,Collection of Taxes,47,49,47,49,report,Collection of Taxes 47-49
2016,Town Services,Agricultural Commission,,,,,no report submitted,Agricultural Commission - no report submitted
2016,Town Services,Architectural Preservation District Commission,,,,,no report submitted,Architectural Preservation District Commission- no report submitted
2016,Town Services,Building Department,52,52,52,52,report,Building Department 52
2016,Town Services,Cemetery Commission,53,53,53,53,report,Cemetery Commission 53
2016,Town Services,Conservation Commission,54,54,54,54,report,Conservation Commission 54
2016,Town Services,Council on Aging,55,56,55,56,report,Council on Aging 55-56
2016,Town Services,Cultural Council,57,58,57,58,report,Cultural Council 57-58
2016,Town Services,Department of Public Works,59,63,59,63,report,Department of Public Works 59-63
2016,Town Services,Finance Committee,64,65,64,65,report,Finance Committee 64-65
2016,Town Services,Green Community Task Force,,,,,no report submitted,Green Community Task Force - no report submitted
2016,Town Services,Historical Commission,66,66,66,66,report,Historical Commission 66
2016,Town Services,Information Technology,67,69,67,69,report,Information Technology 67
2016,Town Services,Library 68-69 Public Access Channel Committee,70,74,70,74,report,Library 68-69 Public Access Channel Committee 70-74
2016,Town Services,Senior Property Tax Work Off Program,75,75,75,75,report,Senior Property Tax Work Off Program 75
2016,Town Services,Sewer Commission,76,77,76,77,report,Sewer Commission 76-77
2016,Town Services,Veterans Services,78,79,78,79,report,Veterans Services 78
2016,Protection Of Persons & Property,Board of Health,80,80,80,80,report,Board of Health 80
2016,Protection Of Persons & Property,Nashoba Associated Boards of Health,81,84,81,84,report,Nashoba Associated Boards of Health 81-84
2016,Protection Of Persons & Property,Fire Department ...o,85,87,85,87,report,Fire Department ...o 85-87
2016,Protection Of Persons & Property,Police Department **•,88,92,88,92,report,Police Department **•. 88-92
2016,Planning,Capital Planning Committee,94,94,94,94,report,Capital Planning Committee 94
2016,Planning,Planning Board,95,96,95,96,report,Planning Board ... 95-96
2016,Planning,Zoning Board of Appeals,97,100,97,100,report,Zoning Board of Appeals 97
2016,Lunenburg Public Schools,Superintendent Message,101,102,101,102,report,Superintendent Message 101-102
2016,Lunenburg Public Schools,School Facilities,103,103,103,103,report,School Facilities 103
2016,Lunenburg Public Schools,Technology Department,104,104,104,104,report,Technology Department 104
2016,Lunenburg Public Schools,Special Services,105,107,105,107,report,Special Services 105-107
2016,Lunenburg Public Schools,School Lunch Program,107,107,107,107,report,School Lunch Program 107
2016,Lunenburg Public Schools,Primary School,108,109,108,109,report,Primary School 108-109
2016,Lunenburg Public Schools,Turkey Hill Elementary School,111,114,111,114,report,Turkey Hill Elementary School 111-114
2016,Lunenburg Public Schools,Middle School,114,116,114,116,report,Middle School 114-116
2016,Lunenburg Public Schools,High School,117,120,117,120,report,High School 117-120
2016,Lunenburg Public Schools,MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL,123,138,123,138,report,MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL 123-138
2016,Lunenburg Public Schools,Superintendent Message,122,139,122,139,report,Superintendent Message 122
2016,Town Clerk,Vital Records Report,140,140,140,140,report,Vital Records Report 140
2016,Town Clerk,"Annual Town Meeting May 5, 2016",141,173,141,173,report,"Annual Town Meeting May 5, 2016 141-173"
2016,Town Clerk,Fiscal Year 2016 Omnibus Budget,174,176,174,176,report,Fiscal Year 2016 Omnibus Budget 174-176
2016,Town Clerk,"Special Town Meeting August 22, 2016",177,182,177,182,report,"Special Town Meeting August 22, 2016 177-182"
2016,Town Clerk,"Special Town Meeting November 28, 2016",183,186,183,186,report,"Special Town Meeting November 28, 2016 183-186"
2016,Town Clerk,"Special State Primary February 2, 2016",187,187,187,187,report,"Special State Primary February 2, 2016 187"
2016,Town Clerk,"Presidential Primary March 1, 2016",188,191,188,191,report,"Presidential Primary March 1, 2016 188-191"
2016,Town Clerk,"Annual Town Election May 21, 2016",192,193,192,193,report,"Annual Town Election May 21, 2016 192-193"
2016,Town Clerk,Fiscal Year 2017 Elected Officials,194,194,194,194,report,Fiscal Year 2017 Elected Officials 194
2016,Town Clerk,"State Election November 8, 2016",195,196,195,196,report,"State Election November 8, 2016 195-196"
2016,Miscellaneous Information,Town & School Employee Compensation,198,202,198,202,report,Town & School Employee Compensation 198-202
