fy,section,department,printed_from,printed_to,pdf_from,pdf_to,state,as_printed
2018,Town Clerk,Fiscal Year 2018 Omnibus Budget,155,155,155,155,report,Fiscal Year 2018 Omnibus Budget 155
2018,Town Clerk,"Special Town Meeting November 13, 2018",220,233,220,233,report,"Special Town Meeting November 13, 2018 220"
2018,Town Clerk,"Annual Town Election May 19, 2018",234,236,234,236,report,"Annual Town Election May 19, 2018 234"
2018,Town Clerk,"State Primary September 4, 2018",237,243,237,243,report,"State Primary September 4, 2018 237"
2018,Town Clerk,"State Election November 6, 2018",244,247,244,247,report,"State Election November 6, 2018 244"
2018,Miscellaneous Information,Town & School Employee Gross Wages ...aaaooaaaaaaao,248,254,248,254,report,Town & School Employee Gross Wages ...aaaooaaaaaaao 248
2018,Miscellaneous Information,Meeting Schedules ooooooooooooo a o,255,255,255,255,report,Meeting Schedules ooooooooooooo a o 255
2018,Miscellaneous Information,Town Office Hours,256,256,256,256,report,Town Office Hours aaaaaaaaaaaaaaa 256
2019,Administration,TOWN MANAGER REPORT,21,25,23,27,report,TOWN MANAGER REPORT 21-25
2019,Accountant,"Balance Sheet for year ending June 30, 2019",26,26,28,28,report,"Balance Sheet for year ending June 30, 2019 26"
2019,Accountant,General Funds Revenue Chart,27,28,29,30,report,General Funds Revenue Chart 27
2019,Accountant,FY 2019 Receipts 28 General Fund Expenditures Chart,29,29,31,31,report,FY 2019 Receipts 28 General Fund Expenditures Chart 29
2019,Accountant,General Fund Appropriations Summary & Classification of Accounts,30,34,32,36,report,General Fund Appropriations Summary & Classification of Accounts 30-34
2019,Accountant,Special Revenue Funds,35,38,37,40,report,Special Revenue Funds 35-38
2019,Accountant,Capital Projects Fund,29,39,31,41,report,Capital Projects Fund 29
2019,Accountant,BOARD OF ASSESSORS,40,41,42,43,report,BOARD OF ASSESSORS 40
2019,Treasurer/Collector,"Treasurer's Cash as of June 30, 2019",42,42,44,44,report,"Treasurer's Cash as of June 30, 2019 42"
2019,Treasurer/Collector,Trust Funds,43,45,45,47,report,Trust Funds 43-45
2019,Treasurer/Collector,Five Year Outstanding Debt,46,46,48,48,report,Five Year Outstanding Debt 46
2019,Treasurer/Collector,Debt Repayment Schedule,47,50,49,52,report,Debt Repayment Schedule 47-50
2019,Treasurer/Collector,Collection of Taxes,51,53,53,55,report,Collection of Taxes 51-53
2019,Town Services,Architectural Preservation District Commission,57,57,59,59,report,Architectural Preservation District Commission 57
2019,Town Services,Building Department,58,58,60,60,report,Building Department 58
2019,Town Services,Cemetery Commission,59,60,61,62,report,Cemetery Commission 59-60
2019,Town Services,Conservation Commission,61,61,63,63,report,Conservation Commission 61
2019,Town Services,Council on Aging,62,62,64,64,report,Council on Aging 62
2019,Town Services,Cultural Council,,,,,no report submitted,Cultural Council No Report Submitted
2019,Town Services,Department of Public Works,63,68,65,70,report,Department of Public Works 63-68
2019,Town Services,Finance Committee,69,70,71,72,report,Finance Committee 69-70
2019,Town Services,Green Community Task Force,,,,,no report submitted,Green Community Task Force No Report Submitted
2019,Town Services,Historical Commission,72,72,74,74,report,Historical Commission 72
2019,Town Services,Information Technology,,,,,no report submitted,Information Technology No Report Submitted
2019,Town Services,Public Library,73,76,75,78,report,Public Library 73-76
2019,Town Services,Public Access Cable Committee,77,82,79,84,report,Public Access Cable Committee 77-82
2019,Town Services,enior Property Tax Work Off Prograr,83,83,85,85,report,enior Property Tax Work Off Prograr 83
2019,Town Services,ewer Commissio,84,85,86,87,report,ewer Commissio 84-85
2019,Town Services,Veteran's Agent,86,96,88,98,report,Veteran's Agent 86
2019,Town Services,3 fire Department Police Department,97,101,99,103,report,3 fire Department Police Department 97-101
2019,Planning,105 Capital Planning Committe lanning Boar,106,106,108,108,report,105 Capital Planning Committe lanning Boar 106
2019,Planning,Ad Hoc Open Space Advisory Committee,107,107,109,109,report,Ad Hoc Open Space Advisory Committee 107
2019,Planning,Zoning Board of Appeals,108,110,110,112,report,Zoning Board of Appeals 108
2019,Education,LUNENBURG PUBLIC SCHOOLS,111,134,113,136,report,LUNENBURG PUBLIC SCHOOLS 111-134
2019,Montachusett Regional Vocational,TECHNICAL SCHOOL,135,151,137,153,report,TECHNICAL SCHOOL 135-151
2019,Town Clerk,"Annual Town Meeting May 4, 2019",155,177,157,179,report,"Annual Town Meeting May 4, 2019 155-177"
2019,Town Clerk,Fiscal Year 2020 Omnibus Budget,159,162,161,164,report,Fiscal Year 2020 Omnibus Budget 159-162
2019,Town Clerk,"Annual Town Election May 18, 2019",191,194,193,196,report,"Annual Town Election May 18, 2019 191-194"
2019,Town Clerk,"Special Town Meeting November 12, 2019",178,190,180,192,report,"Special Town Meeting November 12, 2019 178-190"
2019,Town Clerk,Vital Records Report,194,194,196,196,report,Vital Records Report 194
2019,Miscellaneous Information,Town & School Employee Gross Wages,195,201,197,203,report,Town & School Employee Gross Wages 195-201
2019,Miscellaneous Information,Town Office Hours/Committee Meeting Schedule,203,203,205,205,report,Town Office Hours/Committee Meeting Schedule 203
2020,Table Of Contents,page Lunenburg Profile,5,5,5,5,report,page Lunenburg Profile 5
2020,Table Of Contents,ELECTED OFFICIALS- STATE & LOCAL,6,8,6,8,report,ELECTED OFFICIALS- STATE & LOCAL 6-8
2020,Table Of Contents,APPOINTED OFFICIALS,9,13,9,13,report,APPOINTED OFFICIALS 9-13
2020,Administration,Town Manager,17,21,17,21,report,Town Manager 17-21
2020,Administration,"Accountant Balance Sheet for year ending June 30, 2020",22,22,22,22,report,"Accountant Balance Sheet for year ending June 30, 2020 22"
2020,Administration,General Funds Revenue Chart,23,24,23,24,report,General Funds Revenue Chart 23
2020,Administration,FY 2020 Receipts 24 General Fund Expenditures Chart,25,25,25,25,report,FY 2020 Receipts 24 General Fund Expenditures Chart 25
2020,Administration,General Fund Appropriations Summary & Classification of Accounts,26,30,26,30,report,General Fund Appropriations Summary & Classification of Accounts 26-30
2020,Administration,Special Revenue Funds,31,35,31,35,report,Special Revenue Funds 31-35
2020,Administration,Capital Projects Fund,36,36,36,36,report,Capital Projects Fund 36
2020,Administration,Board of Assessors,37,38,37,38,report,Board of Assessors 37-38
2020,Administration,"Treasurer/Collector Treasurer's Cash as of June 30, 2020",39,39,39,39,report,"Treasurer/Collector Treasurer's Cash as of June 30, 2020 39"
2020,Administration,Trust Funds,40,41,40,41,report,Trust Funds 40-41
2020,Administration,Five Year Outstanding Debt,42,42,42,42,report,Five Year Outstanding Debt 42
2020,Administration,Debt Repayment Schedule,43,46,43,46,report,Debt Repayment Schedule 43-46
2020,Administration,Collection of Taxes,47,49,47,49,report,Collection of Taxes 47-49
2020,Town Services,Agricultural Commission,,,,,no report submitted,Agricultural Commission No Report Submitted
2020,Town Services,Architectural Preservation District Commission,52,52,52,52,report,Architectural Preservation District Commission 52
2020,Town Services,Building Department,53,53,53,53,report,Building Department 53
2020,Town Services,Cemetery Commission,54,55,54,55,report,Cemetery Commission 54-55
2020,Town Services,Conservation Commission,56,56,56,56,report,Conservation Commission 56
2020,Town Services,Council on Aging,57,58,57,58,report,Council on Aging 57-58
2020,Town Services,Cultural Council,,,,,no report submitted,Cultural Council No Report Submitted
2020,Town Services,Department of Public Works,59,63,59,63,report,Department of Public Works 59-63
2020,Town Services,Finance Committee,64,65,64,65,report,Finance Committee 64-65
2020,Town Services,Green Community Task Force,,,,,no report submitted,Green Community Task Force No Report Submitted
2020,Town Services,Historical Commission,66,66,66,66,report,Historical Commission 66
2020,Town Services,Housing Authority,,,,,no report submitted,Housing Authority No Report Submitted
2020,Town Services,Information Technology,67,67,67,67,report,Information Technology 67
2020,Town Services,Public Library,68,70,68,70,report,Public Library aaaaaaaaaaaaaaaa 68-70
2020,Town Services,Public Access Cable Committee,71,76,71,76,report,Public Access Cable Committee dodooooooooooooo 71-76
2020,Table Of Contents,Senior Property Tax Work Off Program,77,77,77,77,report,Senior Property Tax Work Off Program 77
2020,Table Of Contents,Sewer Commission,78,79,78,79,report,Sewer Commission 78-79
2020,Table Of Contents,Veteran's Agent,80,81,80,81,report,Veteran's Agent 80
2020,Table Of Contents,PROTECTION OF PERSONS & PROPERTY page Board of Health,82,82,82,82,report,PROTECTION OF PERSONS & PROPERTY page Board of Health 82
2020,Table Of Contents,Nashoba Associated Boards of Health,83,85,83,85,report,Nashoba Associated Boards of Health 83-85
2020,Table Of Contents,Fire Department,86,88,86,88,report,"Fire Department aaaaaaaaaaaado, 86-88"
2020,Table Of Contents,Police Department,89,93,89,93,report,Police Department 89-93
2020,Planning,Capital Planning Committee,96,96,96,96,report,Capital Planning Committee 96
2020,Planning,Planning Board,97,97,97,97,report,Planning Board 97
2020,Planning,Ad Hoc Open Space Advisory Committee,98,98,98,98,report,Ad Hoc Open Space Advisory Committee 98
2020,Planning,Zoning Board of Appeals,99,101,99,101,report,Zoning Board of Appeals 99
2020,Education,Lunenburg Public Schools,102,128,102,128,report,Lunenburg Public Schools .. 102-128
2020,Education,Montachusett Regional Vocational Technical School,129,144,129,144,report,Montachusett Regional Vocational Technical School 129-144
2020,Town Clerk,Vital Records Report,147,147,147,147,report,Vital Records Report 147
2020,Town Clerk,"Annual Town Meeting June 13, 2020",148,167,148,167,report,"Annual Town Meeting June 13, 2020 148-167"
2020,Town Clerk,"Special Town Meeting November 17, 2020",168,187,168,187,report,"Special Town Meeting November 17, 2020 168-187"
2020,Town Clerk,"Special State Primary Election March 3, 2020",188,191,188,191,report,"Special State Primary Election March 3, 2020 188-191"
2020,Town Clerk,"Presidential Primary Election March 3, 2020",192,195,192,195,report,"Presidential Primary Election March 3, 2020 192-195"
2020,Town Clerk,"Annual Town Election June 20, 2020",196,199,196,199,report,"Annual Town Election June 20, 2020 196-199"
2020,Town Clerk,"State Primary Election Sept. 1, 2020",200,204,200,204,report,"State Primary Election Sept. 1, 2020 200-204"
2020,Town Clerk,"State Election November 3, 2020",205,206,205,206,report,"State Election November 3, 2020 205-206"
2020,Miscellaneous Information,Town & School Employee Gross Wages .....••••,208,214,208,214,report,Town & School Employee Gross Wages .....••••...... 208-214
2020,Miscellaneous Information,Town Office Hours,215,215,215,215,report,Town Office Hours 215
2021,,"Balance Sheet for year ending June 30, 2021",22,22,23,23,report,"Balance Sheet for year ending June 30, 2021 22"
2021,,General Funds Revenue Chart,23,24,24,25,report,General Funds Revenue Chart 23
2021,,FY 2021 Receipts 24 General Fund Expenditures Chart,25,25,26,26,report,FY 2021 Receipts 24 General Fund Expenditures Chart 25
2021,,General Fund Appropriations Summary & Classification of Accounts,26,30,27,31,report,General Fund Appropriations Summary & Classification of Accounts 26
2021,,Special Revenue Funds,31,35,32,36,report,Special Revenue Funds 31
2021,,Capital Projects Fund,36,36,37,37,report,Capital Projects Fund 36
2021,,Board of Assessors,37,37,38,38,report,Board of Assessors 37
2021,,"Treasurer/Collector Treasurer's Cash as of June 30, 2021",38,38,39,39,report,"Treasurer/Collector Treasurer's Cash as of June 30, 2021 38"
2021,,Trust Funds,39,40,40,41,report,Trust Funds 39
2021,,Five Year Outstanding Debt,41,41,42,42,report,Five Year Outstanding Debt 41
2021,,Debt Repayment Schedule,42,45,43,46,report,Debt Repayment Schedule 42
2021,,Collection of Taxes,46,50,47,51,report,Collection of Taxes 46
2021,Town Services,Agricultural Commission,,,,,no report submitted,Agricultural Commission No Report Submitted
2021,Town Services,Architectural Preservation District Commission,51,51,52,52,report,Architectural Preservation District Commission 51
2021,Town Services,Building Department,51,51,52,52,report,Building Department 51
2021,Town Services,Cemetery Commission,52,53,53,54,report,Cemetery Commission 52
2021,Town Services,Conservation Commission,54,54,55,55,report,Conservation Commission 54
2021,Town Services,Council on Aging,55,55,56,56,report,Council on Aging 55
2021,Town Services,Cultural Council,56,56,57,57,report,Cultural Council 56
2021,Town Services,Department of Public Works,57,61,58,62,report,Department of Public Works .. . . . . 57
2021,Town Services,Finance Committee,62,63,63,64,report,Finance Committee 62
2021,Town Services,Green Communities Committee,64,64,65,65,report,Green Communities Committee 64
2021,Town Services,Historical Commission,65,65,66,66,report,Historical Commission 65
2021,Town Services,Housing Authority,,,,,no report submitted,Housing Authority No Report Submitted
2021,Town Services,Information Technology,,,,,no report submitted,Information Technology No Report Submitted
2021,Town Services,Public Library,66,68,67,69,report,Public Library 66
2021,Town Services,Public Access Cable Committee,69,80,70,81,report,Public Access Cable Committee 69
2021,Laluj Mall A,Board of Health,81,81,82,82,report,Board of Health 81
2021,Laluj Mall A,Nashoba Associated Boards of Health,82,84,83,85,report,Nashoba Associated Boards of Health 82
2021,Laluj Mall A,Fire Department,85,87,86,88,report,Fire Department 85
2021,Laluj Mall A,Police Department,88,94,89,95,report,Police Department 88
2021,Planning,Capital Planning Committee,95,95,96,96,report,Capital Planning Committee 95
2021,Planning,Planning Board,96,96,97,97,report,Planning Board 96
2021,Planning,Ad Hoc Open Space Advisory Committee,97,97,98,98,report,Ad Hoc Open Space Advisory Committee 97
2021,Planning,Zoning Board of Appeals,97,98,98,99,report,Zoning Board of Appeals 97
2021,Education,Lunenburg Public Schools,99,120,100,121,report,Lunenburg Public Schools 99
2021,Education,Montachusett Regional Vocational Technical School,121,136,122,137,report,Montachusett Regional Vocational Technical School 121
2021,Town Clerk,Vital Records Report,137,137,138,138,report,Vital Records Report 137
2021,Town Clerk,"Annual Town Meeting May 1, 2021",137,149,138,150,report,"Annual Town Meeting May 1, 2021 137"
2021,Town Clerk,"Special Town Meeting November 16, 2021",150,155,151,156,report,"Special Town Meeting November 16, 2021 150"
2021,Town Clerk,"Annual Town Election May 15, 2021",156,160,157,161,report,"Annual Town Election May 15, 2021 156"
2021,Miscellaneous Information,Town & School Employee Gross Wages,161,167,162,168,report,Town & School Employee Gross Wages 161
2021,Miscellaneous Information,Town Office Hours,168,168,169,169,report,Town Office Hours 168
2022,Table Of Contents,page Lunenburg Profile,6,6,6,6,report,page Lunenburg Profile 6
2022,Table Of Contents,ELECTED OFFICIALS- STATE & LOCAL,7,9,7,9,report,ELECTED OFFICIALS- STATE & LOCAL 7
2022,Table Of Contents,APPOINTED OFFICIALS,10,17,10,17,report,APPOINTED OFFICIALS 10
2022,Administration,Town Manager,18,23,18,23,report,Town Manager 18
2022,Administration,"Accountant Balance Sheet for year ending June 30, 2022",24,24,24,24,report,"Accountant Balance Sheet for year ending June 30, 2022 24"
2022,Administration,General Funds Revenue Chart,25,26,25,26,report,General Funds Revenue Chart 25
2022,Administration,FY 2022 Receipts 26 General Fund Expenditures Chart,27,27,27,27,report,FY 2022 Receipts 26 General Fund Expenditures Chart 27
2022,Administration,General Fund Appropriations Summary & Classification of Accounts,28,32,28,32,report,General Fund Appropriations Summary & Classification of Accounts 28
2022,Administration,Special Revenue Funds,33,37,33,37,report,Special Revenue Funds 33
2022,Administration,Capital Projects Fund,38,38,38,38,report,Capital Projects Fund 38
2022,Administration,Board of Assessors,39,39,39,39,report,Board of Assessors 39
2022,Administration,"Treasurer/Collector Treasurer's Cash as of June 30, 2022",40,40,40,40,report,"Treasurer/Collector Treasurer's Cash as of June 30, 2022 40"
2022,Administration,Trust Funds,41,43,41,43,report,Trust Funds 41
2022,Administration,Five Years Outstanding Debt,44,44,44,44,report,Five Years Outstanding Debt 44
2022,Administration,Debt Repayment Schedule,45,48,45,48,report,Debt Repayment Schedule 45
2022,Administration,Collection of Taxes,49,53,49,53,report,Collection of Taxes 49
2022,Town Services,Agricultural Commission,,,,,no report submitted,Agricultural Commission No Report Submitted
2022,Town Services,Architectural Preservation District Commission,,,,,no report submitted,Architectural Preservation District Commission No Report Submitted
2022,Town Services,Building Department,54,54,54,54,report,Building Department 54
2022,Town Services,Cemetery Commission,54,55,54,55,report,Cemetery Commission 54
2022,Town Services,Conservation Commission,56,56,56,56,report,Conservation Commission 56
2022,Town Services,Council on Aging,57,57,57,57,report,Council on Aging 57
2022,Town Services,Cultural Council,58,58,58,58,report,Cultural Council 58
2022,Town Services,Department of Public Works,59,62,59,62,report,Department of Public Works 59
2022,Town Services,Finance Committee,63,64,63,64,report,Finance Committee 63
2022,Town Services,Green Communities Committee,,,,,no report submitted,Green Communities Committee No Report Submitted
2022,Town Services,Historical Commission,65,65,65,65,report,Historical Commission 65
2022,Town Services,Housing Authority,,,,,no report submitted,Housing Authority No Report Submitted
2022,Town Services,Public Library,66,68,66,68,report,Public Library 66
2022,Town Services,Public Access Cable Committee,69,72,69,72,report,Public Access Cable Committee 69
2022,Town Services,Senior Property Tax Work Off Program,73,73,73,73,report,Senior Property Tax Work Off Program 73
2022,Town Services,Sewer Commission •aaaaaaaaaaaaaa,74,76,74,76,report,Sewer Commission •aaaaaaaaaaaaaa 74
2022,Town Services,Veterans' Services,77,79,77,79,report,Veterans' Services 77
2022,Protection Of Persons & Property,Board of Health,80,80,80,80,report,Board of Health 80
2022,Protection Of Persons & Property,Nashoba Associated Boards of Health,80,83,80,83,report,Nashoba Associated Boards of Health 80
2022,Protection Of Persons & Property,Fire Department,84,85,84,85,report,Fire Department 84
2022,Protection Of Persons & Property,Police Department,86,93,86,93,report,Police Department 86
2022,Planning,Capital Planning Committee,94,94,94,94,report,Capital Planning Committee 94
2022,Planning,Planning Board,95,95,95,95,report,Planning Board 95
2022,Planning,Ad Hoc Open Space Advisory Committee,96,96,96,96,report,Ad Hoc Open Space Advisory Committee 96
2022,Planning,Zoning Board of Appeals,97,99,97,99,report,Zoning Board of Appeals 97
2022,Education,Lunenburg Public Schools,100,119,100,119,report,Lunenburg Public Schools 100
2022,Education,Montachusett Regional Vocational Technical School ooooooooooo a o,120,139,120,139,report,Montachusett Regional Vocational Technical School ooooooooooo a o 120
2022,Town Clerk,Vital Records Report,140,140,140,140,report,Vital Records Report 140
2022,Town Clerk,"Annual Town Meeting May 7, 2022",140,168,140,168,report,"Annual Town Meeting May 7, 2022 140"
2022,Town Clerk,"Special Town Meeting November 15, 2022",169,173,169,173,report,"Special Town Meeting November 15, 2022 169"
2022,Town Clerk,"Annual Town Election May 21, 2022",174,177,174,177,report,"Annual Town Election May 21, 2022 174"
2022,Town Clerk,"State Primary Election September 6, 2022",178,181,178,181,report,"State Primary Election September 6, 2022 178"
2022,Town Clerk,"State Election November 8, 2022",182,185,182,185,report,"State Election November 8, 2022 182"
2022,Miscellaneous Information,Town & School Employee Gross Wages,186,192,186,192,report,Town & School Employee Gross Wages 186
2022,Miscellaneous Information,Town Office Hours •aaaaaaaaaaaaaaa,193,193,193,193,report,Town Office Hours •aaaaaaaaaaaaaaa 193
2023,Table Of Contents,APPOINTED OFFICIALS,10,17,10,17,report,APPOINTED OFFICIALS 10
2023,Administration,Town Manager,18,23,18,23,report,Town Manager 18
2023,Administration,"Accountant Balance Sheet for year ending June 30, 2023",24,24,24,24,report,"Accountant Balance Sheet for year ending June 30, 2023 24"
2023,Administration,General Funds Revenue Chart,25,26,25,26,report,General Funds Revenue Chart 25
2023,Administration,FY 2022 Receipts 26 General Fund Expenditures Chart,27,27,27,27,report,FY 2022 Receipts 26 General Fund Expenditures Chart 27
2023,Administration,General Fund Appropriations Summary & Classification of Accounts,28,43,28,43,report,General Fund Appropriations Summary & Classification of Accounts .. . . 28
2023,Administration,Special Revenue Funds Capital Projects Fund,44,53,44,53,report,Special Revenue Funds Capital Projects Fund 44
2023,Administration,Collection of Taxes,54,70,54,70,report,Collection of Taxes 54
2023,Town Services,Agricultural Commission,,,,,no report submitted,Agricultural Commission No Report Submitted
2023,Town Services,Architectural Preservation District Commission,,,,,no report submitted,Architectural Preservation District Commission No Report Submitted
2023,Town Services,Finance Committee Green Communities Committee,,,,,no report submitted,Finance Committee Green Communities Committee No Report Submitted
2023,Town Services,Historical Commission,,,,,no report submitted,Historical Commission No Report Submitted
2023,Town Services,Housing Authority,,,,,no report submitted,Housing Authority No Report Submitted
2023,Town Services,Public Library,71,74,71,74,report,Public Library 71
2023,Town Services,Public Access Cable Committee,75,81,75,81,report,Public Access Cable Committee 75
2023,Town Services,Sewer Commission,82,83,82,83,report,Sewer Commission 82
2023,Town Services,Veterans' Services,84,87,84,87,report,Veterans' Services 84
2023,Protection Of Persons & Property,Board of Health,88,88,88,88,report,Board of Health 88
2023,Protection Of Persons & Property,Nashoba Associated Boards of Health,88,91,88,91,report,Nashoba Associated Boards of Health 88
2023,Protection Of Persons & Property,Fire Department,92,94,92,94,report,Fire Department . . . . 92
2023,Protection Of Persons & Property,Police Department,95,107,95,107,report,Police Department 95
2023,Planning,Capital Planning Committee,108,108,108,108,report,Capital Planning Committee 108
2023,Planning,Planning Board,109,110,109,110,report,Planning Board .. . .. 109
2023,Planning,Master Planning Steering Committee,111,111,111,111,report,Master Planning Steering Committee . . . . 111
2023,Planning,Ad Hoc Open Space Advisory Committee,112,112,112,112,report,Ad Hoc Open Space Advisory Committee .... 112
2023,Planning,Zoning Board of Appeals,113,115,113,115,report,Zoning Board of Appeals ............. ... 113
2023,Education,Lunenburg Public Schools,116,139,116,139,report,Lunenburg Public Schools 116
2023,Education,Montachusett Regional Vocational Technical School,140,161,140,161,report,Montachusett Regional Vocational Technical School 140
2023,Town Clerk,Vital Records Report,162,162,162,162,report,Vital Records Report 162
2023,Town Clerk,"Annual Town Meeting May 6, 2023",162,171,162,171,report,"Annual Town Meeting May 6, 2023 162"
2023,Town Clerk,"Special Town Meeting November 14, 2023",172,173,172,173,report,"Special Town Meeting November 14, 2023 .. . .. 172"
2023,Town Clerk,"Annual Town Election May 20, 2023",174,189,174,189,report,"Annual Town Election May 20, 2023 .. . .. 174"
2023,Miscellaneous Information,Town & School Employee Gross Wages,190,197,190,197,report,Town & School Employee Gross Wages 190
2023,Miscellaneous Information,Town Office Hours,198,198,198,198,report,Town Office Hours .. .. 198
2024,Table Of Contents,In Memoriam,4,5,4,5,report,In Memoriam Pages 4-5
2024,Table Of Contents,Lunenburg Profile,6,6,6,6,report,Lunenburg Profile Page 6
2024,Table Of Contents,Elected Officials: Sate and Local,7,9,7,9,report,Elected Officials: Sate and Local Pages 7-9
2024,Table Of Contents,Appointed Officials,10,15,10,15,report,Appointed Officials Pages 10-15
2024,Administration,Report of the Town Manager,17,20,17,20,report,Report of the Town Manager Pages 17-20
2024,Administration,"Accountant Balance Sheet for FY Ending June 30, 2024",21,21,21,21,report,"Accountant Balance Sheet for FY Ending June 30, 2024 Page 21"
2024,Administration,General Fund Accounts Receivable Detail,22,22,22,22,report,General Fund Accounts Receivable Detail Page 22
2024,Administration,Special Revenue Fund Balance Detail,23,26,23,26,report,Special Revenue Fund Balance Detail Pages 23-26
2024,Administration,Capital Project Fund,27,27,27,27,report,Capital Project Fund Page 27
2024,Administration,Combining Balance Sheet- Enterprise Funds,28,28,28,28,report,Combining Balance Sheet- Enterprise Funds Page 28
2024,Administration,Trust Fund Balance Detail,29,29,29,29,report,Trust Fund Balance Detail Page 29
2024,Administration,Undesignated Fund Balance Roll-forward,30,30,30,30,report,Undesignated Fund Balance Roll-forward Page 30
2024,Administration,Board of Assessors,31,32,31,32,report,Board of Assessors Pages 31-32
2024,Administration,"Treasurer/Collector Treasurer's Cash as of June 30, 2024",33,33,33,33,report,"Treasurer/Collector Treasurer's Cash as of June 30, 2024 Page 33"
2024,Administration,Trust Funds,34,34,34,34,report,Trust Funds Page 34
2024,Administration,Trust and Stabilization Funds Held by Other Banks,35,35,35,35,report,Trust and Stabilization Funds Held by Other Banks Page 35
2024,Administration,Five Years Outstanding Debt,36,36,36,36,report,Five Years Outstanding Debt Page 36
2024,Administration,Debt Repayment Schedule,37,37,37,37,report,Debt Repayment Schedule Page 37
2024,Administration,Collection of Taxes Receivables Summary,38,39,38,39,report,Collection of Taxes Receivables Summary Pages 38-39
2024,Town Services,Building Department,41,41,41,41,report,Building Department Page 41
2024,Town Services,Cemetery Commission,42,43,42,43,report,Cemetery Commission Pages 42-43
2024,Town Services,Conservation Commission,44,45,44,45,report,Conservation Commission Pages 44-45
2024,Town Services,Council on Aging,46,47,46,47,report,Council on Aging Pages 46-47
2024,Town Services,Cultural Council,47,48,47,48,report,Cultural Council Pages 47-48
2024,Town Services,Department of Public Works,49,52,49,52,report,Department of Public Works Pages 49-52
2024,Town Services,Finance Committee,53,54,53,54,report,Finance Committee Pages 53-54
2024,Town Services,Green Communities Committee,,,,,no report submitted,Green Communities Committee No Report Submitted
2024,Town Services,Historical Committee,55,55,55,55,report,Historical Committee Page 55
2024,Town Services,Housing Authority,,,,,no report submitted,Housing Authority No Report Submitted
2024,Table Of Contents,Lunenburg Public Library,56,59,56,59,report,Lunenburg Public Library Pages 56-59
2024,Table Of Contents,Lunenburg Public Access,60,65,60,65,report,Lunenburg Public Access Pages 60-65
2024,Table Of Contents,Senior Property Tax Work-Off Program,66,66,66,66,report,Senior Property Tax Work-Off Program Page 66
2024,Table Of Contents,Sewer Commission,67,68,67,68,report,Sewer Commission Pages 67-68
2024,Table Of Contents,Veterans' Services,69,70,69,70,report,Veterans' Services Pages 69-70
2024,Protection Of Persons & Property,Board of Health,72,72,72,72,report,Board of Health Page 72
2024,Protection Of Persons & Property,Nashoba Associated Boards of Health,72,75,72,75,report,Nashoba Associated Boards of Health Pages 72-75
2024,Protection Of Persons & Property,Fire Department,76,78,76,78,report,Fire Department Pages 76-78
2024,Protection Of Persons & Property,Police Department,79,85,79,85,report,Police Department Pages 79-85
2024,Planning,Capital Planning Report,87,87,87,87,report,Capital Planning Report Page 87
2024,Planning,Planning Board,88,89,88,89,report,Planning Board Pages 88-89
2024,Planning,Master Planning Steering Committee,,,,,no report submitted,Master Planning Steering Committee No Report Submitted
2024,Planning,Zoning Board of Appeals,90,90,90,90,report,Zoning Board of Appeals Page 90
2024,Planning,Ad Hoc Open Space Advisory Committee to the Planning Board,91,92,91,92,report,Ad Hoc Open Space Advisory Committee to the Planning Board Page 91
2024,Education,Superintendent's Message,93,94,93,94,report,Superintendent's Message Pages 93-94
2024,Education,School Facilities,95,96,95,96,report,School Facilities Pages 95-96
2024,Education,Lunenburg Public Schools IT Review,96,96,96,96,report,Lunenburg Public Schools IT Review Page 96
2024,Education,Special Services Department,97,98,97,98,report,Special Services Department Pages 97-98
2024,Education,Teaching & Learning Models and PD Update,99,100,99,100,report,Teaching & Learning Models and PD Update Pages 99-100
2024,Education,Lunenburg School Food Service,101,101,101,101,report,Lunenburg School Food Service Page 101
2024,Education,Lunenburg Primary School,102,105,102,105,report,Lunenburg Primary School Pages 102-105
2024,Education,Turkey Hill Elementary School,106,108,106,108,report,Turkey Hill Elementary School Pages 106-108
2024,Education,Lunenburg Middle School,109,111,109,111,report,Lunenburg Middle School Pages 109-111
2024,Education,Lunenburg High School,111,115,111,115,report,Lunenburg High School Pages 111-115
2024,Education,Montachusett Regional Vocational Technical School District,116,136,116,136,report,Montachusett Regional Vocational Technical School District Pages 116-136
2024,Town Clerk,Vitals Report,138,138,138,138,report,Vitals Report Page 138
2024,Town Clerk,Town Meeting Excerpts,138,171,138,171,report,Town Meeting Excerpts Page 138-171
2024,Town Clerk,Annual Town Election Results,172,174,172,174,report,Annual Town Election Results 172-174
2024,Town Clerk,State & National Election Results,175,184,175,184,report,State & National Election Results 175-184
2024,Miscellaneous Information,2024 Gross Wages,186,193,186,193,report,2024 Gross Wages 186
2024,Miscellaneous Information,Town Offices Hours,194,194,194,194,report,Town Offices Hours 194
2025,,In Memoriam,1,4,5,8,report,In Memoriam Pages 1-4
2025,,Lunenburg Profile,5,5,9,9,report,Lunenburg Profile Page 5
2025,,Elected Officials: Sate and Local,6,8,10,12,report,Elected Officials: Sate and Local Pages 6-8
2025,,Appointed Officials,9,14,13,18,report,Appointed Officials Pages 9-14
2025,Administration,Report of the Town Manager,16,20,20,24,report,Report of the Town Manager Pages 16-20
2025,Administration,"Accountant Balance Sheet for FY Ending June 30, 2025",21,21,25,25,report,"Accountant Balance Sheet for FY Ending June 30, 2025 Page 21"
