fy,lea,district,geo_level,grades,grades_level,student_group,student_group_level,indicator_category,indicator,printing,denominator_cnt,measure_cnt,measure_pct,value_type,doc_id
2021,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,STUDENT OUTCOMES,4-year cohort graduation rate,1,23,,78.3,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,STUDENT OUTCOMES,5-year cohort graduation rate,1,23,,78.3,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,STUDENT OUTCOMES,9th to 10th grade promotion rate (first-time 9th graders only),1,15,14,93.3,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,STUDENT OUTCOMES,Annual dropout rate,1,50,0,0.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,STUDENT OUTCOMES,Chronically absent rate (% of students absent 10% or more each year),1,250,37,14.8,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,STUDENT OUTCOMES,Student attendance rate,1,250,,94.6,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,STUDENT OUTCOMES,Students absent 10 or more days each year,1,250,72,28.8,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students without Disabilities,detail,ASSESSMENTS (AP and SAT),Jr / Sr AP test takers scoring 3 or above,1,84,67,80.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students without Disabilities,detail,ASSESSMENTS (AP and SAT),Jr / Sr enrolled in one or more AP / IB courses,1,211,104,49.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students without Disabilities,detail,ASSESSMENTS (AP and SAT),Jr / Sr who took AP courses and participated in one or more AP tests,1,104,84,81.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students without Disabilities,detail,ASSESSMENTS (AP and SAT),SAT average score - Mathematics,1,52,,583.0,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students without Disabilities,detail,ASSESSMENTS (AP and SAT),SAT average score - Reading,1,52,,574.0,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students without Disabilities,detail,CONTEXT,Student Enrollment,1,1605,1344,83.7,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students without Disabilities,detail,POSTSECONDARY OUTCOMES,College students persistently enrolled in postsecondary education for the first two years,1,71,61,85.9,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students without Disabilities,detail,POSTSECONDARY OUTCOMES,High school graduates enrolled in 2-year postsecondary education,1,90,11,12.2,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students without Disabilities,detail,POSTSECONDARY OUTCOMES,High school graduates enrolled in 4-year postsecondary education,1,90,60,66.7,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students without Disabilities,detail,POSTSECONDARY OUTCOMES,Students enrolled in postsecondary education in the immediate fall after high school graduation,1,90,71,78.9,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students without Disabilities,detail,PROGRAM OF STUDY,12th graders passing a full year of mathematics coursework,1,103,100,97.1,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students without Disabilities,detail,PROGRAM OF STUDY,12th graders passing a full year of science and technology/engineering coursework,1,103,72,69.9,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students without Disabilities,detail,STUDENT OUTCOMES,9th to 10th grade promotion rate (first-time 9th graders only),1,107,101,94.4,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students without Disabilities,detail,STUDENT OUTCOMES,Chronically absent rate (% of students absent 10% or more each year),1,1382,176,12.7,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students without Disabilities,detail,STUDENT OUTCOMES,Student attendance rate,1,1382,,95.5,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,Students without Disabilities,detail,STUDENT OUTCOMES,Students absent 10 or more days each year,1,1382,351,25.4,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,Grade 10,subset,All Students,all,ASSESSMENTS (Next Gen MCAS),Average student growth percentiles (SGP) - ELA (Grades 10),1,155,,43.2,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,Grade 10,subset,All Students,all,ASSESSMENTS (Next Gen MCAS),Average student growth percentiles (SGP) - Math (Grades 10),1,156,,32.0,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,Grade 10,subset,All Students,all,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on ELA (Grade 10),1,161,113,70.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,Grade 10,subset,All Students,all,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on Math (Grade 10),1,162,83,51.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,Grade 10,subset,Students with Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Average student growth percentiles (SGP) - ELA (Grades 10),1,26,,35.5,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,Grade 10,subset,Students with Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Average student growth percentiles (SGP) - Math (Grades 10),1,27,,28.6,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,Grade 10,subset,Students with Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on ELA (Grade 10),1,28,3,11.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,Grade 10,subset,Students with Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on Math (Grade 10),1,29,0,0.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,Grade 10,subset,Students without Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Average student growth percentiles (SGP) - ELA (Grades 10),1,129,,44.8,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,Grade 10,subset,Students without Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Average student growth percentiles (SGP) - Math (Grades 10),1,129,,32.7,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,Grade 10,subset,Students without Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on ELA (Grade 10),1,133,110,83.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,Grade 10,subset,Students without Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on Math (Grade 10),1,133,83,62.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,Grades 3-8,subset,All Students,all,ASSESSMENTS (Next Gen MCAS),Average student growth percentiles (SGP) - ELA (Grades 3-8),1,695,,46.1,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,Grades 3-8,subset,All Students,all,ASSESSMENTS (Next Gen MCAS),Average student growth percentiles (SGP) - Math (Grades 3-8),1,695,,33.7,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,Grades 3-8,subset,All Students,all,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on ELA (Grades 3-8),1,1055,551,52.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,Grades 3-8,subset,All Students,all,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on Math (Grades 3-8),1,1054,358,34.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,Grades 3-8,subset,All Students,all,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on Science (Grades 5 and 8),1,340,150,44.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,Grades 3-8,subset,Students with Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Average student growth percentiles (SGP) - ELA (Grades 3-8),1,132,,41.3,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,Grades 3-8,subset,Students with Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Average student growth percentiles (SGP) - Math (Grades 3-8),1,133,,37.5,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,Grades 3-8,subset,Students with Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on ELA (Grades 3-8),1,214,41,19.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,Grades 3-8,subset,Students with Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on Math (Grades 3-8),1,214,26,12.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,Grades 3-8,subset,Students with Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on Science (Grades 5 and 8),1,70,17,24.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,Grades 3-8,subset,Students without Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Average student growth percentiles (SGP) - ELA (Grades 3-8),1,563,,47.2,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,Grades 3-8,subset,Students without Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Average student growth percentiles (SGP) - Math (Grades 3-8),1,562,,32.8,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,Grades 3-8,subset,Students without Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on ELA (Grades 3-8),1,841,510,61.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,Grades 3-8,subset,Students without Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on Math (Grades 3-8),1,840,332,40.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,Grades 3-8,subset,Students without Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on Science (Grades 5 and 8),1,270,133,49.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,All Students,all,ASSESSMENTS (AP and SAT),Jr / Sr AP test takers scoring 3 or above,1,53,40,76.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,All Students,all,ASSESSMENTS (AP and SAT),Jr / Sr enrolled in one or more AP / IB courses,1,305,66,22.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,All Students,all,ASSESSMENTS (AP and SAT),Jr / Sr who took AP courses and participated in one or more AP tests,1,72,53,74.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,All Students,all,ASSESSMENTS (AP and SAT),SAT average score - Mathematics,1,60,,600.0,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,All Students,all,ASSESSMENTS (AP and SAT),SAT average score - Reading,1,60,,599.0,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,All Students,all,CONTEXT,Stability rate (enrolled all year),1,2206,2152,97.6,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,All Students,all,CONTEXT,Student Enrollment,1,2206,2206,100.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,All Students,all,POSTSECONDARY OUTCOMES,College students persistently enrolled in postsecondary education for the first two years,1,120,101,84.2,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,All Students,all,POSTSECONDARY OUTCOMES,High school graduates enrolled in 2-year postsecondary education,1,169,17,10.100000000000001,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,All Students,all,POSTSECONDARY OUTCOMES,High school graduates enrolled in 4-year postsecondary education,1,169,103,60.9,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,All Students,all,POSTSECONDARY OUTCOMES,Students enrolled in postsecondary education in the immediate fall after high school graduation,1,169,120,71.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,All Students,all,PROGRAM OF STUDY,12th graders passing a full year of mathematics coursework,1,168,32,19.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,All Students,all,PROGRAM OF STUDY,12th graders passing a full year of science and technology/engineering coursework,1,168,63,37.5,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,All Students,all,PROGRAM OF STUDY,9th graders completing and passing all courses,1,168,150,89.3,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,All Students,all,PROGRAM OF STUDY,High school graduates who completed MassCore,1,169,169,100.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,All Students,all,STUDENT OUTCOMES,4-year cohort graduation rate,1,172,,95.3,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,All Students,all,STUDENT OUTCOMES,5-year cohort graduation rate,1,172,,95.9,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,All Students,all,STUDENT OUTCOMES,9th to 10th grade promotion rate (first-time 9th graders only),1,166,159,95.8,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,All Students,all,STUDENT OUTCOMES,Annual dropout rate,1,635,6,0.9,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,All Students,all,STUDENT OUTCOMES,Chronically absent rate (% of students absent 10% or more each year),1,2270,224,9.9,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,All Students,all,STUDENT OUTCOMES,Student attendance rate,1,2270,,95.5,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,All Students,all,STUDENT OUTCOMES,Students absent 10 or more days each year,1,2270,488,21.5,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,All Students,all,STUDENT OUTCOMES,Students suspended in-school at least once,1,2284,25,1.1,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,All Students,all,STUDENT OUTCOMES,Students suspended out-of-school at least once,1,2284,7,0.3,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students with Disabilities,detail,ASSESSMENTS (AP and SAT),Jr / Sr enrolled in one or more AP / IB courses,1,46,0,0.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students with Disabilities,detail,CONTEXT,Stability rate (enrolled all year),1,469,455,97.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students with Disabilities,detail,CONTEXT,Student Enrollment,1,2206,427,19.400000000000002,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students with Disabilities,detail,POSTSECONDARY OUTCOMES,College students persistently enrolled in postsecondary education for the first two years,1,10,7,70.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students with Disabilities,detail,POSTSECONDARY OUTCOMES,High school graduates enrolled in 2-year postsecondary education,1,32,5,15.6,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students with Disabilities,detail,POSTSECONDARY OUTCOMES,High school graduates enrolled in 4-year postsecondary education,1,32,5,15.6,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students with Disabilities,detail,POSTSECONDARY OUTCOMES,Students enrolled in postsecondary education in the immediate fall after high school graduation,1,32,10,31.3,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students with Disabilities,detail,PROGRAM OF STUDY,12th graders passing a full year of mathematics coursework,1,24,5,20.8,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students with Disabilities,detail,PROGRAM OF STUDY,12th graders passing a full year of science and technology/engineering coursework,1,24,2,8.3,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students with Disabilities,detail,PROGRAM OF STUDY,9th graders completing and passing all courses,1,30,24,80.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students with Disabilities,detail,PROGRAM OF STUDY,High school graduates who completed MassCore,1,32,32,100.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students with Disabilities,detail,SPECIAL EDUCATION STAFF,Special education director FTE,1,,,1.0,FTE,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students with Disabilities,detail,SPECIAL EDUCATION STAFF,Special education paraprofessionals per 100 SWD,1,67.4,415,16.2,FTE per 100 SWD,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students with Disabilities,detail,SPECIAL EDUCATION STAFF,Special education service FTE per 100 SWD,1,0.8,415,4.9,FTE per 100 SWD,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students with Disabilities,detail,SPECIAL EDUCATION STAFF,Special education support FTE per 100 SWD,1,7.5,415,0.6,FTE per 100 SWD,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students with Disabilities,detail,SPECIAL EDUCATION STAFF,Special education teachers per 100 SWD,1,23.3,415,0.2,FTE per 100 SWD,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students with Disabilities,detail,STUDENT OUTCOMES,4-year cohort graduation rate,1,34,,85.3,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students with Disabilities,detail,STUDENT OUTCOMES,5-year cohort graduation rate,1,34,,85.3,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students with Disabilities,detail,STUDENT OUTCOMES,9th to 10th grade promotion rate (first-time 9th graders only),1,28,24,85.7,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students with Disabilities,detail,STUDENT OUTCOMES,Annual dropout rate,1,105,2,1.9,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students with Disabilities,detail,STUDENT OUTCOMES,Chronically absent rate (% of students absent 10% or more each year),1,458,86,18.8,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students with Disabilities,detail,STUDENT OUTCOMES,Student attendance rate,1,458,,92.6,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students with Disabilities,detail,STUDENT OUTCOMES,Students absent 10 or more days each year,1,458,143,31.2,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students with Disabilities,detail,STUDENT OUTCOMES,Students suspended in-school at least once,1,493,12,2.4,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students with Disabilities,detail,STUDENT OUTCOMES,Students suspended out-of-school at least once,1,493,4,0.8,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students without Disabilities,detail,ASSESSMENTS (AP and SAT),Jr / Sr AP test takers scoring 3 or above,1,53,40,76.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students without Disabilities,detail,ASSESSMENTS (AP and SAT),Jr / Sr enrolled in one or more AP / IB courses,1,259,66,26.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students without Disabilities,detail,ASSESSMENTS (AP and SAT),Jr / Sr who took AP courses and participated in one or more AP tests,1,72,53,74.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students without Disabilities,detail,ASSESSMENTS (AP and SAT),SAT average score - Mathematics,1,60,,600.0,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students without Disabilities,detail,ASSESSMENTS (AP and SAT),SAT average score - Reading,1,60,,599.0,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students without Disabilities,detail,CONTEXT,Student Enrollment,1,2206,1779,80.60000000000001,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students without Disabilities,detail,POSTSECONDARY OUTCOMES,College students persistently enrolled in postsecondary education for the first two years,1,110,94,85.5,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students without Disabilities,detail,POSTSECONDARY OUTCOMES,High school graduates enrolled in 2-year postsecondary education,1,137,12,8.799999999999999,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students without Disabilities,detail,POSTSECONDARY OUTCOMES,High school graduates enrolled in 4-year postsecondary education,1,137,98,71.5,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students without Disabilities,detail,POSTSECONDARY OUTCOMES,Students enrolled in postsecondary education in the immediate fall after high school graduation,1,137,110,80.3,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students without Disabilities,detail,PROGRAM OF STUDY,12th graders passing a full year of mathematics coursework,1,144,27,18.8,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students without Disabilities,detail,PROGRAM OF STUDY,12th graders passing a full year of science and technology/engineering coursework,1,144,61,42.4,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students without Disabilities,detail,STUDENT OUTCOMES,9th to 10th grade promotion rate (first-time 9th graders only),1,138,135,97.8,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students without Disabilities,detail,STUDENT OUTCOMES,Chronically absent rate (% of students absent 10% or more each year),1,1812,138,7.6,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students without Disabilities,detail,STUDENT OUTCOMES,Student attendance rate,1,1812,,96.2,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,06100000,Ashburnham-Westminster,district,K-12,all,Students without Disabilities,detail,STUDENT OUTCOMES,Students absent 10 or more days each year,1,1812,345,19.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
