fy,lea,district,geo_level,grades,grades_level,student_group,student_group_level,indicator_category,indicator,printing,denominator_cnt,measure_cnt,measure_pct,value_type,doc_id
2021,01250000,Harvard,district,K-12,all,Students without Disabilities,detail,POSTSECONDARY OUTCOMES,High school graduates enrolled in 4-year postsecondary education,1,83,67,80.7,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01250000,Harvard,district,K-12,all,Students without Disabilities,detail,POSTSECONDARY OUTCOMES,Students enrolled in postsecondary education in the immediate fall after high school graduation,1,83,70,84.3,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01250000,Harvard,district,K-12,all,Students without Disabilities,detail,PROGRAM OF STUDY,12th graders passing a full year of mathematics coursework,1,90,86,95.6,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01250000,Harvard,district,K-12,all,Students without Disabilities,detail,PROGRAM OF STUDY,12th graders passing a full year of science and technology/engineering coursework,1,90,79,87.8,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01250000,Harvard,district,K-12,all,Students without Disabilities,detail,STUDENT OUTCOMES,9th to 10th grade promotion rate (first-time 9th graders only),1,77,76,98.7,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01250000,Harvard,district,K-12,all,Students without Disabilities,detail,STUDENT OUTCOMES,Chronically absent rate (% of students absent 10% or more each year),1,915,33,3.6,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01250000,Harvard,district,K-12,all,Students without Disabilities,detail,STUDENT OUTCOMES,Student attendance rate,1,915,,97.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01250000,Harvard,district,K-12,all,Students without Disabilities,detail,STUDENT OUTCOMES,Students absent 10 or more days each year,1,915,98,10.7,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,Grade 10,subset,All Students,all,ASSESSMENTS (Next Gen MCAS),Average student growth percentiles (SGP) - ELA (Grades 10),1,103,,62.2,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,Grade 10,subset,All Students,all,ASSESSMENTS (Next Gen MCAS),Average student growth percentiles (SGP) - Math (Grades 10),1,103,,45.4,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,Grade 10,subset,All Students,all,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on ELA (Grade 10),1,107,89,83.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,Grade 10,subset,All Students,all,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on Math (Grade 10),1,107,83,78.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
