season,scope,metric,fy,printed,printed_cell,printed_raw,summed_from_rows,difference,ties
Winter,ALL,Full Waiver,2024,18.0,N23,18,18.0,0.0,1
Winter,ALL,Full Waiver,2025,21.0,O23,21,21.0,0.0,1
Winter,ALL,HS Red Fee,2024,5.0,Q23,5,204.0,-199.0,0
Winter,ALL,HS Red Fee,2025,0.0,R23,0,383.5,-383.5,0
Winter,ALL,MS Red Fee,2024,0.0,T23,0,0,0,1
Winter,ALL,MS Red Fee,2025,0.0,U23,0,0,0,1
Winter,ALL,Official,2024,20247.5,AG23,20247.5,20247.5,0.0,1
Winter,ALL,Official,2025,21616.0,AH23,21616,21616.0,0.0,1
Winter,ALL,Police/ EMS,2024,,AM23,,639.0,-639.0,0
Winter,ALL,Police/ EMS,2025,,AN23,,268.4,-268.4,0
Winter,ALL,Total Athletes,2024,197.0,B23,197,187.0,10.0,0
Winter,ALL,Total Athletes,2025,182.0,C23,182,179.0,3.0,0
Winter,ALL,Total Athletes,2026,,D23,,182.0,-182.0,0
Winter,ALL,Total Expenses,2024,130758.63999999998,BN23,130758.63999999998,130758.64,0.0,1
Winter,ALL,Total Expenses,2025,118643.26,BO23,118643.26,118643.26,0.0,1
Winter,ALL,Transportation,2024,39092.0,AS23,39092,39092.0,0.0,1
Winter,ALL,Transportation,2025,29377.5,AT23,29377.5,29377.5,0.0,1
Winter,ALL,Uniforms,2024,6260.96,BE23,6260.96,6260.96,0.0,1
Winter,ALL,Uniforms,2025,5738.0,BF23,5738,5738.0,0.0,1
Winter,HS,2nd Sibling,2024,19.0,H16,19,19.0,0.0,1
Winter,HS,2nd Sibling,2025,16.0,I16,16,16.0,0.0,1
Winter,HS,3rd sibling,2024,1.0,K16,1,1.0,0.0,1
Winter,HS,3rd sibling,2025,1.0,L16,1,1.0,0.0,1
Winter,HS,Assignor,2024,572.5,AJ16,572.5,572.5,0.0,1
Winter,HS,Assignor,2025,656.5,AK16,656.5,656.5,0.0,1
Winter,HS,Coaches,2024,38957.0,AP16,38957,38957.0,0.0,1
Winter,HS,Coaches,2025,36133.0,AQ16,36133,36133.0,0.0,1
Winter,HS,Costs for all 3 Seasons,2024,,AY16,,0,0,1
Winter,HS,Costs for all 3 Seasons,2025,,AZ16,,0,0,1
Winter,HS,Due,2024,32.5,Z16,32.5,32.5,0.0,1
Winter,HS,Due,2025,2000.0,AA16,2000,2000.0,0.0,1
Winter,HS,Dues & Fees,2024,14600.48,BB16,14600.48,14600.48,0.0,1
