board,year,agendas,minutes,minutes_share,basis
Capital Planning Committee,2010,8,0,0.0,town listing
Capital Planning Committee,2011,14,0,0.0,town listing
Capital Planning Committee,2012,6,0,0.0,town listing
Capital Planning Committee,2016,10,10,1.0,town listing
Capital Planning Committee,2017,18,0,0.0,town listing
Capital Planning Committee,2018,10,6,0.6,town listing
Capital Planning Committee,2019,8,5,0.625,town listing
Capital Planning Committee,2020,12,1,0.0833,town listing
Capital Planning Committee,2021,17,5,0.2941,town listing
Capital Planning Committee,2022,15,0,0.0,town listing
Capital Planning Committee,2023,11,3,0.2727,town listing
Capital Planning Committee,2024,9,6,0.6667,town listing
Capital Planning Committee,2025,10,0,0.0,town listing
Capital Planning Committee,2026,2,0,0.0,town listing
Cemetery Commission,2010,4,0,0.0,town listing
Cemetery Commission,2011,5,0,0.0,town listing
Cemetery Commission,2012,5,0,0.0,town listing
Cemetery Commission,2013,1,0,0.0,town listing
Cemetery Commission,2014,9,3,0.3333,town listing
Cemetery Commission,2015,5,1,0.2,town listing
Cemetery Commission,2016,8,5,0.625,town listing
Cemetery Commission,2017,12,7,0.5833,town listing
Cemetery Commission,2018,17,17,1.0,town listing
Cemetery Commission,2019,12,10,0.8333,town listing
Cemetery Commission,2020,3,2,0.6667,town listing
Cemetery Commission,2021,11,10,0.9091,town listing
Cemetery Commission,2022,11,11,1.0,town listing
Cemetery Commission,2023,14,13,0.9286,town listing
Cemetery Commission,2024,9,8,0.8889,town listing
Cemetery Commission,2025,17,16,0.9412,town listing
Cemetery Commission,2026,8,5,0.625,town listing
Charter Review Committee,2017,6,6,1.0,town listing
Charter Review Committee,2018,16,10,0.625,town listing
Charter Review Committee,2019,6,2,0.3333,town listing
Conservation Commission,2010,19,15,0.7895,town listing
Conservation Commission,2011,21,16,0.7619,town listing
Conservation Commission,2012,18,18,1.0,town listing
Conservation Commission,2013,19,0,0.0,town listing
Conservation Commission,2014,17,17,1.0,town listing
Conservation Commission,2015,27,21,0.7778,town listing
Conservation Commission,2016,31,0,0.0,town listing
Conservation Commission,2017,27,22,0.8148,town listing
Conservation Commission,2018,30,22,0.7333,town listing
Conservation Commission,2019,27,22,0.8148,town listing
Conservation Commission,2020,26,20,0.7692,town listing
Conservation Commission,2021,27,17,0.6296,town listing
Conservation Commission,2022,23,22,0.9565,town listing
Conservation Commission,2023,26,22,0.8462,town listing
Conservation Commission,2024,21,21,1.0,town listing
Conservation Commission,2025,28,26,0.9286,town listing
Conservation Commission,2026,28,14,0.5,town listing
Conservation Commission Public Hearing,2025,14,0,0.0,town listing
Council on Aging,2010,11,11,1.0,town listing
Council on Aging,2011,21,14,0.6667,town listing
Council on Aging,2012,23,20,0.8696,town listing
Council on Aging,2013,26,14,0.5385,town listing
Council on Aging,2014,14,10,0.7143,town listing
Council on Aging,2015,11,11,1.0,town listing
Council on Aging,2016,11,11,1.0,town listing
Council on Aging,2017,11,11,1.0,town listing
Council on Aging,2018,12,11,0.9167,town listing
Council on Aging,2019,12,12,1.0,town listing
Council on Aging,2020,6,4,0.6667,town listing
Council on Aging,2021,9,1,0.1111,town listing
Council on Aging,2022,10,10,1.0,town listing
Council on Aging,2023,15,10,0.6667,town listing
Council on Aging,2024,13,12,0.9231,town listing
Council on Aging,2025,12,12,1.0,town listing
Cultural Council,2011,1,1,1.0,town listing
Cultural Council,2012,1,1,1.0,town listing
Cultural Council,2013,1,1,1.0,town listing
Cultural Council,2014,1,1,1.0,town listing
Cultural Council,2015,2,0,0.0,town listing
Cultural Council,2016,1,0,0.0,town listing
Cultural Council,2017,2,0,0.0,town listing
Cultural Council,2018,7,1,0.1429,town listing
Cultural Council,2019,12,5,0.4167,town listing
Cultural Council,2020,1,1,1.0,town listing
Cultural Council,2021,2,1,0.5,town listing
Cultural Council,2022,4,2,0.5,town listing
Cultural Council,2023,10,5,0.5,town listing
Cultural Council,2024,10,1,0.1,town listing
Cultural Council,2025,7,0,0.0,town listing
Cultural Council,2026,2,0,0.0,town listing
Devens Regional Oversight Committee,2011,9,4,0.4444,town listing
Devens Regional Oversight Committee,2012,9,2,0.2222,town listing
Devens Regional Oversight Committee,2013,2,0,0.0,town listing
Economic Development Committee,2021,9,0,0.0,town listing
Economic Development Committee,2022,9,3,0.3333,town listing
Economic Development Committee,2023,12,4,0.3333,town listing
Economic Development Committee,2024,8,5,0.625,town listing
Economic Development Committee,2025,8,2,0.25,town listing
Economic Development Committee,2026,7,2,0.2857,town listing
Finance  Committee Appointing  Committee,2011,5,0,0.0,town listing
Finance  Committee Appointing  Committee,2012,2,0,0.0,town listing
Finance  Committee Appointing  Committee,2013,1,0,0.0,town listing
Finance  Committee Appointing  Committee,2014,1,0,0.0,town listing
Finance  Committee Appointing  Committee,2015,1,0,0.0,town listing
Finance  Committee Appointing  Committee,2016,2,0,0.0,town listing
Finance  Committee Appointing  Committee,2017,1,1,1.0,town listing
Finance  Committee Appointing  Committee,2018,3,3,1.0,town listing
Finance  Committee Appointing  Committee,2019,3,0,0.0,town listing
Finance  Committee Appointing  Committee,2020,2,0,0.0,town listing
Finance  Committee Appointing  Committee,2021,1,0,0.0,town listing
Finance  Committee Appointing  Committee,2022,1,1,1.0,town listing
Finance  Committee Appointing  Committee,2023,4,4,1.0,town listing
Finance  Committee Appointing  Committee,2024,2,2,1.0,town listing
Finance  Committee Appointing  Committee,2025,3,1,0.3333,town listing
Finance  Committee Appointing  Committee,2026,2,1,0.5,town listing
Finance Committee,2010,24,8,0.3333,town listing
Finance Committee,2011,24,24,1.0,town listing
Finance Committee,2012,27,23,0.8519,town listing
Finance Committee,2013,25,23,0.92,town listing
Finance Committee,2014,23,22,0.9565,town listing
Finance Committee,2015,26,22,0.8462,town listing
Finance Committee,2016,30,20,0.6667,town listing
Finance Committee,2017,26,18,0.6923,town listing
Finance Committee,2018,24,11,0.4583,town listing
Finance Committee,2019,28,21,0.75,town listing
Finance Committee,2020,30,21,0.7,town listing
Finance Committee,2021,30,21,0.7,town listing
Finance Committee,2022,25,24,0.96,town listing
Finance Committee,2023,19,18,0.9474,town listing
Finance Committee,2024,29,29,1.0,town listing
Finance Committee,2025,24,22,0.9167,town listing
Finance Committee,2026,22,17,0.7727,town listing
Finance Committee Public Hearing,2023,1,1,1.0,town listing
Finance Committee Public Hearing,2024,1,0,0.0,town listing
Finance Committee Public Hearing,2025,3,0,0.0,town listing
Finance Committee Public Hearing,2026,2,0,0.0,town listing
Green Communities Committee,2009,14,13,0.9286,town listing
Green Communities Committee,2010,11,9,0.8182,town listing
Green Communities Committee,2011,15,14,0.9333,town listing
Green Communities Committee,2012,4,4,1.0,town listing
Green Communities Committee,2013,10,8,0.8,town listing
Green Communities Committee,2014,10,6,0.6,town listing
Green Communities Committee,2015,4,3,0.75,town listing
Green Communities Committee,2016,5,3,0.6,town listing
Green Communities Committee,2017,3,2,0.6667,town listing
Green Communities Committee,2018,3,3,1.0,town listing
Green Communities Committee,2019,1,0,0.0,town listing
Green Communities Committee,2020,4,3,0.75,town listing
Green Communities Committee,2021,6,3,0.5,town listing
Green Communities Committee,2022,8,1,0.125,town listing
Green Communities Committee,2023,7,2,0.2857,town listing
Green Communities Committee,2024,11,9,0.8182,town listing
Green Communities Committee,2025,8,7,0.875,town listing
Green Communities Committee,2026,2,0,0.0,town listing
Historical Commission,2010,6,4,0.6667,town listing
Historical Commission,2011,11,8,0.7273,town listing
Historical Commission,2012,10,10,1.0,town listing
Historical Commission,2013,11,11,1.0,town listing
Historical Commission,2014,14,14,1.0,town listing
Historical Commission,2015,19,18,0.9474,town listing
Historical Commission,2016,11,11,1.0,town listing
Historical Commission,2017,11,6,0.5455,town listing
Historical Commission,2018,12,7,0.5833,town listing
Historical Commission,2019,9,9,1.0,town listing
Historical Commission,2020,8,2,0.25,town listing
Historical Commission,2021,12,5,0.4167,town listing
Historical Commission,2022,11,6,0.5455,town listing
Historical Commission,2023,10,8,0.8,town listing
Historical Commission,2024,14,9,0.6429,town listing
Historical Commission,2025,12,8,0.6667,town listing
Historical Commission,2026,8,4,0.5,town listing
Land Acquisition Committee,2019,11,5,0.4545,town listing
Land Acquisition Committee,2020,1,0,0.0,town listing
Library Board of Trustees,2009,11,10,0.9091,town listing
Library Board of Trustees,2010,10,10,1.0,town listing
Library Board of Trustees,2011,11,10,0.9091,town listing
Library Board of Trustees,2012,24,21,0.875,town listing
Library Board of Trustees,2013,15,14,0.9333,town listing
Library Board of Trustees,2014,16,15,0.9375,town listing
Library Board of Trustees,2015,14,14,1.0,town listing
Library Board of Trustees,2016,11,11,1.0,town listing
Library Board of Trustees,2017,13,7,0.5385,town listing
Library Board of Trustees,2018,11,8,0.7273,town listing
Library Board of Trustees,2019,13,11,0.8462,town listing
Library Board of Trustees,2020,14,14,1.0,town listing
Library Board of Trustees,2021,13,12,0.9231,town listing
Library Board of Trustees,2022,12,12,1.0,town listing
Library Board of Trustees,2023,11,11,1.0,town listing
Library Board of Trustees,2024,11,11,1.0,town listing
Library Board of Trustees,2025,12,11,0.9167,town listing
Library Board of Trustees,2026,7,6,0.8571,town listing
Lunenburg 300th Anniversary Committee,2023,2,2,1.0,town listing
Lunenburg 300th Anniversary Committee,2024,3,3,1.0,town listing
Lunenburg 300th Anniversary Committee,2025,3,3,1.0,town listing
Lunenburg 300th Anniversary Committee,2026,8,6,0.75,town listing
Lunenburg Hazard Mitigation Plan Team Committee,2012,2,1,0.5,town listing
Lunenburg Hazard Mitigation Plan Team Committee,2013,1,0,0.0,town listing
Lunenburg Housing Authority,2010,5,5,1.0,town listing
Lunenburg Housing Authority,2011,9,7,0.7778,town listing
Lunenburg Housing Authority,2012,7,7,1.0,town listing
Lunenburg Housing Authority,2013,7,7,1.0,town listing
Lunenburg Housing Authority,2014,7,7,1.0,town listing
Lunenburg Housing Authority,2015,6,6,1.0,town listing
Lunenburg Housing Authority,2016,8,5,0.625,town listing
Lunenburg Housing Authority,2017,8,7,0.875,town listing
Lunenburg Housing Authority,2018,6,5,0.8333,town listing
Lunenburg Housing Authority,2019,10,8,0.8,town listing
Lunenburg Housing Authority,2020,9,8,0.8889,town listing
Lunenburg Housing Authority,2021,13,9,0.6923,town listing
Lunenburg Housing Authority,2022,13,7,0.5385,town listing
Lunenburg Housing Authority,2023,12,10,0.8333,town listing
Lunenburg Housing Authority,2024,10,8,0.8,town listing
Lunenburg Housing Authority,2025,8,6,0.75,town listing
Lunenburg Housing Authority,2026,5,0,0.0,town listing
Lunenburg Municipal Building Design Committee,2019,3,0,0.0,town listing
Lunenburg Municipal Building Design Committee,2020,21,9,0.4286,town listing
Lunenburg Municipal Building Design Committee,2021,21,12,0.5714,town listing
Lunenburg Municipal Building Design Committee,2022,12,7,0.5833,town listing
Lunenburg Municipal Building Design Committee,2023,7,2,0.2857,town listing
Lunenburg Municipal Building Design Committee,2024,9,9,1.0,town listing
Lunenburg Municipal Building Design Committee,2025,20,11,0.55,town listing
Lunenburg Municipal Building Design Committee,2026,10,8,0.8,town listing
Master Plan Steering Committee,2023,4,4,1.0,town listing
Master Plan Steering Committee,2024,7,4,0.5714,town listing
Master Plan Steering Committee,2025,13,4,0.3077,town listing
Master Plan Steering Committee,2026,1,0,0.0,town listing
Nashoba Valley Reginal Dispatch Committee,2017,14,0,0.0,town listing
Nashoba Valley Reginal Dispatch Committee,2019,1,0,0.0,town listing
Nashoba Valley Reginal Dispatch Committee,2022,5,0,0.0,town listing
Nashoba Valley Reginal Dispatch Committee,2023,6,5,0.8333,town listing
North Central Climate Change Coalition,2024,2,0,0.0,town listing
North Central Climate Change Coalition,2025,4,0,0.0,town listing
Open Space Committee,2012,4,4,1.0,town listing
Open Space Committee,2013,12,8,0.6667,town listing
Open Space Committee,2014,18,4,0.2222,town listing
Open Space Committee,2015,4,0,0.0,town listing
Open Space Committee,2016,2,0,0.0,town listing
Open Space Committee,2017,1,0,0.0,town listing
Open Space Committee,2018,15,9,0.6,town listing
Open Space Committee,2019,8,3,0.375,town listing
Open Space Committee,2020,5,4,0.8,town listing
Open Space Committee,2021,8,5,0.625,town listing
Open Space Committee,2022,8,3,0.375,town listing
Open Space Committee,2023,8,5,0.625,town listing
Open Space Committee,2024,14,3,0.2143,town listing
Open Space Committee,2025,10,6,0.6,town listing
Open Space Committee,2026,7,2,0.2857,town listing
Parks Commission,2010,1,1,1.0,town listing
Parks Commission,2011,4,3,0.75,town listing
Parks Commission,2012,3,2,0.6667,town listing
Parks Commission,2014,12,9,0.75,town listing
Parks Commission,2015,10,3,0.3,town listing
Parks Commission,2016,13,8,0.6154,town listing
Parks Commission,2017,13,13,1.0,town listing
Parks Commission,2018,17,13,0.7647,town listing
Parks Commission,2019,14,6,0.4286,town listing
Parks Commission,2020,19,0,0.0,town listing
Parks Commission,2021,19,16,0.8421,town listing
Parks Commission,2022,17,14,0.8235,town listing
Parks Commission,2023,14,13,0.9286,town listing
Parks Commission,2024,18,17,0.9444,town listing
Parks Commission,2025,12,8,0.6667,town listing
Parks Commission,2026,10,6,0.6,town listing
Personnel Committee,2009,8,4,0.5,town listing
Personnel Committee,2010,13,9,0.6923,town listing
Personnel Committee,2011,10,10,1.0,town listing
Personnel Committee,2012,10,7,0.7,town listing
Personnel Committee,2013,7,4,0.5714,town listing
Personnel Committee,2014,1,1,1.0,town listing
Personnel Committee,2015,10,8,0.8,town listing
Personnel Committee,2016,10,6,0.6,town listing
Personnel Committee,2017,5,4,0.8,town listing
Personnel Committee,2018,7,6,0.8571,town listing
Personnel Committee,2019,10,6,0.6,town listing
Personnel Committee,2020,9,8,0.8889,town listing
Personnel Committee,2021,9,9,1.0,town listing
Personnel Committee,2022,25,19,0.76,town listing
Personnel Committee,2023,26,25,0.9615,town listing
Personnel Committee,2024,12,8,0.6667,town listing
Personnel Committee,2026,5,0,0.0,town listing
Planning Board,2009,25,24,0.96,town listing
Planning Board,2010,25,22,0.88,town listing
Planning Board,2011,50,31,0.62,town listing
Planning Board,2012,40,28,0.7,town listing
Planning Board,2013,51,34,0.6667,town listing
Planning Board,2014,60,53,0.8833,town listing
Planning Board,2015,44,41,0.9318,town listing
Planning Board,2016,46,45,0.9783,town listing
Planning Board,2017,61,46,0.7541,town listing
Planning Board,2018,40,34,0.85,town listing
Planning Board,2019,47,42,0.8936,town listing
Planning Board,2020,37,29,0.7838,town listing
Planning Board,2021,63,51,0.8095,town listing
Planning Board,2022,59,43,0.7288,town listing
Planning Board,2023,37,23,0.6216,town listing
Planning Board,2024,23,15,0.6522,town listing
Planning Board,2025,29,23,0.7931,town listing
Planning Board,2026,17,13,0.7647,town listing
Planning Board Public Hearing,2023,3,0,0.0,town listing
Planning Board Public Hearing,2024,14,2,0.1429,town listing
Planning Board Public Hearing,2025,20,0,0.0,town listing
Planning Board Public Hearing,2026,23,0,0.0,town listing
Public Access Cable Committee (PACC),2010,7,7,1.0,town listing
Public Access Cable Committee (PACC),2011,13,13,1.0,town listing
Public Access Cable Committee (PACC),2012,13,11,0.8462,town listing
Public Access Cable Committee (PACC),2013,18,13,0.7222,town listing
Public Access Cable Committee (PACC),2014,2,1,0.5,town listing
Public Access Cable Committee (PACC),2015,13,13,1.0,town listing
Public Access Cable Committee (PACC),2016,17,15,0.8824,town listing
Public Access Cable Committee (PACC),2017,12,11,0.9167,town listing
Public Access Cable Committee (PACC),2018,9,7,0.7778,town listing
Public Access Cable Committee (PACC),2019,13,11,0.8462,town listing
Public Access Cable Committee (PACC),2020,11,3,0.2727,town listing
Public Access Cable Committee (PACC),2021,14,9,0.6429,town listing
Public Access Cable Committee (PACC),2024,14,9,0.6429,town listing
Public Access Cable Committee (PACC),2025,14,13,0.9286,town listing
Public Access Cable Committee (PACC),2026,9,6,0.6667,town listing
School Advisory Councils & Committees,2011,2,2,1.0,town listing
School Advisory Councils & Committees,2012,6,0,0.0,town listing
School Advisory Councils & Committees,2013,8,0,0.0,town listing
School Advisory Councils & Committees,2014,23,13,0.5652,town listing
School Advisory Councils & Committees,2015,15,3,0.2,town listing
School Advisory Councils & Committees,2016,15,0,0.0,town listing
School Advisory Councils & Committees,2017,18,1,0.0556,town listing
School Advisory Councils & Committees,2018,15,2,0.1333,town listing
School Advisory Councils & Committees,2019,33,4,0.1212,town listing
School Advisory Councils & Committees,2020,15,4,0.2667,town listing
School Advisory Councils & Committees,2021,31,5,0.1613,town listing
School Advisory Councils & Committees,2022,29,0,0.0,town listing
School Advisory Councils & Committees,2023,27,0,0.0,town listing
School Advisory Councils & Committees,2024,22,0,0.0,town listing
School Advisory Councils & Committees,2025,24,4,0.1667,town listing
School Advisory Councils & Committees,2026,9,2,0.2222,town listing
School Building Committee Meeting,2012,20,17,0.85,town listing
School Building Committee Meeting,2013,21,12,0.5714,town listing
School Building Committee Meeting,2014,20,17,0.85,town listing
School Building Committee Meeting,2015,13,11,0.8462,town listing
School Building Committee Meeting,2016,13,4,0.3077,town listing
School Building Committee Meeting,2017,3,0,0.0,town listing
School Building Committee Meeting,2018,2,1,0.5,town listing
School Building Committee Meeting,2019,6,0,0.0,town listing
School Committee,2021,6,0,0.0,town listing
School Committee,2022,33,0,0.0,town listing
School Committee,2023,49,9,0.1837,town listing
School Committee,2024,36,27,0.75,town listing
School Committee,2025,49,31,0.6327,town listing
School Committee,2026,28,14,0.5,town listing
Select Board,2010,19,17,0.8947,town listing
Select Board,2011,39,30,0.7692,town listing
Select Board,2012,44,38,0.8636,town listing
Select Board,2013,43,37,0.8605,town listing
Select Board,2014,41,28,0.6829,town listing
Select Board,2015,40,29,0.725,town listing
Select Board,2016,65,61,0.9385,town listing
Select Board,2017,58,49,0.8448,town listing
Select Board,2018,56,43,0.7679,town listing
Select Board,2019,56,39,0.6964,town listing
Select Board,2020,50,39,0.78,town listing
Select Board,2021,48,41,0.8542,town listing
Select Board,2022,39,36,0.9231,town listing
Select Board,2023,42,42,1.0,town listing
Select Board,2024,49,30,0.6122,town listing
Select Board,2025,62,24,0.3871,town listing
Select Board,2026,47,14,0.2979,town listing
Select Board Public Hearing,2024,6,0,0.0,town listing
Select Board Public Hearing,2025,7,0,0.0,town listing
Select Board Public Hearing,2026,7,0,0.0,town listing
Senior Citizens Tax Work Off Committee,2011,3,3,1.0,town listing
Senior Citizens Tax Work Off Committee,2012,2,2,1.0,town listing
Senior Citizens Tax Work Off Committee,2013,4,2,0.5,town listing
Senior Citizens Tax Work Off Committee,2014,3,3,1.0,town listing
Senior Citizens Tax Work Off Committee,2015,9,7,0.7778,town listing
Senior Citizens Tax Work Off Committee,2018,3,0,0.0,town listing
Sewer Commission,2010,19,14,0.7368,town listing
Sewer Commission,2011,21,7,0.3333,town listing
Sewer Commission,2012,23,9,0.3913,town listing
Sewer Commission,2013,29,3,0.1034,town listing
Sewer Commission,2014,30,17,0.5667,town listing
Sewer Commission,2015,32,18,0.5625,town listing
Sewer Commission,2016,36,24,0.6667,town listing
Sewer Commission,2017,31,23,0.7419,town listing
Sewer Commission,2018,28,25,0.8929,town listing
Sewer Commission,2019,31,20,0.6452,town listing
Sewer Commission,2020,27,22,0.8148,town listing
Sewer Commission,2021,26,18,0.6923,town listing
Sewer Commission,2022,23,21,0.913,town listing
Sewer Commission,2023,22,19,0.8636,town listing
Sewer Commission,2024,24,19,0.7917,town listing
Sewer Commission,2025,26,23,0.8846,town listing
Sewer Commission,2026,19,14,0.7368,town listing
Stormwater Task Force,2016,20,17,0.85,town listing
Stormwater Task Force,2017,16,11,0.6875,town listing
Stormwater Task Force,2018,13,11,0.8462,town listing
Stormwater Task Force,2019,16,13,0.8125,town listing
Stormwater Task Force,2020,2,0,0.0,town listing
Stormwater Task Force,2021,5,1,0.2,town listing
Stormwater Task Force,2022,10,3,0.3,town listing
Stormwater Task Force,2023,6,2,0.3333,town listing
Stormwater Task Force,2024,9,5,0.5556,town listing
Stormwater Task Force,2025,14,0,0.0,town listing
Stormwater Task Force,2026,17,0,0.0,town listing
Town Manager Screening Committee,2016,7,2,0.2857,town listing
Town Manager Screening Committee,2024,11,6,0.5455,town listing
Trust Fund Commission,2014,1,0,0.0,town listing
Trust Fund Commission,2017,1,0,0.0,town listing
Trust Fund Commission,2019,6,5,0.8333,town listing
Trust Fund Commission,2025,11,8,0.7273,town listing
Trust Fund Commission,2026,11,9,0.8182,town listing
Zoning Board of Appeals,2010,9,0,0.0,town listing
Zoning Board of Appeals,2011,18,3,0.1667,town listing
Zoning Board of Appeals,2012,21,1,0.0476,town listing
Zoning Board of Appeals,2013,38,1,0.0263,town listing
Zoning Board of Appeals,2014,35,3,0.0857,town listing
Zoning Board of Appeals,2015,23,8,0.3478,town listing
Zoning Board of Appeals,2016,20,0,0.0,town listing
Zoning Board of Appeals,2017,25,0,0.0,town listing
Zoning Board of Appeals,2018,11,1,0.0909,town listing
Zoning Board of Appeals,2019,20,0,0.0,town listing
Zoning Board of Appeals,2021,14,0,0.0,town listing
Zoning Board of Appeals,2022,19,0,0.0,town listing
Zoning Board of Appeals,2023,28,0,0.0,town listing
Zoning Board of Appeals,2024,23,0,0.0,town listing
Zoning Board of Appeals,2025,15,1,0.0667,town listing
Zoning Board of Appeals,2026,18,0,0.0,town listing
Agricultural Commission,2017,6,6,1.0,held
Agricultural Commission,2018,10,9,0.9,held
Agricultural Commission,2019,11,7,0.6364,held
Agricultural Commission,2020,9,3,0.3333,held
Agricultural Commission,2021,9,6,0.6667,held
Agricultural Commission,2022,12,3,0.25,held
Agricultural Commission,2023,14,10,0.7143,held
Agricultural Commission,2024,20,17,0.85,held
Agricultural Commission,2025,14,13,0.9286,held
Agricultural Commission,2026,6,0,0.0,held
Architectural Preservation District Commission,2016,12,12,1.0,held
Architectural Preservation District Commission,2017,5,5,1.0,held
Architectural Preservation District Commission,2018,10,6,0.6,held
Architectural Preservation District Commission,2019,15,9,0.6,held
Architectural Preservation District Commission,2020,8,1,0.125,held
Architectural Preservation District Commission,2021,14,10,0.7143,held
Architectural Preservation District Commission,2022,19,10,0.5263,held
Architectural Preservation District Commission,2023,11,11,1.0,held
Architectural Preservation District Commission,2024,14,12,0.8571,held
Architectural Preservation District Commission,2025,12,11,0.9167,held
Architectural Preservation District Commission,2026,4,3,0.75,held
Athletic Advisory Council,2023,1,0,0.0,held
Athletic Advisory Council,2024,1,0,0.0,held
Athletic Advisory Council,2025,2,0,0.0,held
BOA Neighborhood ans Site Index Subcommittee,2024,1,0,0.0,held
Board of Assessors,2010,12,12,1.0,held
Board of Assessors,2011,13,12,0.9231,held
Board of Assessors,2012,13,12,0.9231,held
Board of Assessors,2013,13,12,0.9231,held
Board of Assessors,2014,19,15,0.7895,held
Board of Assessors,2015,12,12,1.0,held
Board of Assessors,2016,13,10,0.7692,held
Board of Assessors,2017,14,12,0.8571,held
Board of Assessors,2018,12,10,0.8333,held
Board of Assessors,2019,18,12,0.6667,held
Board of Assessors,2020,16,7,0.4375,held
Board of Assessors,2021,9,7,0.7778,held
Board of Assessors,2022,12,11,0.9167,held
Board of Assessors,2023,25,23,0.92,held
Board of Assessors,2024,30,27,0.9,held
Board of Assessors,2025,23,22,0.9565,held
Board of Assessors,2026,12,7,0.5833,held
Board of Health,2009,13,13,1.0,held
Board of Health,2010,15,11,0.7333,held
Board of Health,2011,16,14,0.875,held
Board of Health,2012,21,16,0.7619,held
Board of Health,2013,15,10,0.6667,held
Board of Health,2014,18,15,0.8333,held
Board of Health,2015,23,12,0.5217,held
Board of Health,2016,20,7,0.35,held
Board of Health,2017,20,5,0.25,held
Board of Health,2018,16,12,0.75,held
Board of Health,2019,16,6,0.375,held
Board of Health,2020,18,12,0.6667,held
Board of Health,2021,16,9,0.5625,held
