fy,lea,district,race_ethnicity,race_level,job_class,educators_headcount,educators_pct,hires_headcount,hires_pct,retained_headcount,retained_pct,reconciles,doc_id
2021,06730000,Groton-Dunstable,"Multi-race, Non-Hisp./Lat.",detail,Other - Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,06730000,Groton-Dunstable,"Multi-race, Non-Hisp./Lat.",detail,Other - Non-Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,06730000,Groton-Dunstable,"Multi-race, Non-Hisp./Lat.",detail,Paraprofessional,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,06730000,Groton-Dunstable,"Multi-race, Non-Hisp./Lat.",detail,Teacher,1,0.005,0,0,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,06730000,Groton-Dunstable,Nat. Haw. or Pacif. Isl.,detail,Administrator,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,06730000,Groton-Dunstable,Nat. Haw. or Pacif. Isl.,detail,Other - Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,06730000,Groton-Dunstable,Nat. Haw. or Pacif. Isl.,detail,Other - Non-Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,06730000,Groton-Dunstable,Nat. Haw. or Pacif. Isl.,detail,Paraprofessional,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,06730000,Groton-Dunstable,Nat. Haw. or Pacif. Isl.,detail,Teacher,0,0,0,0,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,06730000,Groton-Dunstable,White,detail,Administrator,24,0.96,,,20,0.909,yes,sources/state-dese/dese-educators-retention.xlsx
2021,06730000,Groton-Dunstable,White,detail,Other - Licensed,29,1,,,28,0.966,yes,sources/state-dese/dese-educators-retention.xlsx
2021,06730000,Groton-Dunstable,White,detail,Other - Non-Licensed,36,1,,,33,0.917,yes,sources/state-dese/dese-educators-retention.xlsx
2021,06730000,Groton-Dunstable,White,detail,Paraprofessional,59,0.983,,,58,0.906,yes,sources/state-dese/dese-educators-retention.xlsx
2021,06730000,Groton-Dunstable,White,detail,Teacher,192,0.99,17,1,176,0.946,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,Afr. Amer./Black,detail,Administrator,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,Afr. Amer./Black,detail,Other - Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,Afr. Amer./Black,detail,Other - Non-Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,Afr. Amer./Black,detail,Paraprofessional,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,Afr. Amer./Black,detail,Teacher,1,0.004,0,0,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,All Educators,all,Administrator,20,1,,,17,0.895,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,All Educators,all,Other - Licensed,30,1,,,28,0.824,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,All Educators,all,Other - Non-Licensed,44,1,,,45,0.938,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,All Educators,all,Paraprofessional,84,1,,,75,0.815,yes,sources/state-dese/dese-educators-retention.xlsx
2021,07350000,North Middlesex,All Educators,all,Teacher,246,1,18,1,224,0.889,yes,sources/state-dese/dese-educators-retention.xlsx
