id,kind,subkind,code,name,owner,owner_basis,relates_to,purpose,authority,trend_label,report
gf-993,appropriation,transfer,993,TRANSFER TO CAPITAL PROJECT FD,capital-planning-committee,the department the ledger files it under,school-committee,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-996,appropriation,transfer,996,TRANSFER TO TRUST FUNDS,town-meeting,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
rev-411000,revenue,tax,411000,PP TAXES,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-411027,revenue,tax,411027,PP FY27,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-412000,revenue,tax,412000,RE TAXES,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-412027,revenue,tax,412027,RE FY27,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-414100,revenue,tax,414100,CANNAB EX,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-414200,revenue,tax,414200,TAX LIENS,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-414300,revenue,tax,414300,PRO FORMA,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-414500,revenue,tax,414500,DEF PROP,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-414600,revenue,tax,414600,ROLL BACK,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-414700,revenue,tax,414700,SUPPLE TAX,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-415000,revenue,tax,415000,MVE,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-415027,revenue,tax,415027,MV 2027,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-416000,revenue,tax,416000,FARM ANIMA,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-416100,revenue,tax,416100,FOREST LND,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-417100,revenue,tax,417100,INT PP,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-417200,revenue,tax,417200,INT RE,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-417300,revenue,tax,417300,INT MVE,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-417400,revenue,tax,417400,DEMAND MVE,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-417500,revenue,tax,417500,DEMANDS RE,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-417600,revenue,tax,417600,DEMANDS PP,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-417700,revenue,tax,417700,INT PRO FO,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-417800,revenue,tax,417800,PEN/INT LI,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-417900,revenue,tax,417900,INT FARM A,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-418000,revenue,tax,418000,PILOT,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-430100,revenue,fee or permit,430100,POL REP FE,police,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-430200,revenue,fee or permit,430200,FIRE R FEE,fire,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-430300,revenue,fee or permit,430300,FSH G FEES,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-430400,revenue,fee or permit,430400,SD ADM FEE,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
