fy,edition,page,group,fund,forward,receipts,disbursements,carried,row_ties,document,read_by
2022,FY2022,35,PUBLIC SAFETY,K-9 Grant - Stanton Foundation,963.54,,,963.54,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,35,PUBLIC SAFETY,Federal Drug Forfeiture,44919.42,,15000.00,29919.42,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,35,PUBLIC SAFETY,EMPG Grant,102.03,3474.10,3474.10,102.03,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,35,PUBLIC SAFETY,Public Safety Gift Fund,220.38,,15.76,204.62,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,35,PUBLIC SAFETY,Police Gift Fund,4439.10,,,4439.10,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,35,PUBLIC SAFETY,Firefighter Turnout Gear Grant,-2057.82,14707.82,12650.00,0.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,35,PUBLIC SAFETY,HHS Provider Relief Fund,7035.89,,,7035.89,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,35,PUBLIC SAFETY,Municipal Road Safety Grant,776.32,,,776.32,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,35,PUBLIC SAFETY,Byrne Justice Assistance Grant,-1050.50,1050.50,,0.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,35,PUBLIC SAFETY,Medication Disposal Grant,1300.00,,,1300.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,35,PUBLIC SAFETY,AED Equipment Program Grant,0.00,2116.91,2116.91,0.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,35,PUBLIC SAFETY,Bridge Academy Training Grant,0.00,6000.00,9000.00,-3000.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
