board,board_slug,date,kind,file_id,url,first_seen,basis
Agricultural Commission,agricultural-commission,2020-02-20,agenda,517,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02202020-517,,seed
Agricultural Commission,agricultural-commission,2020-02-20,minutes,517,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02202020-517,,seed
Agricultural Commission,agricultural-commission,2020-06-18,agenda,487,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06182020-487,,seed
Agricultural Commission,agricultural-commission,2020-07-16,agenda,488,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07162020-488,,seed
Agricultural Commission,agricultural-commission,2020-08-27,agenda,489,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08272020-489,,seed
Agricultural Commission,agricultural-commission,2020-09-17,agenda,490,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09172020-490,,seed
Agricultural Commission,agricultural-commission,2020-09-17,minutes,490,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09172020-490,,seed
Agricultural Commission,agricultural-commission,2020-10-15,agenda,491,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10152020-491,,seed
Agricultural Commission,agricultural-commission,2020-10-15,minutes,491,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10152020-491,,seed
Agricultural Commission,agricultural-commission,2020-11-19,agenda,492,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11192020-492,,seed
Agricultural Commission,agricultural-commission,2020-12-17,agenda,493,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12172020-493,,seed
Agricultural Commission,agricultural-commission,2021-01-21,agenda,494,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01212021-494,,seed
Agricultural Commission,agricultural-commission,2021-01-21,minutes,494,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01212021-494,,seed
Agricultural Commission,agricultural-commission,2021-02-18,agenda,495,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02182021-495,,seed
Agricultural Commission,agricultural-commission,2021-02-18,minutes,495,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02182021-495,,seed
Agricultural Commission,agricultural-commission,2021-03-18,agenda,496,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03182021-496,,seed
Agricultural Commission,agricultural-commission,2021-03-18,minutes,496,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03182021-496,,seed
Agricultural Commission,agricultural-commission,2021-04-15,agenda,497,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04152021-497,,seed
