fy,department,person,title,page,as_printed
2019,LUNENBURG PUBLIC SCHOOLS,Kelly Harvey,Chairperson,121,Planning Room at the Middle School. The Executive Board is made up of Chairperson Kelly Harvey.
2019,Public Access Cable Committee,Steve Walker,Chair,79,"Steve Walker, Chair"
2019,Public Access Cable Committee,Faith Beall,Vice Chair,79,"Faith Beall, Vice Chair"
2019,TOWN MANAGER REPORT,Jamie Toale,Chairman,25,"building. At the conclusion of the meeting, Chairman Jamie Toale stated the goal of the"
2019,Zoning Board of Appeals,Alfred Gravelle,Chairman,110,"The Zoning Board consists of the following members: Alfred Gravelle, Chairman, James Besarkarski,"
2020,Ad Hoc Open Space Advisory Committee,Brandon Kibbe,Chairman,98,"Brandon Kibbe, Chairman"
2020,Architectural Preservation District Commission,Richard McGrath,Chairman,52,"Richard McGrath, Chairman"
2020,Board of Assessors,Richard Letarte,Chairman,38,"Richard Letarte, Chairman Louis Franco, Member Rena Swezey, Member"
2020,Cemetery Commission,Richard McGrath,Chairman,54,Chairman Richard McGrath. The Commissioners would like to thank the following people and businesses
2020,Conservation Commission,Bob Pease,Chair,56,"Bob Pease, Chair, Kenneth Jones, Vice-Chair, Jeffrey Viviano, Catie Childs, Carl Luck, Jack Rabbitt"
2020,Conservation Commission,Kenneth Jones,Vice-Chair,56,"Bob Pease, Chair, Kenneth Jones, Vice-Chair, Jeffrey Viviano, Catie Childs, Carl Luck, Jack Rabbitt"
2020,Finance Committee,Terri Burchfield,Chairman,65,"Terri Burchfield, Chairman"
2020,Finance Committee,Michelle Walton,Vice-Chairman,65,"Michelle Walton, Vice-Chairman"
2020,Historical Commission,Rebecca Lantry,Chair,66,Chair Rebecca Lantry also resigned. She had more than 15 years of service to Lunenburg as a member of
2020,Historical Commission,Richard McGrath,Chairman,66,"Richard McGrath, Chairman"
2020,Planning Board,Matthew Allison,Chair,97,"Matthew Allison, Chair"
2020,Planning Board,Tanner Cole,Vice Chair,97,"Tanner Cole, Vice Chair"
2020,Public Access Cable Committee,Steve Walker,Chair,71,"Steve Walker, Chair"
2020,Public Access Cable Committee,Faith Beall,Vice Chair,71,"Faith Beall, Vice Chair"
2020,Senior Property Tax Work Off Program,Susan Doherty,Chairperson,77,"Susan Doherty, Chairperson; Julie Belliveau, Vice-Chairperson; Sheila Craigen, Clerk; Laura Boussom,"
2020,Senior Property Tax Work Off Program,Julie Belliveau,Vice-Chairperson,77,"Susan Doherty, Chairperson; Julie Belliveau, Vice-Chairperson; Sheila Craigen, Clerk; Laura Boussom,"
2020,Sewer Commission,Dave MacDonald,Chair,79,"Dave MacDonald, Chair"
2020,Sewer Commission,John Reynolds,Vice Chair,79,"John Reynolds, Vice Chair"
2020,Zoning Board of Appeals,Alfred Gravelle,Chairman,99,"Alfred Gravelle, Chairman,"
2020,Zoning Board of Appeals,James Besarkarski,Vice-Chairman,99,"James Besarkarski, Vice-Chairman,"
