fy,measure,basis,districts,p_min,p25,median,p75,p_max,lunenburg,lunenburg_rank_of_districts,doc_id
2017,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",378,1480.6923,2311.0147,4209.7000,6250.2040,14833.4289,3891.7016,202 of 378,sources/state-dese/dese-ch70-district-profile.xlsx
2017,circuit breaker net claim per eligible student,"FISCAL year, not school year",279,3136.0000,23493.0380,32457.2500,41410.9938,88308.0000,34708.5000,120 of 279,sources/state-dese/dese-circuit-breaker.xlsx
2017,net school spending as a share of required,stage: actual,364,0.1016,1.0767,1.2801,1.4765,16.8275,1.2782,184 of 364,sources/state-dese/dese-ch70-district-profile.xlsx
2017,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,378,0.0474,0.5448,0.7005,0.8320,0.9000,0.5913,259 of 378,sources/state-dese/dese-ch70-district-profile.xlsx
2018,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",379,1498.8519,2363.5038,4228.8584,6373.7610,15127.1736,4265.3988,189 of 379,sources/state-dese/dese-ch70-district-profile.xlsx
2018,circuit breaker net claim per eligible student,"FISCAL year, not school year",281,3688.6000,26325.1111,34563.4925,42856.9231,118340.0000,36339.7143,124 of 281,sources/state-dese/dese-circuit-breaker.xlsx
2018,net school spending as a share of required,stage: actual,361,0.0107,1.1044,1.2978,1.5356,54.8758,1.2978,181 of 361,sources/state-dese/dese-ch70-district-profile.xlsx
2018,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,379,0.0495,0.5446,0.7090,0.8284,0.9000,0.5607,275 of 379,sources/state-dese/dese-ch70-district-profile.xlsx
2019,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",380,1664.0840,2468.7315,4422.6169,6532.4069,16007.3837,4392.8159,192 of 380,sources/state-dese/dese-ch70-district-profile.xlsx
2019,circuit breaker net claim per eligible student,"FISCAL year, not school year",277,867.0000,27019.1325,35577.4000,45030.4348,155638.0000,48219.4167,49 of 277,sources/state-dese/dese-circuit-breaker.xlsx
