fy,lea,district,level,func_cat_code,func_cat_desc,func_code,func_desc,in_out_dist,gen_fund,grants_revolving,total,per_pupil,reconciles,doc_id
2010,00190000,Ayer,detail,TSER,Other Teaching Services,2320,Medical/ Therapeutic Services,In-District,62037,0,62037,51,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,TSER,Other Teaching Services,2325,Substitute Teachers,In-District,70719,0,70719,59,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,TSER,Other Teaching Services,2330,Paraprofessionals,In-District,234391,345087,579478,481,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,TSER,Other Teaching Services,2340,Librarians/Media Center Directors,In-District,75424,0,75424,63,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,category,TSER,Other Teaching Services,TSER,Other Teaching Services,,442571,345087,787658,654,yes,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,total,TTPP,"Expenditure (Admin, Instruction, Operations)",TTPP,"Expenditure (Admin, Instruction, Operations)",,13340881,3350238,16691119,12325,yes,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,TUIT,Payments to Out-of-District Schools,9100,Tuition to Mass. Schools,Out-of-District,741542,46796,788337,0,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,TUIT,Payments to Out-of-District Schools,9110,Tuition for School Choice,Out-of-District,240214,0,240214,0,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,TUIT,Payments to Out-of-District Schools,9120,Tuition to Commonwealth Charter Schools,Out-of-District,404583,0,404583,0,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,TUIT,Payments to Out-of-District Schools,9300,Tuition to Non-Public Schools,Out-of-District,331953,189039,520992,0,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,TUIT,Payments to Out-of-District Schools,9400,Tuition to Collaboratives,Out-of-District,605792,0,605792,0,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,ADMN,Administration,1110,School Committee,In-District,13629,0,13629,15,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,ADMN,Administration,1210,Superintendent,In-District,199887,0,199887,216,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,ADMN,Administration,1410,Business and Finance,In-District,374178,0,374178,405,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,ADMN,Administration,1430,Legal Service for School Committee,In-District,37136,0,37136,40,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,ADMN,Administration,1450,District-wide Information Mgmt & Tech,In-District,196267,0,196267,212,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,category,ADMN,Administration,ADMN,Administration,,821097,0,821097,889,yes,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,BENE,"Insurance, Retirement Programs and Other",5100,Employer Retirement Contributions,In-District,390279,17085,407364,441,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,BENE,"Insurance, Retirement Programs and Other",5200,Insurance for Active Employees,In-District,1638285,40442,1678727,1817,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,BENE,"Insurance, Retirement Programs and Other",5250,Insurance for Retired School Employees,In-District,470316,0,470316,509,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,BENE,"Insurance, Retirement Programs and Other",5260,Other Non-Employee Insurance,In-District,17479,76000,93479,101,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,category,BENE,"Insurance, Retirement Programs and Other",BENE,"Insurance, Retirement Programs and Other",,2516359,133527,2649886,2868,yes,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,GUID,"Guidance, Counseling and Testing",2710,Guidance incl Adjustment Counselors,In-District,270866,102763,373629,404,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,detail,GUID,"Guidance, Counseling and Testing",2800,Psychological Services,In-District,76280,0,76280,83,,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,category,GUID,"Guidance, Counseling and Testing",GUID,"Guidance, Counseling and Testing",,347146,102763,449909,487,yes,sources/state-dese/district-expenditures-by-function.xlsx
2011,00190000,Ayer,rollup,IIII,In-district Expenditure,IIII,In-district Expenditure,,10717909,3131948,13849857,14987,yes,sources/state-dese/district-expenditures-by-function.xlsx
