role_raw,grade_or_dept,rows,role_category,role_grade,classified_by
Art,Specials,2,unknown,,no-rule-matched
Art,Unified Arts: High School,2,teacher,,heading-department
Assistant Principal,School Council,2,administrator,,principal
BCBA,Guidance,2,specialist,,interventionist
BCBA,Learning Center/Special Education,2,specialist,,interventionist
Coordinator,EXTENDED DAY PROGRAM,2,administrator,,director
Custodian/Nigh,Custodians,2,custodian,,custodial
DH,Ith Grade:,2,administrator,,director
DH,Special Ed. High School:,2,administrator,,director
Dean of Students,Administration,2,administrator,,heading-admin
Dept Liaison,Guidance,2,administrator,,director
Dept Liaison,Science,2,administrator,,director
Dept Liaison,Unified Arts,2,administrator,,director
Dept. Head,Foreign Language,2,administrator,,director
Dept. Head,Guidance,2,administrator,,director
Dept. Head,Language Arts,2,administrator,,director
Dept. Head,Math,2,administrator,,director
Dept. Head,Science,2,administrator,,director
Dept. Head,Social Studies,2,administrator,,director
Dept. Head,Special Services,2,administrator,,director
Dept. Head,Unified Arts,2,administrator,,director
Dept. Liaison,Guidance,2,administrator,,director
Director of Food Services,Cafeteria Services,2,administrator,,director
Director of Teaching and Learning,Other Staff,2,administrator,,director
District Health & Safety,Health Office:,2,teacher,,heading-department
ELL Teacher,Learning Center/Sp Ed,2,teacher,,teacher-title
"ELL Teacher, 109",,2,teacher,,teacher-title
FL,Specials,2,unknown,,no-rule-matched
Food Service Director,Food Service,2,administrator,,director
"Gr. 3 Teacher, 214",Learning Center/Special Education,2,teacher,3,teacher-title
"Gr. 4 Teacher, 206",Learning Center/Special Education,2,teacher,4,teacher-title
"Gr. 5 Teacher, 106",Learning Center/Special Education,2,teacher,5,teacher-title
Gr. 6 Para,Paraprofessionals,2,paraprofessional,6,para-title
Gr. 6 Paraprofessional,Learning Ctr./SPED,2,paraprofessional,6,para-title
Gr. 7 Para,Paraprofessionals,2,paraprofessional,7,para-title
Gr. 8 Para,Paraprofessionals,2,paraprofessional,8,para-title
Grade 6,Guidance: Middle School,2,counselor,6,heading-guidance
Grade 6,Paraprofessionals,2,paraprofessional,6,heading-paras
Grade 8 Tutor,LEARNING CENTER,2,paraprofessional,8,tutor-title
Guidance,Health,2,counselor,,counselor
Guidance Sec.,Guidance,2,counselor,,counselor
HS Secretary,Administration:,2,secretary,,clerical
IT Dept.,Social Studies,2,teacher,,heading-department
Interventionist,MITSS,2,specialist,,interventionist
K5 - Teacher,Kindergarten,2,teacher,K,teacher-title
LHS Assistant Principal,Administration:,2,administrator,,principal
Lunenburg High School Café Manager,Cafeteria Services,2,cafeteria,,heading-cafeteria
Lunenburg Middle-High School Café Manager,Cafeteria Services,2,cafeteria,,heading-cafeteria
Maintenance,Office of Facilities & Grounds,2,custodian,,custodial
Manager,Cafeteria,2,cafeteria,,heading-cafeteria
Math Specialist,Other Staff,2,specialist,,interventionist
Member,Lunenburg School Committee:,2,unknown,,no-rule-matched
Music,Specials,2,unknown,,no-rule-matched
Nurse,Central Office,2,nurse,,nurse
OT,Special Ed. Middle School:,2,therapist,,ot-pt
OT,Specialists,2,therapist,,ot-pt
Occup. Therap.,Specialists,2,specialist,,heading-specialists
PE,Unified Arts: High School,2,teacher,,heading-department
PT,Special Ed. Middle School:,2,therapist,,ot-pt
Para,econd Grade Teacher,2,paraprofessional,,para-title
Principal,Administration,2,administrator,,principal
Principal,Administration/Office,2,administrator,,principal
Psychologist,Central Office,2,psychologist,,psychologist
Psychologist,Guidance: Middle School,2,psychologist,,psychologist
SEL,Special Areas,2,teacher,,heading-department
"STEM, 109",Special Areas,2,teacher,,heading-department
School Nurse,,2,nurse,,nurse
School Psych,,2,psychologist,,psychologist
School Psych.,Specialists,2,psychologist,,psychologist
School Technology Coordinator,Technology/Network Service,2,administrator,,director
Secretary (part-time),Special Services,2,secretary,,clerical
Sped Para,,2,paraprofessional,,para-title
Speech,,2,speech_therapist,,speech
Speech,Guidance,2,speech_therapist,,speech
Speech,Guidance: Middle School,2,speech_therapist,,speech
Speech,Learning Center/Special Education,2,speech_therapist,,speech
Speech,Specialists:,2,speech_therapist,,speech
"Speech, 215",Learning Center/Special Education,2,speech_therapist,,speech
Speech/Lang.,,2,speech_therapist,,speech
Speech/Language,Learning Center/Special Education,2,speech_therapist,,speech
Speech/Language,SPECIAL EDUCATION,2,speech_therapist,,speech
TLC Teacher,Achieve,2,teacher,,teacher-title
Teacher,,2,teacher,,teacher-title
Teacher,2B,2,teacher,2,teacher-title
Teacher,2C,2,teacher,2,teacher-title
Teacher,2D,2,teacher,2,teacher-title
Teacher,2E,2,teacher,2,teacher-title
Teacher,2F,2,teacher,,teacher-title
