row,section,function_group,line_item,kind,fy23_actual,fy24_actual,fy25_actual,fy25_budget,fy26_final,fy26_actual_td,fy26_encumb_td,fy27_restoration,fy27_core,fy27_level_service,fy27_balanced,forecast_outyear,restoration_2_24_26,comments
101,EXPENSES,2415 - H.S. Other Instr. Materials,H.S. Math Dues & Fees,line,5000.0,6963.0,6943.5,8194.0,1687.0,626.1,68.9,1700.0,1700.0,1700.0,1700.0,1904.0,1700.0,
102,EXPENSES,2415 - H.S. Other Instr. Materials,H.S. Math Supplies,line,751.31,465.95,788.95,971.0,1019.0,863.89,146.91,540.0,540.0,540.0,540.0,604.8,540.0,
103,EXPENSES,2415 - H.S. Other Instr. Materials,H.S. Social Studies Supplies,line,69.83,1356.4,1078.98,1884.0,1376.0,871.67,113.1,704.0,704.0,704.0,704.0,788.48,704.0,
104,EXPENSES,2415 - H.S. Other Instr. Materials,H.S. World Lang Testing Matrl,line,340.0,185.0,245.0,400.0,633.0,0.0,99.8,400.0,400.0,400.0,400.0,448.0,400.0,
105,EXPENSES,2415 - H.S. Other Instr. Materials,H.S. World Language Supplies,line,1805.24,1394.49,657.53,701.0,271.0,222.67,47.33,2660.0,2660.0,2660.0,2660.0,2979.2,2660.0,
106,EXPENSES,2415 - H.S. Other Instr. Materials,H.S. Art Supplies,line,10891.5,16390.83,20633.01,24495.0,19090.0,18615.33,370.5,20000.0,20000.0,20000.0,20000.0,22400.0,20000.0,
107,EXPENSES,2415 - H.S. Other Instr. Materials,H.S. Health & Human Dev. Suppl,line,2229.77,2562.51,2763.35,3202.0,2713.0,1917.29,785.26,3128.0,3128.0,3128.0,3128.0,3503.36,3128.0,
108,EXPENSES,2415 - H.S. Other Instr. Materials,H.S. Health Periodicals,line,104.39,,,100.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
109,EXPENSES,2415 - H.S. Other Instr. Materials,H.S. Library Expenses,line,440.26,,490.13,500.0,500.0,0.0,499.79,750.0,750.0,750.0,750.0,840.0,750.0,
110,EXPENSES,2415 - H.S. Other Instr. Materials,PERIODICALS,line,336.8,,233.74,280.0,,0.0,0.0,,,,,,,
111,EXPENSES,2415 - H.S. Other Instr. Materials,LIBRARY BOOKS,line,3847.67,3849.87,5499.16,5500.0,0.0,,,2000.0,2000.0,2000.0,2000.0,,2000.0,
112,EXPENSES,2415 - H.S. Other Instr. Materials,H.S. Audio Visual Supplies (Library),line,,96.75,99.95,102.0,299.0,272.94,0.0,,,,,,,
113,EXPENSES,2415 - H.S. Other Instr. Materials,H.S. Foreign Language A.V.,line,150.0,2200.31,3038.43,3083.0,1230.0,875.05,264.16,,,,,,,
114,EXPENSES,2415 - H.S. Other Instr. Materials,H.S. Special Education Instr. Materials,line,2977.3,3327.73,,1836.0,3144.0,0.0,0.0,2215.0,2215.0,2215.0,2215.0,2480.8,2215.0,
115,EXPENSES,2420 - P.S. Instr. Equipment,2420 - P.S. Instr. Equipment,line,,,,,,,,,,,,3858.75,,
116,EXPENSES,2420 - P.S. Instr. Equipment,P.S. Science Supplies (includes STEM),line,3329.04,6357.76,3332.24,5290.0,5222.0,0.0,556.21,3500.0,3500.0,3500.0,3500.0,3858.75,3500.0,
117,EXPENSES,2420 - P.S. Instr. Equipment,PHYSICAL ED SUPPLIES,line,667.36,647.57,504.57,600.0,,,,,,,,,,
118,EXPENSES,2420 - P.S. Instr. Equipment,BAND/MUSIC SUPPLIES,line,1145.87,1117.41,,380.0,,,,,,,,,,
119,EXPENSES,2420 - E.S. Instr.l Equipment,2420 - E.S. Instr.l Equipment,line,,,,,,,,,,,,6496.0,,
