board,board_id,date,kind,file_id,path,url,has_text
Agricultural Commission,2,2020-06-18,agenda,487,agricultural-commission/2020-06-18-agenda-487.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06182020-487,Y
Agricultural Commission,2,2020-07-16,agenda,488,agricultural-commission/2020-07-16-agenda-488.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07162020-488,Y
Agricultural Commission,2,2020-08-27,agenda,489,agricultural-commission/2020-08-27-agenda-489.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08272020-489,Y
Agricultural Commission,2,2020-09-17,agenda,490,agricultural-commission/2020-09-17-agenda-490.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09172020-490,Y
Agricultural Commission,2,2020-09-17,minutes,490,agricultural-commission/2020-09-17-minutes-490.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09172020-490,Y
Agricultural Commission,2,2020-10-15,agenda,491,agricultural-commission/2020-10-15-agenda-491.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10152020-491,Y
Agricultural Commission,2,2020-10-15,minutes,491,agricultural-commission/2020-10-15-minutes-491.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10152020-491,Y
Agricultural Commission,2,2020-11-19,agenda,492,agricultural-commission/2020-11-19-agenda-492.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11192020-492,Y
Agricultural Commission,2,2020-12-17,agenda,493,agricultural-commission/2020-12-17-agenda-493.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12172020-493,Y
Agricultural Commission,2,2021-01-21,agenda,494,agricultural-commission/2021-01-21-agenda-494.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01212021-494,Y
Agricultural Commission,2,2021-01-21,minutes,494,agricultural-commission/2021-01-21-minutes-494.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01212021-494,Y
Agricultural Commission,2,2021-02-18,agenda,495,agricultural-commission/2021-02-18-agenda-495.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02182021-495,Y
Agricultural Commission,2,2021-02-18,minutes,495,agricultural-commission/2021-02-18-minutes-495.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02182021-495,Y
Agricultural Commission,2,2021-03-18,agenda,496,agricultural-commission/2021-03-18-agenda-496.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03182021-496,Y
Agricultural Commission,2,2021-03-18,minutes,496,agricultural-commission/2021-03-18-minutes-496.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03182021-496,Y
Agricultural Commission,2,2021-04-15,agenda,497,agricultural-commission/2021-04-15-agenda-497.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04152021-497,Y
Agricultural Commission,2,2021-04-15,minutes,497,agricultural-commission/2021-04-15-minutes-497.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04152021-497,Y
Agricultural Commission,2,2021-05-20,agenda,498,agricultural-commission/2021-05-20-agenda-498.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05202021-498,Y
Agricultural Commission,2,2021-05-20,minutes,498,agricultural-commission/2021-05-20-minutes-498.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05202021-498,Y
Agricultural Commission,2,2021-06-17,agenda,499,agricultural-commission/2021-06-17-agenda-499.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06172021-499,Y
Agricultural Commission,2,2021-07-15,agenda,500,agricultural-commission/2021-07-15-agenda-500.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07152021-500,Y
Agricultural Commission,2,2021-11-18,agenda,501,agricultural-commission/2021-11-18-agenda-501.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11182021-501,Y
Agricultural Commission,2,2021-11-18,minutes,501,agricultural-commission/2021-11-18-minutes-501.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11182021-501,Y
Agricultural Commission,2,2021-12-16,agenda,502,agricultural-commission/2021-12-16-agenda-502.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12162021-502,Y
Agricultural Commission,2,2022-02-17,agenda,1108,agricultural-commission/2022-02-17-agenda-1108.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02172022-1108,Y
Agricultural Commission,2,2022-02-17,agenda,2106,agricultural-commission/2022-02-17-agenda-2106.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02172022-2106,Y
Agricultural Commission,2,2022-02-17,minutes,1108,agricultural-commission/2022-02-17-minutes-1108.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02172022-1108,Y
Agricultural Commission,2,2022-03-17,agenda,1109,agricultural-commission/2022-03-17-agenda-1109.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03172022-1109,Y
Agricultural Commission,2,2022-04-21,agenda,1114,agricultural-commission/2022-04-21-agenda-1114.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04212022-1114,Y
Agricultural Commission,2,2022-05-19,agenda,1117,agricultural-commission/2022-05-19-agenda-1117.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05192022-1117,Y
Agricultural Commission,2,2022-06-16,agenda,1110,agricultural-commission/2022-06-16-agenda-1110.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06162022-1110,Y
Agricultural Commission,2,2022-07-21,agenda,1116,agricultural-commission/2022-07-21-agenda-1116.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07212022-1116,Y
Agricultural Commission,2,2022-08-05,agenda,1111,agricultural-commission/2022-08-05-agenda-1111.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08052022-1111,Y
Agricultural Commission,2,2022-08-18,agenda,1112,agricultural-commission/2022-08-18-agenda-1112.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08182022-1112,Y
Agricultural Commission,2,2022-09-15,agenda,1113,agricultural-commission/2022-09-15-agenda-1113.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09152022-1113,Y
Agricultural Commission,2,2022-09-15,minutes,1113,agricultural-commission/2022-09-15-minutes-1113.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09152022-1113,Y
Agricultural Commission,2,2022-10-20,agenda,1118,agricultural-commission/2022-10-20-agenda-1118.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10202022-1118,Y
Agricultural Commission,2,2022-10-20,minutes,1118,agricultural-commission/2022-10-20-minutes-1118.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10202022-1118,Y
Agricultural Commission,2,2022-12-15,agenda,1115,agricultural-commission/2022-12-15-agenda-1115.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12152022-1115,Y
Agricultural Commission,2,2023-01-19,agenda,14,agricultural-commission/2023-01-19-agenda-14.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01192023-14,Y
Agricultural Commission,2,2023-01-19,minutes,14,agricultural-commission/2023-01-19-minutes-14.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01192023-14,Y
Agricultural Commission,2,2023-02-16,agenda,13,agricultural-commission/2023-02-16-agenda-13.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02162023-13,Y
Agricultural Commission,2,2023-02-16,minutes,13,agricultural-commission/2023-02-16-minutes-13.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02162023-13,Y
Agricultural Commission,2,2023-03-22,agenda,10,agricultural-commission/2023-03-22-agenda-10.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03222023-10,Y
Agricultural Commission,2,2023-03-22,minutes,10,agricultural-commission/2023-03-22-minutes-10.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03222023-10,Y
Agricultural Commission,2,2023-04-13,agenda,12,agricultural-commission/2023-04-13-agenda-12.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04132023-12,Y
Agricultural Commission,2,2023-04-13,minutes,12,agricultural-commission/2023-04-13-minutes-12.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04132023-12,Y
Agricultural Commission,2,2023-05-11,agenda,11,agricultural-commission/2023-05-11-agenda-11.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05112023-11,Y
Agricultural Commission,2,2023-05-11,minutes,11,agricultural-commission/2023-05-11-minutes-11.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05112023-11,Y
Agricultural Commission,2,2023-06-01,agenda,8,agricultural-commission/2023-06-01-agenda-8.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06012023-8,Y
Agricultural Commission,2,2023-06-01,minutes,8,agricultural-commission/2023-06-01-minutes-8.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06012023-8,Y
Agricultural Commission,2,2023-06-15,agenda,9,agricultural-commission/2023-06-15-agenda-9.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06152023-9,Y
Agricultural Commission,2,2023-06-15,minutes,9,agricultural-commission/2023-06-15-minutes-9.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06152023-9,Y
Agricultural Commission,2,2023-07-20,agenda,401,agricultural-commission/2023-07-20-agenda-401.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07202023-401,Y
Agricultural Commission,2,2023-08-17,agenda,365,agricultural-commission/2023-08-17-agenda-365.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08172023-365,Y
Agricultural Commission,2,2023-08-17,minutes,365,agricultural-commission/2023-08-17-minutes-365.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08172023-365,Y
Agricultural Commission,2,2023-09-14,agenda,328,agricultural-commission/2023-09-14-agenda-328.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09142023-328,Y
Agricultural Commission,2,2023-09-14,minutes,328,agricultural-commission/2023-09-14-minutes-328.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09142023-328,Y
Agricultural Commission,2,2023-10-19,agenda,448,agricultural-commission/2023-10-19-agenda-448.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10192023-448,Y
