board,board_id,date,kind,file_id,path,url
Board of Health,5,2026-05-04,minutes,7792,board-of-health/2026-05-04-minutes-7792.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05042026-7792
Board of Health,5,2026-05-18,agenda,7811,board-of-health/2026-05-18-agenda-7811.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05182026-7811
Board of Health,5,2026-05-18,minutes,7811,board-of-health/2026-05-18-minutes-7811.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05182026-7811
Board of Health,5,2026-06-01,agenda,7833,board-of-health/2026-06-01-agenda-7833.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06012026-7833
Board of Health,5,2026-06-01,minutes,7833,board-of-health/2026-06-01-minutes-7833.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06012026-7833
Board of Health,5,2026-06-15,agenda,7856,board-of-health/2026-06-15-agenda-7856.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06152026-7856
Board of Health,5,2026-06-15,minutes,7856,board-of-health/2026-06-15-minutes-7856.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06152026-7856
Board of Health,5,2026-07-20,agenda,7915,board-of-health/2026-07-20-agenda-7915.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07202026-7915
Board of Health,5,2026-07-20,minutes,7915,board-of-health/2026-07-20-minutes-7915.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07202026-7915
Board of Health,5,2026-08-05,agenda,7943,board-of-health/2026-08-05-agenda-7943.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08052026-7943
Board of Health,5,2026-08-17,agenda,7964,board-of-health/2026-08-17-agenda-7964.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08172026-7964
