kind,sy,org_code,org_name,org_type,stu_grp,subj_cat,subj,test_takers_cnt,tests_taken_cnt,one_test_cnt,two_test_cnt,three_test_cnt,four_test_cnt,five_plus_test_cnt,tests_taken,score_1,score_2,score_3,score_4,score_5,pct_1_2,pct_3_5
participation,2025,01620000,Lunenburg,District,White,Arts,Arts,3,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,White,History and Social Science,Govt RAD: U.S.,28,28,28,0,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,White,History and Social Science,Govt & Pol: U.S.,28,28,28,0,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,White,History and Social Science,Human Geography,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,White,Arts,Studio Art: Drawing,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,White,History and Social Science,History and Social Science,49,52,46,3,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,White,Science and Technology,Biology,6,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,White,Math and Computer Science,Computer Sci A,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,White,Math and Computer Science,Calculus AB,6,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,High Needs,Arts,Studio Art: Drawing,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,High Needs,Math and Computer Science,Calculus AB,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,High Needs,English Language Arts,English Lit/Comp,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,High Needs,History and Social Science,Govt & Pol: U.S.,5,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,High Needs,Arts,2-D Art and Design,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,High Needs,Math and Computer Science,Math and Computer Science,3,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,High Needs,Arts,Arts,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,High Needs,History and Social Science,History and Social Science,7,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,High Needs,History and Social Science,History: U.S.,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,High Needs,Arts,Drawing,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,High Needs,History and Social Science,Govt RAD: U.S.,5,,,,,,,,,,,,,,
