dor_code,municipality,fy,starting_balance,revenues,expenditures,fund_balance,flag,source_file,sha256
004,Adams,2014,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
004,Adams,2015,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
004,Adams,2016,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
004,Adams,2017,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
004,Adams,2018,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
004,Adams,2019,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
004,Adams,2020,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
004,Adams,2021,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
004,Adams,2022,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
004,Adams,2023,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
004,Adams,2024,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
