role_as_printed,position,times_seen
Grade 7 Tutor,Paraprofessional,1
Grade 8,Classroom Teacher,1
Grade 8 Tutor,Paraprofessional,2
Grade- 6 & 7-Red,,1
Grades 4 & 5,,4
Grades 6 & 7,,5
Grades 7 & 8,,3
Greenhouse Asst.,,7
Greenhouse Manager,,1
Guid. Counselor,Guidance / Adjustment Counselor,1
Guid. Sec. & LMHS Registrar,Administrative Staff,1
Guid./Psych.,,1
Guidance,Guidance / Adjustment Counselor,9
Guidance Counselor,Guidance / Adjustment Counselor,4
Guidance Sec.,Guidance / Adjustment Counselor,2
Guidance Secretary,Administrative Staff,8
"Guidance, 216",Guidance / Adjustment Counselor,1
Guidance/126,Guidance / Adjustment Counselor,2
HS Nurse,Nurse,1
HS Principal,Principal,1
HS Secretary,Administrative Staff,2
Head,,1
Head Custodian,Custodial / Facilities,7
High School,,1
IA,,1
IC,,1
ID,,4
IE,,1
IF,,1
IT Dept.,,5
IT Director,Director,1
Instructional Services Director,Director,1
Interim Assistant Principal,Assistant Principal,1
Interim Principal,Principal,1
Interventionist,,2
Interventionist/2 04,,1
Interventionist/20,,1
Interventionist/Room 104,,1
Ist Grade,,1
K-1,,1
K-2,,1
K1,,1
K1 - Teacher,Classroom Teacher,4
K2,,2
K2 - Teacher,Classroom Teacher,4
K3,,2
K3 - Teacher,Classroom Teacher,4
K4,,2
K4 - Teacher,Classroom Teacher,4
K5,,1
K5 - Teacher,Classroom Teacher,2
K5-Teacher,Classroom Teacher,1
K6,,2
K6 - Teacher,Classroom Teacher,1
KI,,1
Kindergarten,Classroom Teacher,3
LHS Assistant Principal,Assistant Principal,2
LHS Café Manager,,1
LICSW,,1
LMHS Office Clerk,Administrative Staff,1
LMHS Principal,Principal,4
LMS Assistant Principal,Assistant Principal,4
LMS Social Worker,,1
LPN,,1
LPS Café Manager,,1
Lead,,1
Lead Custodian,Custodial / Facilities,3
Learning Center,Special Education Teacher,3
Learning Center Tutors,Paraprofessional,10
Library,Specialist Teacher,4
"Library, 108",Specialist Teacher,6
Library/Media,Specialist Teacher,3
Library/Technology,Specialist Teacher,1
Literacy Specialist/Title 1,,1
Long Term Sub TBD Middle School,,1
Lunenburg High Café Manager,,1
Lunenburg High School Café Manager,,2
Lunenburg Middle-High School Café Manager,,2
Lunenburg Primary School Café Manager,,4
"MS Nurse, Long Term Sub",Nurse,1
MS Principal,Principal,1
MS Secretary,Administrative Staff,5
Maintenance,Custodial / Facilities,31
Manager,,6
Math Specialist,Classroom Teacher,2
Media Specialist,Specialist Teacher,4
Media/Library Specialist,Specialist Teacher,1
Member,,9
Middle School,,1
Music,Specialist Teacher,10
Music MS,Specialist Teacher,1
"Music, 118",Specialist Teacher,7
Network Administrator,,3
Nurse,Nurse,35
Nurse (Achieve),Nurse,1
OT,Speech / OT / PT,4
Occ. Ther.,,1
Occup Therap,,1
Occup Therap.,,5
Occup. Therap.,,4
Occup. Therapist,,1
Occup.Therapy,,1
Occupational Therapist,Speech / OT / PT,5
"Occupational Therapist, 109",Speech / OT / PT,1
"Occupational Therapist, 112",Speech / OT / PT,1
Office Clerk,Administrative Staff,9
Ortice,,1
PE,Specialist Teacher,21
"PE, GYM",Specialist Teacher,1
"PE, Gym",Specialist Teacher,1
"PE, Gym/Health",Specialist Teacher,1
"PE, gym Health, 216",Specialist Teacher,1
"PE, mGym/Health",Specialist Teacher,1
PE/Health,Specialist Teacher,4
PT,Speech / OT / PT,3
Par,,1
Para,Paraprofessional,202
Para Grade 3,Paraprofessional,1
Paraprofessional,Paraprofessional,34
Parapropfessional,,1
Paraprotessional,,1
Parents,,11
Parents:,,6
Phys. Ther.,,1
Phys. Therap,,6
Phys. Therap.,,2
Phys. Therapist,,1
Phys.Ther,,1
Physical Education,Specialist Teacher,1
Physical Therapy,Speech / OT / PT,1
Pre-School,Classroom Teacher,1
Primary School Café Manager,,1
Principal,Principal,42
Principal:,Principal,2
Psychologi,,1
Psychologist,School Psychologist,18
Red,,3
Red,Classroom Teacher,35
SEL,,2
"SEL, 216",,1
SLP,Speech / OT / PT,4
SLP 6-12,Speech / OT / PT,1
SRO,,1
STEM,,5
"STEM, 109",,2
STEP,,1
Sch. Psychologist,School Psychologist,1
School Committee Rep,,2
School Committee Rep:,,2
School Linked Services,,1
School Nurse,Nurse,8
School Personnel Services Manager,,1
School Psych,,5
School Psych.,,5
School Psychologist,School Psychologist,1
School Technology Coordinator,Specialist Teacher,2
Secretary,Administrative Staff,24
Secretary (PT),Administrative Staff,1
Secretary (part-time),Administrative Staff,4
Secretary Support,Administrative Staff,4
Senior Custodian,Custodial / Facilities,11
Social Worker,,13
Sp.Ed Para,Paraprofessional,1
Special Ed 1 & 2,Special Education Teacher,1
Special Ed K& 1,Special Education Teacher,1
Special Ed Teacher,Special Education Teacher,2
Special Services Coordinator,,1
Sped Para,Paraprofessional,11
Speec,,1
Speech,Speech / OT / PT,32
"Speech, 204",Speech / OT / PT,1
"Speech, 213",Speech / OT / PT,1
"Speech, 215",Speech / OT / PT,2
"Speech-Language, 113",Speech / OT / PT,1
Speech/Lang.,Speech / OT / PT,7
Speech/Language,Speech / OT / PT,5
Superintendent,Superintendent,6
Superintendent-Director,Superintendent,1
TCP Café Manager,,1
THMS Café Manager,,1
TLC Inclusion,,1
