fy,edition,page_printed,page_pdf,total_row,fund,amount,quote
2013,FY2013,57,61,TOTAL LIABILITIES/FUND EQUITY,long_term_debt,24298665,"TOTAL LIABILITIES/FUND EQUITY row, printed page 57"
2014,FY2014,20,20,TOTAL ASSETS,general,6152141.84,"TOTAL ASSETS row, printed page 20"
2014,FY2014,20,20,TOTAL ASSETS,special_revenue,1290055.14,"TOTAL ASSETS row, printed page 20"
2014,FY2014,20,20,TOTAL ASSETS,enterprise,7709003.18,"TOTAL ASSETS row, printed page 20"
2014,FY2014,20,20,TOTAL ASSETS,capital_project,317222.98,"TOTAL ASSETS row, printed page 20"
2014,FY2014,20,20,TOTAL ASSETS,trust_agency,2300308.92,"TOTAL ASSETS row, printed page 20"
2014,FY2014,20,20,TOTAL ASSETS,long_term_debt,22140230,"TOTAL ASSETS row, printed page 20"
2014,FY2014,20,20,TOTAL LIABILITIES,general,4665792.89,"TOTAL LIABILITIES row, printed page 20"
2014,FY2014,20,20,TOTAL LIABILITIES,special_revenue,126339.15,"TOTAL LIABILITIES row, printed page 20"
2014,FY2014,20,20,TOTAL LIABILITIES,enterprise,6272825.54,"TOTAL LIABILITIES row, printed page 20"
2014,FY2014,20,20,TOTAL LIABILITIES,capital_project,315832.73,"TOTAL LIABILITIES row, printed page 20"
2014,FY2014,20,20,TOTAL LIABILITIES,trust_agency,491.55,"TOTAL LIABILITIES row, printed page 20"
2014,FY2014,20,20,TOTAL LIABILITIES,long_term_debt,22140230,"TOTAL LIABILITIES row, printed page 20"
2014,FY2014,20,20,TOTAL FUND EQUITY,general,1486348.95,"TOTAL FUND EQUITY row, printed page 20"
2014,FY2014,20,20,TOTAL FUND EQUITY,special_revenue,1163715.99,"TOTAL FUND EQUITY row, printed page 20"
2014,FY2014,20,20,TOTAL FUND EQUITY,enterprise,1436177.64,"TOTAL FUND EQUITY row, printed page 20"
2014,FY2014,20,20,TOTAL FUND EQUITY,capital_project,1390.25,"TOTAL FUND EQUITY row, printed page 20"
2014,FY2014,20,20,TOTAL FUND EQUITY,trust_agency,2299817.37,"TOTAL FUND EQUITY row, printed page 20"
2014,FY2014,20,20,TOTAL FUND EQUITY,long_term_debt,,"TOTAL FUND EQUITY row, printed page 20 — the column is BLANK, not zero"
2014,FY2014,20,20,TOTAL LIABILITIES/FUND EQUITY,general,6152141.84,"TOTAL LIABILITIES/FUND EQUITY row, printed page 20"
2014,FY2014,20,20,TOTAL LIABILITIES/FUND EQUITY,special_revenue,1290055.14,"TOTAL LIABILITIES/FUND EQUITY row, printed page 20"
2014,FY2014,20,20,TOTAL LIABILITIES/FUND EQUITY,enterprise,7709003.18,"TOTAL LIABILITIES/FUND EQUITY row, printed page 20"
2014,FY2014,20,20,TOTAL LIABILITIES/FUND EQUITY,capital_project,317222.98,"TOTAL LIABILITIES/FUND EQUITY row, printed page 20"
2014,FY2014,20,20,TOTAL LIABILITIES/FUND EQUITY,trust_agency,2300308.92,"TOTAL LIABILITIES/FUND EQUITY row, printed page 20"
2014,FY2014,20,20,TOTAL LIABILITIES/FUND EQUITY,long_term_debt,22140230,"TOTAL LIABILITIES/FUND EQUITY row, printed page 20"
