fy,lea,district,org_code,org_name,org_level,subject,subject_level,pk_2_fte,grade_3_5_fte,grade_6_8_fte,grade_9_12_fte,multi_grade_fte,all_grade_fte,total_fte,printing,reconciles,agrees_with_teacher_subject,doc_id
2008,00190000,Ayer (non-op),00190510,Ayer High School,school,Communications and Audio/Visual Technology,subject,0,0,0,0.7,0,0,0.7,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190510,Ayer High School,school,Computer and Information Sciences,subject,0,0,0,0.3,0.7,0,1,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190510,Ayer High School,school,Economics,subject,0,0,0,0.3,0,0,0.3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190510,Ayer High School,school,English/Language Arts,subject,0,0,0,3.3,1.7,0,5,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190510,Ayer High School,school,Foreign Language,subject,0,0,0,2,1,0,3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190510,Ayer High School,school,History,subject,0,0,0,2,0.7,0,2.6,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190510,Ayer High School,school,Mathematics,subject,0,0,0,4.3,0,0,4.3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190510,Ayer High School,school,Miscellaneous,subject,0,0,0,2,1.3,0,3.3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190510,Ayer High School,school,"Physical, Health, and Safety Education",subject,0,0,0,2,1,0,3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190510,Ayer High School,school,"Public, Protective, and Government Service",subject,0,0,0,0.3,0,0,0.3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190510,Ayer High School,school,Science,subject,0,0,0,3.3,1.3,0,4.6,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190510,Ayer High School,school,Social Studies/Social Sciences,subject,0,0,0,0.7,0,0,0.7,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250000,Harvard,district,All,all,11,14,12.2,14.7,27.1,7,86.1,1,yes,yes,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250000,Harvard,district,Arts,subject,0,0,0.5,0,4.3,3,7.8,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250000,Harvard,district,Civics/Government,subject,0,0,0,0,0.5,0,0.5,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
