fy,lea,district,level,eligible_students_claimed,total_eligible_expenses,threshold_amount,net_eligible_instruction_tuition,net_eligible_transport,total_net_claim,reimb_instruction_tuition,reimb_special_circumstance_tuition,reimb_transport,reimb_special_circumstance_transport,prior_year_adjustment,total_quarterly_payment,extra_relief_payment,additional_supplemental_payment,comments,reconciles,doc_id
2012,06160000,Ayer Shirley School District,district,31,2102721,1159854,942867,,942867,665543,,,,-5144,642683,,22860,Supplemental payments increased instruction/tuition reimbursement to 71.2%.,,sources/state-dese/dese-circuit-breaker.xlsx
2012,06730000,Groton-Dunstable,district,39,2343976,1464078,879898,,879898,626066,,,,,604561,,21505,Supplemental payments increased instruction/tuition reimbursement to 71.2%.,,sources/state-dese/dese-circuit-breaker.xlsx
2012,07350000,North Middlesex,district,44,2827322,1559148,1268174,,1268174,902642,,,,,871338,,31304,Supplemental payments increased instruction/tuition reimbursement to 71.2%.,,sources/state-dese/dese-circuit-breaker.xlsx
2013,00000000,State,state,10020,693053138,384314958,308738180,,308738180,225707836,6167663,,,-58256,231817243,1426885,,,,sources/state-dese/dese-circuit-breaker.xlsx
2013,01250000,Harvard,district,22,1714509,836694,877815,,877815,654822,,,,,654822,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2013,01620000,Lunenburg,district,29,1946230,1109106,837124,,837124,624467,,,,-9150,615317,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2013,06100000,Ashburnham-Westminster,district,22,1340178,836694,503484,,503484,375583,,,,,375583,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2013,06160000,Ayer Shirley School District,district,33,2053143,1303686,749457,,749457,559070,,,,,559070,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2013,06730000,Groton-Dunstable,district,36,2233019,1381518,851501,,851501,635192,,,,,635192,88186,,,,sources/state-dese/dese-circuit-breaker.xlsx
2013,07350000,North Middlesex,district,42,3207017,1634472,1572545,,1572545,1173068,,,,,1173068,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2014,00000000,State,state,10018,718839274,402182880,316656394,,316656394,233330539,5549659,,,-143414,238737158,3066047,374,,,sources/state-dese/dese-circuit-breaker.xlsx
2014,01250000,Harvard,district,23,1627438,911520,715918,,715918,536942,,,,,536942,220988,,,,sources/state-dese/dese-circuit-breaker.xlsx
2014,01620000,Lunenburg,district,23,1698959,931776,767183,,767183,575389,,,,,575389,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2014,06100000,Ashburnham-Westminster,district,17,1118282,688704,429578,,429578,322182,,,,,322182,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2014,06160000,Ayer Shirley School District,district,36,2246039,1417920,828119,,828119,621091,,,,,621091,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2014,06730000,Groton-Dunstable,district,44,2792659,1742016,1050643,,1050643,787987,,,,-8025,779962,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2014,07350000,North Middlesex,district,44,2898474,1762272,1136202,,1136202,852153,,,,,852153,,,,,sources/state-dese/dese-circuit-breaker.xlsx
