fy,page,kind,state,funds_named,accounts,figures,figures_reversed,rows_published,document
2022,41,book-value,unread,2,0,344,0,0,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,42,book-value,unread,5,0,370,0,0,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,43,other-banks,read,4,10,45,0,1,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,44,table,reversed,0,0,0,23,0,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2021,39,table,unread,6,0,35,0,0,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,41,table,read,3,0,207,0,1,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,42,table,reversed,0,0,0,30,0,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2020,39,book-value,unread,10,0,75,0,0,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,41,other-banks,read,9,10,197,0,3,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,42,table,reversed,0,0,0,31,0,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,44,table,unread,7,0,33,0,0,sources/town-budget/ocr/4126-fy-2019-annual-town-report.tsv
2019,46,table,unread,5,0,137,0,0,sources/town-budget/ocr/4126-fy-2019-annual-town-report.tsv
2019,47,other-banks,read,5,8,32,0,1,sources/town-budget/ocr/4126-fy-2019-annual-town-report.tsv
2019,48,table,reversed,0,0,0,30,0,sources/town-budget/ocr/4126-fy-2019-annual-town-report.tsv
2018,43,book-value,unread,8,0,36,0,0,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,45,book-value,read,4,0,190,0,1,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,46,other-banks,read,4,9,43,0,2,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,47,table,reversed,0,0,0,23,0,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2017,36,book-value,unread,7,0,34,0,0,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,38,table,read,3,0,170,0,1,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,39,other-banks,unread,4,6,36,0,0,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,40,table,reversed,0,0,0,20,0,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,140,table,reversed,1,0,0,12,0,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,142,table,reversed,0,0,0,21,0,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,143,table,reversed,0,2,0,30,0,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,144,table,reversed,0,0,0,15,0,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,148,table,reversed,0,0,0,50,0,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,149,table,reversed,0,0,0,73,0,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2016,39,book-value,unread,5,0,31,0,0,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,42,other-banks,read,3,6,33,0,1,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,43,table,reversed,0,0,0,15,0,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,190,table,reversed,0,0,0,10,0,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2015,37,book-value,unread,5,0,29,0,0,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,39,other-banks,read,5,4,196,0,2,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,41,table,reversed,0,0,9,19,0,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2014,36,book-value,unread,5,0,28,0,0,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,38,other-banks,read,6,23,190,0,2,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,96,table,reversed,0,0,0,26,0,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2013,34,table,reversed,0,0,0,24,0,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,77,book-value,unread,3,0,23,0,0,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,80,table,reversed,0,0,0,15,0,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2012,72,book-value,unread,3,0,25,0,0,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,75,table,reversed,0,1,0,14,0,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2011,72,table,unread,3,0,21,0,0,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,74,table,unread,3,0,120,0,0,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,75,table,reversed,0,0,2,14,0,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
