kind,sy,org_code,org_name,org_type,subj,tot_clss_cnt,avg_clss_cnt,tot_stu_cnt,aian_pct,as_pct,baa_pct,hl_pct,mnhl_pct,nhpi_pct,wh_pct,fe_pct,ma_pct,el_pct,li_pct,ecd_pct,swd_pct
class_size,2025,01620505,Lunenburg High,School,Mathematics,32,14.5,434,0.0,0.021,0.028,0.104,0.051,0.007,0.79,0.472,0.525,0.023,20.7,,0.104
class_size,2025,01620505,Lunenburg High,School,Military Science,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620505,Lunenburg High,School,Miscellaneous,51,4.9,129,0.0,0.023,0.023,0.147,0.047,0.0,0.76,0.488,0.512,0.047,31.8,,0.341
class_size,2025,01620505,Lunenburg High,School,"Physical, Health, and Safety Education",26,18.7,311,0.0,0.023,0.019,0.116,0.045,0.006,0.791,0.437,0.56,0.029,20.9,,0.116
class_size,2025,01620505,Lunenburg High,School,"Public, Protective, and Government Service",0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620505,Lunenburg High,School,Reading,1,5.0,5,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.8,0.2,0.0,20.0,,1.0
class_size,2025,01620505,Lunenburg High,School,Religious Education and Theology,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620505,Lunenburg High,School,Science,28,15.5,379,0.0,0.024,0.029,0.108,0.053,0.008,0.778,0.478,0.522,0.026,21.4,,0.106
class_size,2025,01620505,Lunenburg High,School,Social Studies/Social Sciences,2,14.0,28,0.0,0.0,0.0,0.107,0.0,0.0,0.893,0.393,0.571,0.0,39.3,,0.107
class_size,2025,01620505,Lunenburg High,School,"Transportation, Distribution and Logistics",0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620505,Lunenburg High,School,CH74 - Agriculture and Natural Resources,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620505,Lunenburg High,School,CH74 - Arts and Communications Services,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620505,Lunenburg High,School,CH74 - Business and Consumer Services,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620505,Lunenburg High,School,CH74 - Construction,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620505,Lunenburg High,School,CH74 - Exploratory,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620505,Lunenburg High,School,CH74 - Health,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620505,Lunenburg High,School,CH74 - Hospitality and Tourism,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620505,Lunenburg High,School,CH74 - Human Services and Education,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620505,Lunenburg High,School,CH74 - Information Technology Services,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620505,Lunenburg High,School,CH74 - Transportation,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620505,Lunenburg High,School,"CH74 - Manufacturing, Engineering and Technology",0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620505,Lunenburg High,School,Architecture and Construction,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620305,Lunenburg Middle School,School,All,210,22.8,393,0.0,0.015,0.056,0.112,0.033,0.003,0.781,0.512,0.489,0.025,21.4,,0.186
