fy,subject,pdf,ocr,text,located,extracted,database,published,pages,rows,blocked
2021,payroll,yes,yes,yes,yes,,,,27 28 30 31 141,0,no extractor for this family yet
2022,payroll,yes,yes,yes,yes,,,,147 152 188 192,0,no extractor for this family yet
2023,payroll,yes,yes,yes,yes,,,,165,0,no extractor for this family yet
2024,payroll,yes,yes,yes,yes,,,,141 187 192 193,0,no extractor for this family yet
2025,payroll,yes,yes,yes,yes,,,,177,0,no extractor for this family yet
2012,receivables,yes,yes,yes,yes,,,,56,0,no extractor for this family yet
2015,receivables,yes,yes,yes,yes,,,,44,0,no extractor for this family yet
2016,receivables,yes,yes,yes,yes,,,,47 48 49,0,no extractor for this family yet
2017,receivables,yes,yes,yes,yes,,,,43 44 45,0,no extractor for this family yet
2018,receivables,yes,yes,yes,yes,,,,52 53 54,0,no extractor for this family yet
2019,receivables,yes,yes,yes,yes,,,,53 54 55,0,no extractor for this family yet
2020,receivables,yes,yes,yes,yes,,,,47 48 49,0,no extractor for this family yet
2021,receivables,yes,yes,yes,yes,,,,47 48 49,0,no extractor for this family yet
2022,receivables,yes,yes,yes,yes,,,,49 50 51,0,no extractor for this family yet
2023,receivables,yes,yes,yes,yes,,,,54 55 56,0,no extractor for this family yet
2024,receivables,yes,yes,yes,yes,,,,21 22 38 39,0,no extractor for this family yet
2014,special-revenue,yes,yes,yes,yes,,,,29 30 31 32 33,0,no extractor for this family yet
2015,special-revenue,yes,yes,yes,yes,,,,29 30 31 32 33,0,no extractor for this family yet
2016,special-revenue,yes,yes,yes,yes,,,,31 33 34 35,0,no extractor for this family yet
2017,special-revenue,yes,yes,yes,yes,,,,29 30 31 32 33,0,no extractor for this family yet
2018,special-revenue,yes,yes,yes,yes,,,,35 36 37 38 39,0,no extractor for this family yet
2020,special-revenue,yes,yes,yes,yes,,,,31 32 33 34 35,0,no extractor for this family yet
2022,special-revenue,yes,yes,yes,yes,,,,33 34 35 36 37,0,no extractor for this family yet
2023,special-revenue,yes,yes,yes,yes,,,,34 35 36 37 38 39 40 41 42 43,0,no extractor for this family yet
2024,special-revenue,yes,yes,yes,yes,,,,23 24 25,0,no extractor for this family yet
2025,special-revenue,yes,yes,yes,yes,,,,26,0,no extractor for this family yet
2011,tax-collection,yes,yes,yes,yes,,,,78,0,no extractor for this family yet
2012,tax-collection,yes,yes,yes,yes,,,,58 78,0,no extractor for this family yet
2013,tax-collection,yes,yes,yes,yes,,,,63 83,0,no extractor for this family yet
2014,tax-collection,yes,yes,yes,yes,,,,22 43,0,no extractor for this family yet
2016,tax-collection,yes,yes,yes,yes,,,,23,0,no extractor for this family yet
2019,tax-collection,yes,yes,yes,yes,,,,30,0,no extractor for this family yet
2021,tax-collection,yes,yes,yes,yes,,,,25,0,no extractor for this family yet
2025,tax-collection,yes,yes,yes,yes,,,,41,0,no extractor for this family yet
2014,treasurers-cash,yes,yes,yes,yes,,,yes,36,0,"column does not foot to the page’s own printed total (p36 col0: ours 8702140.65, page 8861659.32)"
2015,treasurers-cash,yes,yes,yes,yes,yes,,yes,37,28,
2016,treasurers-cash,yes,yes,yes,yes,yes,,yes,39,30,
2017,treasurers-cash,yes,yes,yes,yes,yes,,yes,36,33,
2018,treasurers-cash,yes,yes,yes,yes,,,yes,43,0,"column does not foot to the page’s own printed total (p43 col0: ours 14300859.92, page 14407792.64)"
2020,treasurers-cash,yes,yes,yes,yes,,,yes,39,0,"column does not foot to the page’s own printed total (p39 col0: ours 19400159.53, page 19768992.71)"
2022,treasurers-cash,yes,yes,yes,yes,yes,,yes,40,39,
2023,treasurers-cash,yes,yes,yes,yes,,,,48,0,"column does not foot to the page’s own printed total (p48 col0: ours 28139909.47, page 27244162.79)"
2024,treasurers-cash,yes,yes,yes,yes,,,yes,33,0,"column does not foot to the page’s own printed total (p33 col0: ours 28997070.99, page 28904434.36)"
2025,treasurers-cash,yes,yes,yes,yes,yes,,yes,35,39,
2011,trust-and-stabilization,yes,yes,yes,yes,,yes,,73 74,0,extractor runs and publishes nothing for this year
2012,trust-and-stabilization,yes,yes,yes,yes,,yes,,73 74,0,extractor runs and publishes nothing for this year
2013,trust-and-stabilization,yes,yes,yes,yes,,yes,,78 79,0,extractor runs and publishes nothing for this year
2014,trust-and-stabilization,yes,yes,yes,yes,yes,yes,yes,37 38,2,
2015,trust-and-stabilization,yes,yes,yes,yes,yes,yes,yes,38 39,2,
2016,trust-and-stabilization,yes,yes,yes,yes,yes,yes,yes,42,2,
2017,trust-and-stabilization,yes,yes,yes,yes,yes,yes,yes,37 38 39,1,
2018,trust-and-stabilization,yes,yes,yes,yes,yes,yes,yes,44 45 46,3,
2019,trust-and-stabilization,yes,yes,yes,yes,yes,yes,yes,45 46 47,1,
2020,trust-and-stabilization,yes,yes,yes,yes,yes,yes,yes,41,3,
2021,trust-and-stabilization,yes,yes,yes,,yes,,yes,,1,
2022,trust-and-stabilization,yes,yes,yes,yes,yes,,yes,41 42 43,1,
2023,trust-and-stabilization,yes,yes,yes,yes,,yes,,49 50 51,0,extractor runs and publishes nothing for this year
2024,trust-and-stabilization,yes,yes,yes,yes,yes,yes,yes,29 35,1,
2025,trust-and-stabilization,yes,yes,yes,yes,yes,yes,yes,36 37,2,
