board,board_slug,year,listed,held,with_text_file,searchable,unsearchable,image_scan,vector_outlines,blank,extract_failed,unreadable,not_fetched
Board of Assessors,board-of-assessors,2014,34,34,34,19,15,15,0,0,0,0,0
Board of Assessors,board-of-assessors,2015,24,24,24,10,14,14,0,0,0,0,0
Board of Assessors,board-of-assessors,2016,23,23,23,18,5,5,0,0,0,0,0
Board of Assessors,board-of-assessors,2017,26,26,26,6,20,20,0,0,0,0,0
Board of Assessors,board-of-assessors,2018,22,22,22,5,17,17,0,0,0,0,0
Board of Assessors,board-of-assessors,2019,30,30,30,16,14,14,0,0,0,0,0
Board of Assessors,board-of-assessors,2020,23,23,23,6,17,17,0,0,0,0,0
Board of Assessors,board-of-assessors,2021,16,16,16,0,16,16,0,0,0,0,0
Board of Assessors,board-of-assessors,2022,23,23,23,2,21,21,0,0,0,0,0
Board of Assessors,board-of-assessors,2023,48,47,47,25,22,22,0,0,0,0,1
Board of Assessors,board-of-assessors,2024,57,57,57,53,4,3,1,0,0,0,0
Board of Assessors,board-of-assessors,2025,45,45,45,28,17,17,0,0,0,0,0
Board of Assessors,board-of-assessors,2026,22,22,22,16,6,6,0,0,0,0,0
Board of Health,board-of-health,2009,26,26,26,8,18,13,0,5,0,0,0
Board of Health,board-of-health,2010,26,26,26,15,11,11,0,0,0,0,0
Board of Health,board-of-health,2011,30,30,30,30,0,0,0,0,0,0,0
Board of Health,board-of-health,2012,37,37,37,27,10,10,0,0,0,0,0
Board of Health,board-of-health,2013,25,25,25,16,9,9,0,0,0,0,0
Board of Health,board-of-health,2014,33,33,33,19,14,14,0,0,0,0,0
Board of Health,board-of-health,2015,35,35,35,33,2,2,0,0,0,0,0
Board of Health,board-of-health,2016,27,27,27,19,8,8,0,0,0,0,0
Board of Health,board-of-health,2017,25,25,25,9,16,16,0,0,0,0,0
Board of Health,board-of-health,2018,28,28,28,12,16,16,0,0,0,0,0
Board of Health,board-of-health,2019,22,22,22,21,1,1,0,0,0,0,0
Board of Health,board-of-health,2020,30,30,30,29,1,1,0,0,0,0,0
Board of Health,board-of-health,2021,25,25,25,24,1,1,0,0,0,0,0
Board of Health,board-of-health,2022,26,26,26,25,1,1,0,0,0,0,0
Board of Health,board-of-health,2023,25,25,25,20,5,5,0,0,0,0,0
Board of Health,board-of-health,2024,27,27,27,26,1,1,0,0,0,0,0
Board of Health,board-of-health,2025,29,29,29,29,0,0,0,0,0,0,0
Board of Health,board-of-health,2026,19,19,19,19,0,0,0,0,0,0,0
Board of Registrars,board-of-registrars,2013,1,1,1,0,1,1,0,0,0,0,0
Board of Registrars,board-of-registrars,2016,1,1,1,1,0,0,0,0,0,0,0
Board of Registrars,board-of-registrars,2018,4,4,4,3,1,1,0,0,0,0,0
Board of Registrars,board-of-registrars,2019,1,1,1,0,1,1,0,0,0,0,0
Board of Registrars,board-of-registrars,2021,1,1,1,0,1,1,0,0,0,0,0
Board of Registrars,board-of-registrars,2022,7,7,7,6,1,1,0,0,0,0,0
Board of Registrars,board-of-registrars,2023,2,2,2,2,0,0,0,0,0,0,0
Board of Registrars,board-of-registrars,2024,7,7,7,3,4,4,0,0,0,0,0
Board of Registrars,board-of-registrars,2025,2,2,2,2,0,0,0,0,0,0,0
Board of Registrars,board-of-registrars,2026,9,9,9,4,5,5,0,0,0,0,0
Budget Task Force,budget-task-force,2024,15,15,15,15,0,0,0,0,0,0,0
Building Reuse Committee,building-reuse-committee,2013,13,13,13,9,4,4,0,0,0,0,0
Building Reuse Committee,building-reuse-committee,2014,19,19,19,10,9,9,0,0,0,0,0
Building Reuse Committee,building-reuse-committee,2015,26,26,26,13,13,13,0,0,0,0,0
Building Reuse Committee,building-reuse-committee,2017,4,4,4,3,1,1,0,0,0,0,0
Building Reuse Committee,building-reuse-committee,2019,2,2,2,2,0,0,0,0,0,0,0
By-Law Committee,by-law-committee,2016,17,17,17,7,10,10,0,0,0,0,0
By-Law Committee,by-law-committee,2021,10,10,10,8,2,2,0,0,0,0,0
By-Law Committee,by-law-committee,2022,23,23,23,17,6,6,0,0,0,0,0
By-Law Committee,by-law-committee,2023,2,2,2,2,0,0,0,0,0,0,0
By-Law Committee,by-law-committee,2025,7,7,7,6,1,1,0,0,0,0,0
By-Law Committee,by-law-committee,2026,6,6,6,6,0,0,0,0,0,0,0
Cable Advisory Committee,cable-advisory-committee,2015,11,11,11,6,5,5,0,0,0,0,0
Cable Advisory Committee,cable-advisory-committee,2016,2,2,2,2,0,0,0,0,0,0,0
Cable Advisory Committee,cable-advisory-committee,2017,19,19,19,6,13,13,0,0,0,0,0
Cable Advisory Committee,cable-advisory-committee,2018,4,4,4,2,2,2,0,0,0,0,0
Cable Advisory Committee,cable-advisory-committee,2026,3,3,3,3,0,0,0,0,0,0,0
Capital Planning Committee,capital-planning-committee,2010,8,8,8,7,1,1,0,0,0,0,0
Capital Planning Committee,capital-planning-committee,2011,14,14,14,13,1,1,0,0,0,0,0
Capital Planning Committee,capital-planning-committee,2012,6,6,6,6,0,0,0,0,0,0,0
Capital Planning Committee,capital-planning-committee,2013,48,48,48,45,3,3,0,0,0,0,0
Capital Planning Committee,capital-planning-committee,2014,17,17,17,10,7,7,0,0,0,0,0
Capital Planning Committee,capital-planning-committee,2015,16,16,16,8,8,8,0,0,0,0,0
Capital Planning Committee,capital-planning-committee,2016,20,20,20,10,10,10,0,0,0,0,0
Capital Planning Committee,capital-planning-committee,2017,18,18,18,8,10,10,0,0,0,0,0
Capital Planning Committee,capital-planning-committee,2018,16,16,16,6,10,9,0,0,1,0,0
Capital Planning Committee,capital-planning-committee,2019,13,13,13,9,4,3,0,0,1,0,0
Capital Planning Committee,capital-planning-committee,2020,13,13,13,12,1,1,0,0,0,0,0
Capital Planning Committee,capital-planning-committee,2021,22,22,22,22,0,0,0,0,0,0,0
Capital Planning Committee,capital-planning-committee,2022,15,15,15,14,1,1,0,0,0,0,0
Capital Planning Committee,capital-planning-committee,2023,14,14,14,13,1,1,0,0,0,0,0
Capital Planning Committee,capital-planning-committee,2024,15,15,15,15,0,0,0,0,0,0,0
Capital Planning Committee,capital-planning-committee,2025,10,10,10,10,0,0,0,0,0,0,0
Capital Planning Committee,capital-planning-committee,2026,2,2,2,2,0,0,0,0,0,0,0
Cemetery Commission,cemetery-commission,2010,4,4,4,3,1,1,0,0,0,0,0
Cemetery Commission,cemetery-commission,2011,5,5,5,5,0,0,0,0,0,0,0
Cemetery Commission,cemetery-commission,2012,5,5,5,5,0,0,0,0,0,0,0
Cemetery Commission,cemetery-commission,2013,1,1,1,0,1,1,0,0,0,0,0
Cemetery Commission,cemetery-commission,2014,12,12,12,8,4,4,0,0,0,0,0
Cemetery Commission,cemetery-commission,2015,6,6,6,4,2,2,0,0,0,0,0
Cemetery Commission,cemetery-commission,2016,13,13,13,6,7,7,0,0,0,0,0
Cemetery Commission,cemetery-commission,2017,19,19,19,4,15,15,0,0,0,0,0
Cemetery Commission,cemetery-commission,2018,34,34,34,18,16,16,0,0,0,0,0
Cemetery Commission,cemetery-commission,2019,22,22,22,21,1,1,0,0,0,0,0
Cemetery Commission,cemetery-commission,2020,5,5,5,4,1,1,0,0,0,0,0
Cemetery Commission,cemetery-commission,2021,21,21,21,21,0,0,0,0,0,0,0
Cemetery Commission,cemetery-commission,2022,22,22,22,22,0,0,0,0,0,0,0
Cemetery Commission,cemetery-commission,2023,27,27,27,24,3,3,0,0,0,0,0
Cemetery Commission,cemetery-commission,2024,17,17,17,17,0,0,0,0,0,0,0
Cemetery Commission,cemetery-commission,2025,33,33,33,33,0,0,0,0,0,0,0
Cemetery Commission,cemetery-commission,2026,13,13,13,13,0,0,0,0,0,0,0
Charter Review Committee,charter-review-committee,2017,12,12,12,5,7,7,0,0,0,0,0
Charter Review Committee,charter-review-committee,2018,26,26,26,16,10,10,0,0,0,0,0
Charter Review Committee,charter-review-committee,2019,8,8,8,8,0,0,0,0,0,0,0
Conservation Commission,conservation-commission,2010,34,34,34,12,22,21,0,1,0,0,0
Conservation Commission,conservation-commission,2011,37,37,37,28,9,9,0,0,0,0,0
Conservation Commission,conservation-commission,2012,36,36,36,27,9,9,0,0,0,0,0
Conservation Commission,conservation-commission,2013,19,19,19,16,3,3,0,0,0,0,0
Conservation Commission,conservation-commission,2014,34,34,34,34,0,0,0,0,0,0,0
Conservation Commission,conservation-commission,2015,48,48,48,40,8,8,0,0,0,0,0
Conservation Commission,conservation-commission,2016,31,31,31,27,4,4,0,0,0,0,0
Conservation Commission,conservation-commission,2017,49,49,49,25,24,24,0,0,0,0,0
Conservation Commission,conservation-commission,2018,52,52,52,33,19,19,0,0,0,0,0
Conservation Commission,conservation-commission,2019,49,49,49,48,1,1,0,0,0,0,0
Conservation Commission,conservation-commission,2020,46,46,46,45,1,1,0,0,0,0,0
Conservation Commission,conservation-commission,2021,44,44,44,44,0,0,0,0,0,0,0
Conservation Commission,conservation-commission,2022,45,45,45,45,0,0,0,0,0,0,0
Conservation Commission,conservation-commission,2023,48,48,48,48,0,0,0,0,0,0,0
Conservation Commission,conservation-commission,2024,42,42,42,41,1,1,0,0,0,0,0
Conservation Commission,conservation-commission,2025,54,54,54,25,29,28,1,0,0,0,0
Conservation Commission,conservation-commission,2026,43,43,43,35,8,8,0,0,0,0,0
Conservation Commission Public Hearing,conservation-commission-public-hearing,2025,14,14,14,14,0,0,0,0,0,0,0
Council on Aging,council-on-aging,2010,22,22,22,20,2,2,0,0,0,0,0
Council on Aging,council-on-aging,2011,35,35,35,35,0,0,0,0,0,0,0
Council on Aging,council-on-aging,2012,43,43,43,32,11,11,0,0,0,0,0
Council on Aging,council-on-aging,2013,40,40,40,37,3,3,0,0,0,0,0
Council on Aging,council-on-aging,2014,24,24,24,19,5,5,0,0,0,0,0
Council on Aging,council-on-aging,2015,22,22,22,18,4,4,0,0,0,0,0
Council on Aging,council-on-aging,2016,22,22,22,16,6,6,0,0,0,0,0
Council on Aging,council-on-aging,2017,22,22,22,12,10,10,0,0,0,0,0
Council on Aging,council-on-aging,2018,23,23,23,19,4,4,0,0,0,0,0
Council on Aging,council-on-aging,2019,24,24,24,23,1,1,0,0,0,0,0
Council on Aging,council-on-aging,2020,10,10,10,10,0,0,0,0,0,0,0
Council on Aging,council-on-aging,2021,10,10,10,10,0,0,0,0,0,0,0
Council on Aging,council-on-aging,2022,20,20,20,20,0,0,0,0,0,0,0
Council on Aging,council-on-aging,2023,25,25,25,18,7,7,0,0,0,0,0
Council on Aging,council-on-aging,2024,25,25,25,17,8,8,0,0,0,0,0
Council on Aging,council-on-aging,2025,24,24,24,21,3,3,0,0,0,0,0
Council on Aging,council-on-aging,2026,16,16,16,13,3,3,0,0,0,0,0
Cultural Council,cultural-council,2011,2,2,2,1,1,1,0,0,0,0,0
Cultural Council,cultural-council,2012,2,2,2,0,2,2,0,0,0,0,0
Cultural Council,cultural-council,2013,2,2,2,0,2,2,0,0,0,0,0
Cultural Council,cultural-council,2014,2,2,2,0,2,2,0,0,0,0,0
Cultural Council,cultural-council,2015,2,2,2,1,1,1,0,0,0,0,0
Cultural Council,cultural-council,2016,1,1,1,1,0,0,0,0,0,0,0
Cultural Council,cultural-council,2017,2,2,2,0,2,2,0,0,0,0,0
Cultural Council,cultural-council,2018,8,8,8,3,5,5,0,0,0,0,0
Cultural Council,cultural-council,2019,17,17,17,15,2,2,0,0,0,0,0
Cultural Council,cultural-council,2020,2,2,2,2,0,0,0,0,0,0,0
Cultural Council,cultural-council,2021,3,3,3,3,0,0,0,0,0,0,0
Cultural Council,cultural-council,2022,6,6,6,6,0,0,0,0,0,0,0
Cultural Council,cultural-council,2023,15,15,15,15,0,0,0,0,0,0,0
Cultural Council,cultural-council,2024,11,11,11,11,0,0,0,0,0,0,0
Cultural Council,cultural-council,2025,7,7,7,7,0,0,0,0,0,0,0
Cultural Council,cultural-council,2026,2,2,2,2,0,0,0,0,0,0,0
Devens Regional Oversight Committee,devens-regional-oversight-committee,2011,13,13,13,4,9,9,0,0,0,0,0
Devens Regional Oversight Committee,devens-regional-oversight-committee,2012,11,11,11,0,11,11,0,0,0,0,0
Devens Regional Oversight Committee,devens-regional-oversight-committee,2013,2,2,2,0,2,2,0,0,0,0,0
Economic Development Committee,economic-development-committee,2021,9,9,9,9,0,0,0,0,0,0,0
Economic Development Committee,economic-development-committee,2022,12,12,12,11,1,1,0,0,0,0,0
Economic Development Committee,economic-development-committee,2023,16,16,16,16,0,0,0,0,0,0,0
Economic Development Committee,economic-development-committee,2024,13,13,13,13,0,0,0,0,0,0,0
Economic Development Committee,economic-development-committee,2025,10,10,10,10,0,0,0,0,0,0,0
Economic Development Committee,economic-development-committee,2026,9,9,9,9,0,0,0,0,0,0,0
Finance  Committee Appointing  Committee,finance-committee-appointing-committee,2011,5,5,5,4,1,1,0,0,0,0,0
Finance  Committee Appointing  Committee,finance-committee-appointing-committee,2012,2,2,2,2,0,0,0,0,0,0,0
Finance  Committee Appointing  Committee,finance-committee-appointing-committee,2013,1,1,1,0,1,1,0,0,0,0,0
Finance  Committee Appointing  Committee,finance-committee-appointing-committee,2014,1,1,1,1,0,0,0,0,0,0,0
Finance  Committee Appointing  Committee,finance-committee-appointing-committee,2015,1,1,1,1,0,0,0,0,0,0,0
Finance  Committee Appointing  Committee,finance-committee-appointing-committee,2016,2,2,2,1,1,1,0,0,0,0,0
Finance  Committee Appointing  Committee,finance-committee-appointing-committee,2017,2,2,2,0,2,2,0,0,0,0,0
Finance  Committee Appointing  Committee,finance-committee-appointing-committee,2018,6,6,6,3,3,3,0,0,0,0,0
Finance  Committee Appointing  Committee,finance-committee-appointing-committee,2019,3,3,3,3,0,0,0,0,0,0,0
Finance  Committee Appointing  Committee,finance-committee-appointing-committee,2020,2,2,2,2,0,0,0,0,0,0,0
Finance  Committee Appointing  Committee,finance-committee-appointing-committee,2021,1,1,1,1,0,0,0,0,0,0,0
Finance  Committee Appointing  Committee,finance-committee-appointing-committee,2022,2,2,2,2,0,0,0,0,0,0,0
Finance  Committee Appointing  Committee,finance-committee-appointing-committee,2023,8,8,8,2,6,6,0,0,0,0,0
Finance  Committee Appointing  Committee,finance-committee-appointing-committee,2024,4,4,4,2,2,2,0,0,0,0,0
Finance  Committee Appointing  Committee,finance-committee-appointing-committee,2025,4,4,4,4,0,0,0,0,0,0,0
Finance  Committee Appointing  Committee,finance-committee-appointing-committee,2026,3,3,3,1,2,2,0,0,0,0,0
Finance Committee,finance-committee,2010,32,32,32,19,13,13,0,0,0,0,0
Finance Committee,finance-committee,2011,48,48,48,20,28,28,0,0,0,0,0
Finance Committee,finance-committee,2012,50,50,50,25,25,25,0,0,0,0,0
Finance Committee,finance-committee,2013,48,48,48,16,32,32,0,0,0,0,0
Finance Committee,finance-committee,2014,45,45,45,13,32,32,0,0,0,0,0
Finance Committee,finance-committee,2015,48,48,48,10,38,38,0,0,0,0,0
Finance Committee,finance-committee,2016,50,50,50,17,33,33,0,0,0,0,0
Finance Committee,finance-committee,2017,44,44,44,7,37,37,0,0,0,0,0
Finance Committee,finance-committee,2018,35,35,35,9,26,26,0,0,0,0,0
Finance Committee,finance-committee,2019,49,49,49,28,21,21,0,0,0,0,0
Finance Committee,finance-committee,2020,51,51,51,40,11,11,0,0,0,0,0
Finance Committee,finance-committee,2021,51,51,51,47,4,4,0,0,0,0,0
Finance Committee,finance-committee,2022,49,49,49,46,3,3,0,0,0,0,0
Finance Committee,finance-committee,2023,37,37,37,36,1,1,0,0,0,0,0
Finance Committee,finance-committee,2024,58,58,58,58,0,0,0,0,0,0,0
Finance Committee,finance-committee,2025,46,46,46,45,1,0,1,0,0,0,0
Finance Committee,finance-committee,2026,40,40,40,40,0,0,0,0,0,0,0
Finance Committee Public Hearing,finance-committee-public-hearing,2023,2,2,2,2,0,0,0,0,0,0,0
Finance Committee Public Hearing,finance-committee-public-hearing,2024,1,1,1,1,0,0,0,0,0,0,0
Finance Committee Public Hearing,finance-committee-public-hearing,2025,3,3,3,3,0,0,0,0,0,0,0
Finance Committee Public Hearing,finance-committee-public-hearing,2026,2,2,2,2,0,0,0,0,0,0,0
Green Communities Committee,green-communities-committee,2009,27,27,27,23,4,4,0,0,0,0,0
Green Communities Committee,green-communities-committee,2010,20,20,20,17,3,3,0,0,0,0,0
Green Communities Committee,green-communities-committee,2011,29,29,29,26,3,3,0,0,0,0,0
Green Communities Committee,green-communities-committee,2012,8,8,8,8,0,0,0,0,0,0,0
Green Communities Committee,green-communities-committee,2013,18,18,18,13,5,5,0,0,0,0,0
Green Communities Committee,green-communities-committee,2014,16,16,16,9,7,7,0,0,0,0,0
Green Communities Committee,green-communities-committee,2015,7,7,7,3,4,4,0,0,0,0,0
Green Communities Committee,green-communities-committee,2016,8,8,8,3,5,5,0,0,0,0,0
Green Communities Committee,green-communities-committee,2017,5,5,5,1,4,4,0,0,0,0,0
Green Communities Committee,green-communities-committee,2018,6,6,6,0,6,6,0,0,0,0,0
Green Communities Committee,green-communities-committee,2019,1,1,1,0,1,1,0,0,0,0,0
Green Communities Committee,green-communities-committee,2020,7,7,7,5,2,2,0,0,0,0,0
Green Communities Committee,green-communities-committee,2021,9,9,9,8,1,1,0,0,0,0,0
Green Communities Committee,green-communities-committee,2022,9,9,9,9,0,0,0,0,0,0,0
Green Communities Committee,green-communities-committee,2023,9,9,9,9,0,0,0,0,0,0,0
Green Communities Committee,green-communities-committee,2024,20,20,20,19,1,1,0,0,0,0,0
Green Communities Committee,green-communities-committee,2025,15,15,15,13,2,2,0,0,0,0,0
Green Communities Committee,green-communities-committee,2026,2,2,2,2,0,0,0,0,0,0,0
Historical Commission,historical-commission,2010,10,10,10,4,6,6,0,0,0,0,0
Historical Commission,historical-commission,2011,19,19,19,11,8,8,0,0,0,0,0
Historical Commission,historical-commission,2012,20,20,20,9,11,11,0,0,0,0,0
Historical Commission,historical-commission,2013,22,22,22,22,0,0,0,0,0,0,0
Historical Commission,historical-commission,2014,28,28,28,12,16,16,0,0,0,0,0
Historical Commission,historical-commission,2015,37,37,37,12,25,25,0,0,0,0,0
Historical Commission,historical-commission,2016,22,22,22,12,10,10,0,0,0,0,0
Historical Commission,historical-commission,2017,17,17,17,9,8,8,0,0,0,0,0
Historical Commission,historical-commission,2018,19,19,19,7,12,12,0,0,0,0,0
Historical Commission,historical-commission,2019,18,18,18,14,4,4,0,0,0,0,0
Historical Commission,historical-commission,2020,10,10,10,9,1,1,0,0,0,0,0
Historical Commission,historical-commission,2021,17,17,17,14,3,3,0,0,0,0,0
Historical Commission,historical-commission,2022,17,17,17,17,0,0,0,0,0,0,0
Historical Commission,historical-commission,2023,18,18,18,18,0,0,0,0,0,0,0
Historical Commission,historical-commission,2024,23,23,23,23,0,0,0,0,0,0,0
Historical Commission,historical-commission,2025,20,20,20,20,0,0,0,0,0,0,0
Historical Commission,historical-commission,2026,14,14,14,14,0,0,0,0,0,0,0
Land Acquisition Committee,land-acquisition-committee,2019,16,16,16,3,13,13,0,0,0,0,0
Land Acquisition Committee,land-acquisition-committee,2020,1,1,1,0,1,1,0,0,0,0,0
Library Board of Trustees,library-board-of-trustees,2009,21,21,21,21,0,0,0,0,0,0,0
Library Board of Trustees,library-board-of-trustees,2010,20,20,20,20,0,0,0,0,0,0,0
Library Board of Trustees,library-board-of-trustees,2011,21,21,21,21,0,0,0,0,0,0,0
Library Board of Trustees,library-board-of-trustees,2012,45,45,45,39,6,6,0,0,0,0,0
Library Board of Trustees,library-board-of-trustees,2013,29,29,29,25,4,4,0,0,0,0,0
Library Board of Trustees,library-board-of-trustees,2014,31,31,31,27,4,4,0,0,0,0,0
Library Board of Trustees,library-board-of-trustees,2015,28,28,28,25,3,3,0,0,0,0,0
Library Board of Trustees,library-board-of-trustees,2016,22,22,22,20,2,2,0,0,0,0,0
Library Board of Trustees,library-board-of-trustees,2017,20,20,20,6,14,14,0,0,0,0,0
Library Board of Trustees,library-board-of-trustees,2018,19,19,19,9,10,10,0,0,0,0,0
Library Board of Trustees,library-board-of-trustees,2019,24,24,24,21,3,3,0,0,0,0,0
Library Board of Trustees,library-board-of-trustees,2020,28,28,28,27,1,1,0,0,0,0,0
Library Board of Trustees,library-board-of-trustees,2021,25,25,25,25,0,0,0,0,0,0,0
Library Board of Trustees,library-board-of-trustees,2022,24,24,24,24,0,0,0,0,0,0,0
Library Board of Trustees,library-board-of-trustees,2023,22,22,22,20,2,2,0,0,0,0,0
Library Board of Trustees,library-board-of-trustees,2024,22,22,22,22,0,0,0,0,0,0,0
Library Board of Trustees,library-board-of-trustees,2025,23,23,23,23,0,0,0,0,0,0,0
Library Board of Trustees,library-board-of-trustees,2026,13,13,13,13,0,0,0,0,0,0,0
Lunenburg 300th Anniversary Committee,lunenburg-300th-anniversary-committee,2023,4,3,3,3,0,0,0,0,0,0,1
Lunenburg 300th Anniversary Committee,lunenburg-300th-anniversary-committee,2024,6,6,6,5,1,1,0,0,0,0,0
Lunenburg 300th Anniversary Committee,lunenburg-300th-anniversary-committee,2025,6,6,6,6,0,0,0,0,0,0,0
Lunenburg 300th Anniversary Committee,lunenburg-300th-anniversary-committee,2026,14,14,14,14,0,0,0,0,0,0,0
Lunenburg Hazard Mitigation Plan Team Committee,lunenburg-hazard-mitigation-plan-team-committee,2012,3,3,3,2,1,1,0,0,0,0,0
Lunenburg Hazard Mitigation Plan Team Committee,lunenburg-hazard-mitigation-plan-team-committee,2013,1,1,1,0,1,1,0,0,0,0,0
Lunenburg Housing Authority,lunenburg-housing-authority,2010,10,10,10,0,10,10,0,0,0,0,0
Lunenburg Housing Authority,lunenburg-housing-authority,2011,16,16,16,2,14,14,0,0,0,0,0
Lunenburg Housing Authority,lunenburg-housing-authority,2012,14,14,14,14,0,0,0,0,0,0,0
Lunenburg Housing Authority,lunenburg-housing-authority,2013,14,14,14,6,8,8,0,0,0,0,0
Lunenburg Housing Authority,lunenburg-housing-authority,2014,14,14,13,9,5,4,0,0,0,1,0
Lunenburg Housing Authority,lunenburg-housing-authority,2015,12,12,12,7,5,5,0,0,0,0,0
Lunenburg Housing Authority,lunenburg-housing-authority,2016,13,13,13,5,8,8,0,0,0,0,0
Lunenburg Housing Authority,lunenburg-housing-authority,2017,15,15,15,7,8,8,0,0,0,0,0
Lunenburg Housing Authority,lunenburg-housing-authority,2018,11,11,11,6,5,5,0,0,0,0,0
Lunenburg Housing Authority,lunenburg-housing-authority,2019,18,18,18,8,10,10,0,0,0,0,0
Lunenburg Housing Authority,lunenburg-housing-authority,2020,17,17,17,9,8,8,0,0,0,0,0
Lunenburg Housing Authority,lunenburg-housing-authority,2021,22,22,22,10,12,12,0,0,0,0,0
Lunenburg Housing Authority,lunenburg-housing-authority,2022,20,20,20,12,8,8,0,0,0,0,0
Lunenburg Housing Authority,lunenburg-housing-authority,2023,22,22,22,14,8,8,0,0,0,0,0
Lunenburg Housing Authority,lunenburg-housing-authority,2024,18,18,18,18,0,0,0,0,0,0,0
Lunenburg Housing Authority,lunenburg-housing-authority,2025,14,14,14,13,1,1,0,0,0,0,0
Lunenburg Housing Authority,lunenburg-housing-authority,2026,5,5,5,5,0,0,0,0,0,0,0
Lunenburg Municipal Building Design Committee,lunenburg-municipal-building-design-committee,2019,3,3,3,3,0,0,0,0,0,0,0
Lunenburg Municipal Building Design Committee,lunenburg-municipal-building-design-committee,2020,30,30,30,30,0,0,0,0,0,0,0
Lunenburg Municipal Building Design Committee,lunenburg-municipal-building-design-committee,2021,33,33,33,33,0,0,0,0,0,0,0
Lunenburg Municipal Building Design Committee,lunenburg-municipal-building-design-committee,2022,19,19,19,18,1,1,0,0,0,0,0
Lunenburg Municipal Building Design Committee,lunenburg-municipal-building-design-committee,2023,9,9,9,9,0,0,0,0,0,0,0
Lunenburg Municipal Building Design Committee,lunenburg-municipal-building-design-committee,2024,18,18,18,18,0,0,0,0,0,0,0
Lunenburg Municipal Building Design Committee,lunenburg-municipal-building-design-committee,2025,31,31,31,31,0,0,0,0,0,0,0
Lunenburg Municipal Building Design Committee,lunenburg-municipal-building-design-committee,2026,18,18,18,18,0,0,0,0,0,0,0
Master Plan Steering Committee,master-plan-steering-committee,2023,8,8,8,8,0,0,0,0,0,0,0
Master Plan Steering Committee,master-plan-steering-committee,2024,11,11,11,11,0,0,0,0,0,0,0
Master Plan Steering Committee,master-plan-steering-committee,2025,17,17,17,17,0,0,0,0,0,0,0
Master Plan Steering Committee,master-plan-steering-committee,2026,1,1,1,1,0,0,0,0,0,0,0
Nashoba Valley Reginal Dispatch Committee,nashoba-valley-reginal-dispatch-committee,2017,14,14,14,5,9,9,0,0,0,0,0
Nashoba Valley Reginal Dispatch Committee,nashoba-valley-reginal-dispatch-committee,2019,1,1,1,0,1,1,0,0,0,0,0
Nashoba Valley Reginal Dispatch Committee,nashoba-valley-reginal-dispatch-committee,2022,5,5,5,5,0,0,0,0,0,0,0
Nashoba Valley Reginal Dispatch Committee,nashoba-valley-reginal-dispatch-committee,2023,11,11,11,11,0,0,0,0,0,0,0
