fy,edition,page_printed,page_pdf,statement,ordinal,total_row,amount,pct,precision,quote,document
2022,FY2022,72,72,revenue_vs_expenses,5,TOTAL,76330.72,,cents,"$76,330.72",sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf
2023,FY2023,80,80,line_item_expenses,1,Total,163236.09,100.00,cents,"$163,236.09",sources/town-annual-reports/docs/4131-fy-2023-annual-town-report.pdf
2023,FY2023,79,79,revenue_vs_expenses,1,Revenue (from Comcast),203773.00,,cents,"$203,773.00",sources/town-annual-reports/docs/4131-fy-2023-annual-town-report.pdf
2023,FY2023,79,79,revenue_vs_expenses,2,Enterprise Fund Interest,13611.49,,cents,"$13,611.49",sources/town-annual-reports/docs/4131-fy-2023-annual-town-report.pdf
2023,FY2023,79,79,revenue_vs_expenses,3,Subtotal,217384.49,,cents,"$217,384.49",sources/town-annual-reports/docs/4131-fy-2023-annual-town-report.pdf
2023,FY2023,79,79,revenue_vs_expenses,4,Expenses,163236.09,,cents,"$163,236.09",sources/town-annual-reports/docs/4131-fy-2023-annual-town-report.pdf
2023,FY2023,79,79,revenue_vs_expenses,5,Balance,54148.40,,cents,"$54,148.40",sources/town-annual-reports/docs/4131-fy-2023-annual-town-report.pdf
2023,FY2023,79,79,prose,1,PRIOR YEAR REVENUE STATED,199956.37,,cents,"The overall revenue received for FY23 from Comcast was $203,773 an increase from the previous year's $199,956.37 (2 % over FY22).",sources/town-annual-reports/docs/4131-fy-2023-annual-town-report.pdf
2024,FY2024,64,64,line_item_expenses,1,Total,174151.16,100.00,cents,"$174,151.16",sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf
2024,FY2024,63,63,revenue_vs_expenses,1,Revenue (from Comcast),192954.00,,dollars,"$192,954",sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf
2024,FY2024,63,63,revenue_vs_expenses,2,Enterprise Fund Interest,24498.00,,dollars,"$ 24,498",sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf
2024,FY2024,63,63,revenue_vs_expenses,3,Investment Interest,35430.00,,dollars,"$ 35,430",sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf
2024,FY2024,63,63,revenue_vs_expenses,4,Subtotal,252882.00,,dollars,"$252,882",sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf
2024,FY2024,63,63,revenue_vs_expenses,5,Expenses,174150.00,,dollars,"$174,150",sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf
2024,FY2024,63,63,revenue_vs_expenses,6,Balance,78732.00,,dollars,"$ 78,732",sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf
