doc_id,fy,period,fund,fund_name,funds_covered,account_type,level,dept,org,object,account,function,name,original,transfers,revised,expended,encumbered,available,pct_used,totals_only,suppress_zero,rounded_columns
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60001,519005,,,ON-CALL ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60001,519010,,,EVAL STIPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60002,521006,,,USEAGE,898600.0,-25000.0,873600.0,531874.34,278025.66,63700.0,92.7,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60002,521011,,,ELEC CHGS,33600.0,4622.0,38222.0,24532.83,13689.25,0.0,100.0,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60002,521012,,,HEATING CH,500.0,0.0,500.0,319.92,0.0,180.08,64.0,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60002,521014,,,TEL CHGS,4000.0,0.0,4000.0,1584.57,2504.5,-89.07,102.2,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60002,521019,,,SERV VEH M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60002,523001,,,WATER CHGS,4900.0,0.0,4900.0,2700.0,2200.0,0.0,100.0,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60002,523004,,,CONN FEES,9975.0,38500.0,48475.0,24500.0,2975.0,21000.0,56.7,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60002,531004,,,BANKING CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"original,transfers,revised"
