town,year,line,amount,role,source_file,source_ref
Groton,2021,Add Prior Year Free Cash Not Appropriated (CL#12),387596.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A12
Groton,2021,Add Overlay Surplus Closed (CL#13),0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A13
Groton,2021,Prior & Current Year Outstanding Receivables Total,-10142.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A14
Groton,2021,Net Change in Adjustment to Free Cash,-37.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A15
Groton,2021,Other Adjustments,0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A16
Groton,2021,"Identified Free Cash July 1,",2499621.00,identified_total,dls/free-cash-proof-groton.xlsx,Sheet1!A17
Groton,2022,Free Cash Certified Prior Year,2347087.00,prior_year_certified,dls/free-cash-proof-groton.xlsx,Sheet1!A4
Groton,2022,Current Year Calculation,2115125.00,certified,dls/free-cash-proof-groton.xlsx,Sheet1!A5
Groton,2022,Revenue Deficits,0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A6
Groton,2022,Excess/Shortfall Local Receipts (CL#6),1173510.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A7
Groton,2022,Add Actual Revenue Received but not Estimated (CL#7),0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A8
Groton,2022,Excess/Shortfall Cherry Sheet Receipts (CL#8),47452.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A9
Groton,2022,Add Unencumbered/Unexpended Appropriations (CL#11),403150.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A10
Groton,2022,Subtract Negative Free Cash Certified July 1 Prior Year,0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A11
Groton,2022,Add Prior Year Free Cash Not Appropriated (CL#12),440717.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A12
Groton,2022,Add Overlay Surplus Closed (CL#13),0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A13
Groton,2022,Prior & Current Year Outstanding Receivables Total,165759.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A14
Groton,2022,Net Change in Adjustment to Free Cash,-53715.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A15
Groton,2022,Other Adjustments,0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A16
Groton,2022,"Identified Free Cash July 1,",2176873.00,identified_total,dls/free-cash-proof-groton.xlsx,Sheet1!A17
Groton,2023,Free Cash Certified Prior Year,2115125.00,prior_year_certified,dls/free-cash-proof-groton.xlsx,Sheet1!A4
Groton,2023,Current Year Calculation,2423442.00,certified,dls/free-cash-proof-groton.xlsx,Sheet1!A5
Groton,2023,Revenue Deficits,0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A6
Groton,2023,Excess/Shortfall Local Receipts (CL#6),1890417.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A7
Groton,2023,Add Actual Revenue Received but not Estimated (CL#7),0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A8
Groton,2023,Excess/Shortfall Cherry Sheet Receipts (CL#8),104155.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A9
Groton,2023,Add Unencumbered/Unexpended Appropriations (CL#11),439040.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A10
Groton,2023,Subtract Negative Free Cash Certified July 1 Prior Year,0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A11
Groton,2023,Add Prior Year Free Cash Not Appropriated (CL#12),121648.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A12
Groton,2023,Add Overlay Surplus Closed (CL#13),0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A13
Groton,2023,Prior & Current Year Outstanding Receivables Total,109481.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A14
Groton,2023,Net Change in Adjustment to Free Cash,32108.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A15
Groton,2023,Other Adjustments,0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A16
Groton,2023,"Identified Free Cash July 1,",2696849.00,identified_total,dls/free-cash-proof-groton.xlsx,Sheet1!A17
Groton,2024,Free Cash Certified Prior Year,2423442.00,prior_year_certified,dls/free-cash-proof-groton.xlsx,Sheet1!A4
Groton,2024,Current Year Calculation,2757118.00,certified,dls/free-cash-proof-groton.xlsx,Sheet1!A5
Groton,2024,Revenue Deficits,0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A6
Groton,2024,Excess/Shortfall Local Receipts (CL#6),2124838.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A7
Groton,2024,Add Actual Revenue Received but not Estimated (CL#7),0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A8
Groton,2024,Excess/Shortfall Cherry Sheet Receipts (CL#8),-8472.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A9
Groton,2024,Add Unencumbered/Unexpended Appropriations (CL#11),476416.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A10
Groton,2024,Subtract Negative Free Cash Certified July 1 Prior Year,0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A11
Groton,2024,Add Prior Year Free Cash Not Appropriated (CL#12),214164.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A12
Groton,2024,Add Overlay Surplus Closed (CL#13),0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A13
Groton,2024,Prior & Current Year Outstanding Receivables Total,-156051.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A14
Groton,2024,Net Change in Adjustment to Free Cash,-2651.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A15
Groton,2024,Other Adjustments,0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A16
Groton,2024,"Identified Free Cash July 1,",2648244.00,identified_total,dls/free-cash-proof-groton.xlsx,Sheet1!A17
Groton,2025,Free Cash Certified Prior Year,2757118.00,prior_year_certified,dls/free-cash-proof-groton.xlsx,Sheet1!A4
Groton,2025,Current Year Calculation,2641998.00,certified,dls/free-cash-proof-groton.xlsx,Sheet1!A5
Groton,2025,Revenue Deficits,0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A6
Groton,2025,Excess/Shortfall Local Receipts (CL#6),2082079.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A7
Groton,2025,Add Actual Revenue Received but not Estimated (CL#7),0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A8
Groton,2025,Excess/Shortfall Cherry Sheet Receipts (CL#8),17756.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A9
Groton,2025,Add Unencumbered/Unexpended Appropriations (CL#11),689054.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A10
Groton,2025,Subtract Negative Free Cash Certified July 1 Prior Year,0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A11
Groton,2025,Add Prior Year Free Cash Not Appropriated (CL#12),280301.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A12
Groton,2025,Add Overlay Surplus Closed (CL#13),0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A13
Groton,2025,Prior & Current Year Outstanding Receivables Total,-125653.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A14
Groton,2025,Net Change in Adjustment to Free Cash,2690.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A15
Groton,2025,Other Adjustments,0.00,component,dls/free-cash-proof-groton.xlsx,Sheet1!A16
Groton,2025,"Identified Free Cash July 1,",2946227.00,identified_total,dls/free-cash-proof-groton.xlsx,Sheet1!A17
Littleton,2021,Free Cash Certified Prior Year,7346585.00,prior_year_certified,dls/free-cash-proof-littleton.xlsx,Sheet1!A4
Littleton,2021,Current Year Calculation,9428814.00,certified,dls/free-cash-proof-littleton.xlsx,Sheet1!A5
Littleton,2021,Revenue Deficits,0.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A6
Littleton,2021,Excess/Shortfall Local Receipts (CL#6),3016103.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A7
Littleton,2021,Add Actual Revenue Received but not Estimated (CL#7),0.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A8
Littleton,2021,Excess/Shortfall Cherry Sheet Receipts (CL#8),-43335.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A9
Littleton,2021,Add Unencumbered/Unexpended Appropriations (CL#11),4010832.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A10
Littleton,2021,Subtract Negative Free Cash Certified July 1 Prior Year,0.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A11
Littleton,2021,Add Prior Year Free Cash Not Appropriated (CL#12),3771020.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A12
Littleton,2021,Add Overlay Surplus Closed (CL#13),0.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A13
Littleton,2021,Prior & Current Year Outstanding Receivables Total,-403901.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A14
