video_id,board_slug,meeting_date,reason,url,seen_at
L1lJtLhmcus,select-board,2015-06-09,TranscriptsDisabled,https://www.youtube.com/watch?v=L1lJtLhmcus,2026-09-12T02:57:05Z
cJixZmSyB4I,planning-board,2015-06-08,TranscriptsDisabled,https://www.youtube.com/watch?v=cJixZmSyB4I,2026-09-23T02:08:10Z
AnN6UNRwfMA,school-committee,2015-06-03,TranscriptsDisabled,https://www.youtube.com/watch?v=AnN6UNRwfMA,2026-09-11T11:47:07Z
nISqai_Eg60,select-board,2015-06-02,TranscriptsDisabled,https://www.youtube.com/watch?v=nISqai_Eg60,2026-09-12T02:57:51Z
euWYw_9eLzM,select-board,2015-04-07,TranscriptsDisabled,https://www.youtube.com/watch?v=euWYw_9eLzM,2026-09-12T03:00:56Z
TEf_jpvZyhA,finance-committee,2015-03-12,TranscriptsDisabled,https://www.youtube.com/watch?v=TEf_jpvZyhA,2026-09-11T23:07:48Z
wxW99ZFSpVw,zoning-board-of-appeals,2014-12-10,TranscriptsDisabled,https://www.youtube.com/watch?v=wxW99ZFSpVw,2026-09-23T02:27:51Z
QDUPcN6bYJY,zoning-board-of-appeals,2014-11-12,TranscriptsDisabled,https://www.youtube.com/watch?v=QDUPcN6bYJY,2026-09-23T02:29:24Z
-6JeNrQ1JjQ,planning-board,2014-09-22,TranscriptsDisabled,https://www.youtube.com/watch?v=-6JeNrQ1JjQ,2026-09-23T02:34:01Z
ErdgZuJ32os,select-board,2014-07-15,TranscriptsDisabled,https://www.youtube.com/watch?v=ErdgZuJ32os,2026-09-12T03:32:56Z
CmXPllqHKdU,planning-board,2014-03-24,TranscriptsDisabled,https://www.youtube.com/watch?v=CmXPllqHKdU,2026-09-23T02:56:47Z
5xP1fgkWw1w,zoning-board-of-appeals,2014-02-26,TranscriptsDisabled,https://www.youtube.com/watch?v=5xP1fgkWw1w,2026-09-23T02:58:19Z
zm_-bzgYEpE,zoning-board-of-appeals,2014-01-22,TranscriptsDisabled,https://www.youtube.com/watch?v=zm_-bzgYEpE,2026-09-23T03:02:12Z
11l37rCIa2A,school-committee,2013-12-18,TranscriptsDisabled,https://www.youtube.com/watch?v=11l37rCIa2A,2026-09-11T12:09:33Z
