fy,department,pages,people,form,reason,evidence
2017,Zoning Board of Appeals,93-96,,,"mentions staff, states no number","• Strong collaboration and open communication among school staff, students,"
2018,Zoning Board of Appeals,107-109,,,no mention of staff on its own pages,
2019,Zoning Board of Appeals,110-112,,,no mention of staff on its own pages,
2020,Zoning Board of Appeals,99-101,,,no mention of staff on its own pages,
2021,Zoning Board of Appeals,98-99,,,no mention of staff on its own pages,
2022,Zoning Board of Appeals,97-99,,,no mention of staff on its own pages,
2023,Zoning Board of Appeals,113-115,,,no mention of staff on its own pages,
2024,Zoning Board of Appeals,90-90,,,no mention of staff on its own pages,
2019,enior Property Tax Work Off Prograr,85-85,,,no mention of staff on its own pages,
2019,ewer Commissio,86-87,,,no mention of staff on its own pages,
