fy,held_as,amount,column,page,document
2024,Newburyport Bank General Fund Investment,4400746.55,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,TD BankNorth General Fund Investment,59948.46,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,TD BankNorth Zoning Stabilization,243063.42,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,Unibank - Park Revolving Fund,92636.63,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,Unibank GL Fund Investment,227071.47,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,Unibank General Fund Investment,2705934.19,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,Unibank Linde Sacksen Scholarship Fund,1524.86,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,Unibank Sewer Capacity Reserve Stabilization,9209.87,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,Unibank Sewer I/I Stabilization,5465.18,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2023,Bartholomew - Health Insurance Stabilization,380741.82,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Bartholomew - ОРЕВ,1010388.85,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Bartholomew Stabilization Fund,2730600.73,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Bartholomew- PEG Access Enterprise Fund,720236.71,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Bartholomew-Sewer Capital Reserve Stabilization,142702.11,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Batholomew Trust Funds,895746.68,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,BlueStone Bank General Fund Investment,501990.7,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Departmental Petty Cash,4200.0,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Edward Jones Library Trust Funds,90794.38,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Enterprise Bank General Fund Investment,440563.71,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Enterprise Bank-School Activity Fees,315443.72,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Enterprise Bank-Security Street,6621.58,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Fidelity Bank -EOCD Grant,90815.93,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Fidelity Bank General Fund Investment,1521573.22,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Fidelity Bank-ARRA EECBG Grant,298.24,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Fidelity Bank-Senior Grant,1690.37,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Fidelity Bank-Sewer Hook-Up,20.13,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Harbor One Bank General Fund Investment,813331.58,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,Hometown Bank General Fund Investment,533319.67,as printed,48,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
