fy,held_as,amount,column,page,document
2012,Century Bank,65352.9,as printed,72,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,Century Bank Money Market,75799.44,as printed,72,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,Century Bank Security Street,6300.27,as printed,72,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,Citizens Bank Investment,159456.76,as printed,72,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,Commerce Bank,253109.34,as printed,72,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,Eastern Bank School Activity Fees,90314.27,as printed,72,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,Enterprise Bank,154853.74,as printed,72,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,Fidelity Bank ARRA EECBG,297.16,as printed,72,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,Fidelity Bank Sewer Enterprise,590895.06,as printed,72,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,Fidelity Bank Trash Enterprise,10514.55,as printed,72,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,Fidelity Bank Water Enterprise,10891.99,as printed,72,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,Fidelity Depository,1516383.56,as printed,72,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,MMDT Hgwy/Arts/PIgrd,8042.58,as printed,72,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,Mass Municipal Depository Trust (MMDT),215873.46,as printed,72,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,North Middlesex Savings Bank,460338.72,as printed,72,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,Old Mutual Trust Funds,12027.89,as printed,72,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,TD BankNorth Investment,55830.6,as printed,72,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,TD BankNorth Stabilization,364883.39,as printed,72,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,UniBank,296237.28,as printed,72,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,UniBank Money Market,975263.24,as printed,72,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,Webster Bank Investment,36005.92,as printed,72,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2011,....BankNorth Stabilization.,364112.3,as printed,72,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,Bank of America,876873.56,as printed,72,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,Bank of America Money Market,5428.86,as printed,72,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,Bank of America Senior Grant,1684.08,as printed,72,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,Bank of America Septic Grant,92132.0,as printed,72,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,Batholomew Trust Funds,2151704.92,as printed,72,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,Century Bank,65185.99,as printed,72,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,Century Bank Money Market,75673.81,as printed,72,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,Century Bank Security Street,6284.18,as printed,72,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,Citizens Bank Investment,159392.91,as printed,72,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,Commerce Bank,250704.89,as printed,72,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,Eastern Bank School Activity Fees,94453.01,as printed,72,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,Enterprise Bank,177886.11,as printed,72,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,Fidelity Bank ARRA EECG,75288.64,as printed,72,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,Fidelity Bank Sewer Enterprise,579693.43,as printed,72,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,Fidelity Bank Trash Enterprise,28723.84,as printed,72,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,Fidelity Bank Water Enterprise,3705.01,as printed,72,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,Fidelity Depository,660685.31,as printed,72,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,MMDT Hgwy/Arts/Pigrd,7295.34,as printed,72,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,Mass Municipal Depository Trust (MMDT),215280.2,as printed,72,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,North Middlesex Savings Bank,630860.86,as printed,72,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,Old Mutual Trust Funds,11745.04,as printed,72,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,TD BankNorth Investment,55712.62,as printed,72,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,Unibank,766835.03,as printed,72,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,Unibank Money Market,1422427.33,as printed,72,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,Webster Bank Investment,35924.42,as printed,72,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
