dor_code,municipality,fy,vote_date,result,yes_votes,no_votes,vote_type,department,description,amount,source_file,sha256
072,Dartmouth,2009,2008-06-30,WIN,4763,4138,Override,PUBLIC SAFETY,Funding Seven Full Time Police Officer Positions,520160,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
072,Dartmouth,2009,2008-06-30,LOSS,3453,5307,Override,GENERAL OPERATING,Funding Stabilization Fund,1000000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
074,Deerfield,1996,1995-06-08,WIN,769,570,Override,GENERAL OPERATING,General Operating Expenditures,327168,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
074,Deerfield,1996,1995-06-08,WIN,698,630,Override,SCHOOL,Regional School Expenditures,135033,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
074,Deerfield,1996,1995-06-08,WIN,673,651,Override,SCHOOL,School Expenditures,140314,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
074,Deerfield,2026,2026-05-19,LOSS,337,702,Override,HEALTH AND HUMAN SERVICE,South County Emergency Medical Service,400000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
074,Deerfield,2026,2026-05-19,LOSS,178,864,Override,HEALTH AND HUMAN SERVICE,South County Senior Center Budget And Lease,103253,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,1990,1989-06-01,LOSS,644,709,Override,EMPLOYEE BENEFITS,Group Insurance Premiums,145000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,1990,1989-06-01,WIN,876,482,Override,SCHOOL,D-Y Reg.Sch.Budget Assessment,311278,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,1991,1990-12-04,LOSS,276,1315,Override,GENERAL OPERATING,Additional Taxes For Insur.Premiums,38784,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,1991,1990-05-01,WIN,1248,1147,Override,SCHOOL,Gen. Oper. Budget/Sch. Operating Budget,937580,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,1992,1991-06-24,LOSS,1640,2290,Override,CULTURE AND RECREATION,Beach Cleaning Machine,72784,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,1992,1991-06-01,WIN,1191,983,Override,SCHOOL,Fund D. Y. Reg. Sch. Dist. Assesment,200000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,1992,1991-05-21,LOSS,1605,1814,Override,SCHOOL,Portion Payment Of Reg.Tech.High,401418,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,1993,1992-05-19,WIN,1443,1289,Override,SCHOOL,Funding Portion Of School Budget,65475,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,1994,1993-05-18,LOSS,1164,1396,Override,SCHOOL,Funding Portion Of Regional School,536166,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,1994,1993-06-22,WIN,1164,899,Override,SCHOOL,Fund Portion Of Regional School,536166,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,1996,1995-05-16,LOSS,961,1086,Override,PUBLIC SAFETY,Narc. Officer For Police Dept.,45279,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,1996,1995-05-16,LOSS,376,1553,Override,PUBLIC WORKS & FACILITIES,Reconst. And Pave Kibby Lane,75000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,1996,1995-05-16,LOSS,564,1400,Override,PUBLIC WORKS & FACILITIES,Additional Dpw Personnel,97721,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,1996,1995-05-16,LOSS,757,1191,Override,PUBLIC SAFETY,Additional Fire Department Personnel,350000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,1996,1995-05-16,LOSS,778,1240,Override,PUBLIC WORKS & FACILITIES,Heavy Equipment For Dpw,520000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,1996,1995-05-16,WIN,1247,817,Override,PUBLIC WORKS & FACILITIES,Engineering Fees -Solid Waste & Disposal,90000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,1997,1996-07-16,LOSS,790,845,Override,SCHOOL,Fund Portion Of Dennis-Yarmouth Reg. Sch,389925,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,1997,1996-05-21,LOSS,1192,1358,Override,SCHOOL,Fund Portion Of Dennis-Yarmouth Reg.Sch.,993351,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,1998,1997-05-20,WIN,1775,444,Override,PUBLIC SAFETY,"Hire Addit. Firefighter-Paramedics, Etc.",335000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,1999,1998-05-19,LOSS,1500,2030,Override,CULTURE AND RECREATION,Creating Certified Library System,169558,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,2001,1999-10-27,WIN,575,188,Override,PUBLIC SAFETY,Federal Police Hiring Grant,225000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,2002,2001-05-15,WIN,1610,1524,Override,PUBLIC SAFETY,Funding Salaries For The Police Department,106000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,2004,2003-05-13,WIN,1495,800,Override,SCHOOL,Purpose Of Funding Dennis-Yarmouth Regional School System,303222,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,2004,2003-09-23,WIN,570,109,Underride,GENERAL OPERATING,Reduce Amount Of Real Estate And Personal Property Taxes,-176401,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,2004,2003-06-19,WIN,907,319,Override,GENERAL OPERATING,Operating Expenses For Fiscal Year,445265,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,2008,2007-07-10,WIN,1159,739,Override,SCHOOL,Funding Portion Of Towns Share Of Operating Expenses For Dennis-Yarmouth Regional School District,242314.98,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,2009,2008-05-13,WIN,1724,835,Override,SCHOOL,Funding Portion Of Towns Share Of Operating Expenses For The Dennis-Yarmouth Regional School District,257464,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,2011,2010-05-11,WIN,1720,1583,Override,GENERAL OPERATING,Funding Capital Outlay Expenditures,1400000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,2013,2012-05-15,WIN,1056,630,Override,PUBLIC SAFETY,Public Safety Salaries Federal Safer,356376,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,2014,2013-05-14,WIN,1030,602,Override,GENERAL GOVERNMENT,"Funding Police Department Strategic Plan: 5 Additional Patrol Officers, 1 Sergeant And Dispatch Coverage",455926,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,2027,2026-05-12,WIN,1080,477,Override,SCHOOL,Dennis-Yarmouth Regional School District,348050,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,2027,2026-05-12,WIN,1122,441,Override,SCHOOL,Cape Cod Regional Technical High School,44147,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
075,Dennis,2027,2026-05-12,WIN,837,716,Override,GENERAL OPERATING,Town Of Dennis General Fund Operating Budget,1707803,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
076,Dighton,1991,1990-06-01,LOSS,220,1084,Override,GENERAL OPERATING,Gen. Oper. Budget/Regional School Assess.,689000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
077,Douglas,1990,1989-06-01,LOSS,554,731,Override,GENERAL OPERATING,Town Departments,303671,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
077,Douglas,1990,1989-05-01,LOSS,553,648,Override,GENERAL OPERATING,Town Departments,303671,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
077,Douglas,1993,1992-06-30,LOSS,394,572,Override,SCHOOL,Funding School Transportation,50000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
077,Douglas,1993,1992-06-30,LOSS,424,541,Override,SCHOOL,School Department Position,35000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
077,Douglas,1993,1992-06-30,WIN,527,444,Override,SCHOOL,Funding Salaries Of New Teachers,100000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
077,Douglas,1994,1994-01-18,LOSS,164,512,Override,GENERAL OPERATING,General Operating Expenditures,150000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
077,Douglas,1995,1994-06-07,LOSS,611,855,Override,CULTURE AND RECREATION,Funding Operation Of Recreation Dept.,12400,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
077,Douglas,1995,1994-06-07,LOSS,659,805,Override,PUBLIC WORKS & FACILITIES,Highway Department Expenditures,13500,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
077,Douglas,1995,1994-06-07,WIN,832,642,Override,PUBLIC SAFETY,Fund Police Department Expenditures,53400,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
077,Douglas,1995,1994-06-07,WIN,856,613,Override,CULTURE AND RECREATION,Maintainance Of Public Library,47000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
077,Douglas,1995,1994-06-07,LOSS,592,865,Override,GENERAL GOVERNMENT,Salary For Town Administrator,42000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
077,Douglas,2019,2018-05-08,WIN,1333,1319,Override,GENERAL OPERATING,To Fund Operating Expenses,1500000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
078,Dover,1990,1989-05-01,WIN,875,566,Override,GENERAL OPERATING,General Oper. Expenditures,179348,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
078,Dover,1991,1990-05-01,WIN,875,516,Override,GENERAL OPERATING,General Oper. Expenditures,266713,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
078,Dover,1991,1990-05-01,LOSS,672,701,Override,PUBLIC WORKS & FACILITIES,Dump Tr./Highway Department Build.Repairs,81000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
078,Dover,1992,1991-05-01,WIN,797,500,Override,GENERAL OPERATING,General Budget,385424,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
078,Dover,1993,1992-05-18,WIN,621,356,Override,GENERAL OPERATING,"School, Police, Fire, Library, Etc",141897,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
078,Dover,1994,1993-05-17,WIN,739,503,Override,GENERAL OPERATING,Addit. Taxes For General Operating,120758,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
078,Dover,1995,1994-05-16,WIN,584,336,Override,GENERAL OPERATING,General Operating Expenses,176023,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
078,Dover,1995,1994-05-16,WIN,546,382,Override,GENERAL GOVERNMENT,Conservation Land Acquisition,25000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
078,Dover,2004,2003-05-19,WIN,586,293,Override,GENERAL OPERATING,"Local And Reg.Schools, Council On Aging, Conservation, Snow And Ice Removal, Police And Fire Expend., Etc.",350000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
078,Dover,2005,2004-05-17,WIN,554,353,Override,GENERAL OPERATING,"School Services, Fire Services And Police Services, Library And Parks Snow And Ice Removal",650000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
078,Dover,2006,2005-05-16,WIN,491,315,Override,GENERAL OPERATING,General Operating Expenditures,900000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
078,Dover,2007,2006-05-15,LOSS,630,697,Override,GENERAL OPERATING,General Operating Expenditures,800000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
079,Dracut,1991,1990-05-01,LOSS,640,6320,Override,PUBLIC WORKS & FACILITIES,Solid Waste Disp Inc Condos,470000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
079,Dracut,1991,1990-05-01,LOSS,1385,5565,Override,GENERAL OPERATING,Town And School Operating Budgets,1430000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
079,Dracut,1993,1992-07-13,LOSS,2067,4545,Override,SCHOOL,Additional Monies For School Budget,611000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
079,Dracut,1993,1992-07-13,LOSS,1977,4681,Override,SCHOOL,Additional Money For School Budget,1161000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
079,Dracut,1993,1992-07-13,LOSS,1963,4615,Override,SCHOOL,Monies For School Budget,967000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
079,Dracut,1993,1992-07-13,LOSS,1652,5025,Override,SCHOOL,Meed Budget Request For Voc School,10000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
079,Dracut,1993,1992-07-13,LOSS,1395,5295,Override,PUBLIC WORKS & FACILITIES,Prevent Layoff Of Three Pub Works Empl,148000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
079,Dracut,1993,1992-07-13,LOSS,2512,4244,Override,CULTURE AND RECREATION,Fund Library And Council On Aging Dept,377225,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
079,Dracut,1993,1992-07-13,LOSS,2487,4251,Override,PUBLIC SAFETY,Rehire 4 Firefighters That Were Laid Off,168000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
079,Dracut,1993,1992-07-13,LOSS,2313,4433,Override,PUBLIC SAFETY,Prevent Layoff Of Three Police Officers,119000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
079,Dracut,1993,1992-07-13,LOSS,2169,4465,Override,SCHOOL,Additional Monies For School Budget,425000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
079,Dracut,2014,2013-09-09,LOSS,2452,6367,Override,SCHOOL,"Funding The Town Of Dracut Public School Expenses For The Fiscal Year Beginning July 1, 2013",2900000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
079,Dracut,2014,2013-09-09,LOSS,2626,6139,Override,GENERAL GOVERNMENT,"Funding Departmental Expenses (Fire, Police, Dept. Of Public Works) For The Fiscal Year Beginning July 1, 2013",200000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,1992,1991-06-10,LOSS,615,1281,Override,SCHOOL,Funding School System,557800,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,1995,1994-06-27,LOSS,542,924,Override,GENERAL OPERATING,General Operating Expenditures,376000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2004,2003-08-12,LOSS,322,960,Override,GENERAL OPERATING,Funding The Operating Budgets Of The Town & Public Schools,750000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2005,2004-07-12,LOSS,190,1538,Override,GENERAL OPERATING,Restoring Stipends To Elected Officials,11189,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2005,2004-07-12,LOSS,545,1185,Override,PUBLIC SAFETY,Weekend Emergency Medical Services Ambulance Coverage,43056,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2005,2004-07-12,LOSS,516,1212,Override,SCHOOL,Dudley Charlton Regional School District,159927,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2005,2004-07-14,LOSS,269,1449,Override,GENERAL OPERATING,Cemetery Commission,20000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2005,2004-07-12,LOSS,419,1304,Override,PUBLIC WORKS & FACILITIES,Highway Department,59125,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2005,2004-07-12,LOSS,310,1409,Override,GENERAL OPERATING,Stabilization Account,230000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2005,2004-07-12,LOSS,275,1442,Override,GENERAL OPERATING,Increase In Insurance Premiums,130594,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2005,2004-07-12,LOSS,339,1389,Override,GENERAL GOVERNMENT,Restoring Town Hall,97459,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2005,2004-07-12,LOSS,502,1227,Override,PUBLIC SAFETY,Funding Fire Department,30212,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2005,2004-07-12,LOSS,443,1284,Override,PUBLIC SAFETY,Funding Police Department,101000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2006,2005-09-13,LOSS,923,1175,Override,PUBLIC WORKS & FACILITIES,Funding Highway Department,25000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2006,2005-09-13,LOSS,894,1206,Override,PUBLIC SAFETY,Funding Dudley Charlton Regional School District,59447,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2006,2005-09-13,LOSS,905,1202,Override,SCHOOL,Funding Charlton Regional School District,97943,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2006,2005-09-13,LOSS,925,1179,Override,PUBLIC SAFETY,Funding Fire Department,25000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2009,2008-05-05,LOSS,561,1028,Override,PUBLIC SAFETY,Staffing Of Seven Full Time Emt Paramedic/Firefighter Positions,530000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2010,2009-05-04,LOSS,378,720,Override,PUBLIC WORKS & FACILITIES,Streetlights Andutility/Energy Costs,38500,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2012,2011-05-16,LOSS,202,751,Override,SCHOOL,Offsetting Doe Local Effort Increment Requirement For 2 Regional School Districts,91500,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2012,2011-05-16,LOSS,207,750,Override,PUBLIC WORKS & FACILITIES,Utility And Energy Costs,7500,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2013,2012-11-06,LOSS,2150,2749,Override,GENERAL OPERATING,Additional Monies In Real Estate And Property Taxes  For Funding Departmental Expenses,500000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2013,2012-05-07,LOSS,156,444,Override,PUBLIC WORKS & FACILITIES,Energy/Utility Costs,6000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2014,2013-06-25,LOSS,957,1101,Override,GENERAL GOVERNMENT,"To Offset Programs: Ma Doe Local Effort Increment Contribution, Fire, Police And Highway Departments For Fiscal Year Beginning July 1, 2013",335000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2015,2014-06-17,WIN,585,453,Override,GENERAL GOVERNMENT,Funding Departmental Expenses,410722,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2019,2018-04-03,WIN,724,533,Override,SCHOOL,Funding Dudley-Charlton Rsd Budget,1544333,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2024,2023-08-17,LOSS,1112,1591,Override,GENERAL OPERATING,Funding For Town Departments,133698,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2024,2023-08-17,LOSS,1254,1449,Override,PUBLIC WORKS & FACILITIES,Funding For The Highway Department,534304,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2024,2023-04-25,LOSS,701,2261,Override,GENERAL OPERATING,General Operation Override,4846597,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2024,2023-06-12,LOSS,880,1791,Override,SCHOOL,Operational Expenses For Dudley-Charlton,2668797,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2024,2023-08-17,WIN,1518,1190,Override,GENERAL OPERATING,Funding For Public Library,297528,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
080,Dudley,2024,2023-08-17,WIN,1791,931,Override,SCHOOL,Operating Expenses For Dudley-Charlton,901683,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
