dataset,edition,report_fy,document,page,copy,plan_fiscal_year,line_no,project,cost,cumulative,printed_total,columns_as_printed,status,reconciliation
capital_plan,FY2016,2016,4123-fy-2016-annual-town-report.pdf,94,committee report,2017,5,DPW 17-01 5 Townsend Harbor Road Bridge,15000.0,183500.0,780975.0,"Total $ 780,975",checked,"12 project rows sum to 780,975.00 = the total the page prints"
capital_plan,FY2016,2016,4123-fy-2016-annual-town-report.pdf,94,committee report,2017,6,DPW 16-11 6 Catch Basin Cleaner Attachment,87125.0,270625.0,780975.0,"Total $ 780,975",checked,"12 project rows sum to 780,975.00 = the total the page prints"
capital_plan,FY2016,2016,4123-fy-2016-annual-town-report.pdf,94,committee report,2017,7,"DPW 17-04 7 Mack Dump 6-Wheel, plow & sand",194750.0,465375.0,780975.0,"Total $ 780,975",checked,"12 project rows sum to 780,975.00 = the total the page prints"
capital_plan,FY2016,2016,4123-fy-2016-annual-town-report.pdf,94,committee report,2017,8,DPW 16-07 8 GMC Dump 350 (1-ton w/plow),53300.0,518675.0,780975.0,"Total $ 780,975",checked,"12 project rows sum to 780,975.00 = the total the page prints"
capital_plan,FY2016,2016,4123-fy-2016-annual-town-report.pdf,94,committee report,2017,9,TECH16-25 9 Town Departments (Technology),30800.0,549475.0,780975.0,"Total $ 780,975",checked,"12 project rows sum to 780,975.00 = the total the page prints"
capital_plan,FY2016,2016,4123-fy-2016-annual-town-report.pdf,94,committee report,2017,10,"FD16-13 10 Pickup, 4 × 4 (M1) Replacement (2003)",70000.0,619475.0,780975.0,"Total $ 780,975",checked,"12 project rows sum to 780,975.00 = the total the page prints"
capital_plan,FY2016,2016,4123-fy-2016-annual-town-report.pdf,94,committee report,2017,11,"LPS16-19 11 THMS, Asbestos Abatement / Ceiling Replacement",145000.0,764475.0,780975.0,"Total $ 780,975",checked,"12 project rows sum to 780,975.00 = the total the page prints"
capital_plan,FY2016,2016,4123-fy-2016-annual-town-report.pdf,94,committee report,2017,12,"PD16-16 12 4-Wheel Drive, All Terrain Off Road Enforcement Vehicle",16500.0,780975.0,780975.0,"Total $ 780,975",checked,"12 project rows sum to 780,975.00 = the total the page prints"
capital_plan,FY2017,2017,4124-fy-2017-annual-town-report.pdf,90,committee report,2018,1,FM16-09 1 Senior Center Painting,18300.0,18300.0,633317.0,"Total $ 633,317",checked,"no column sums to the printed 633,317.00; the running CUMULATIVE column does end there, over 10 rows, so each cost is read as the step between two cumulatives"
capital_plan,FY2017,2017,4124-fy-2017-annual-town-report.pdf,90,committee report,2018,2,Town Hall Painting,87750.0,106050.0,633317.0,"Total $ 633,317",checked,"no column sums to the printed 633,317.00; the running CUMULATIVE column does end there, over 10 rows, so each cost is read as the step between two cumulatives"
capital_plan,FY2017,2017,4124-fy-2017-annual-town-report.pdf,90,committee report,2018,3,FM17-10 1 Fuel Tank - DPW Building,110000.0,216050.0,633317.0,"Total $ 633,317",checked,"no column sums to the printed 633,317.00; the running CUMULATIVE column does end there, over 10 rows, so each cost is read as the step between two cumulatives"
capital_plan,FY2017,2017,4124-fy-2017-annual-town-report.pdf,90,committee report,2018,4,Playground Project,12000.0,228050.0,633317.0,"Total $ 633,317",checked,"no column sums to the printed 633,317.00; the running CUMULATIVE column does end there, over 10 rows, so each cost is read as the step between two cumulatives"
capital_plan,FY2017,2017,4124-fy-2017-annual-town-report.pdf,90,committee report,2018,5,DPW16-07 1 GMC Dump Truck,53767.0,281817.0,633317.0,"Total $ 633,317",checked,"no column sums to the printed 633,317.00; the running CUMULATIVE column does end there, over 10 rows, so each cost is read as the step between two cumulatives"
capital_plan,FY2017,2017,4124-fy-2017-annual-town-report.pdf,90,committee report,2018,6,FD16-14 1 Command Car,60000.0,341817.0,633317.0,"Total $ 633,317",checked,"no column sums to the printed 633,317.00; the running CUMULATIVE column does end there, over 10 rows, so each cost is read as the step between two cumulatives"
