path,date,board_slug,pdf_sha256,chars,pages,ocr_at
conservation-commission/2025-05-07-minutes-7208.pdf,2025-05-07,conservation-commission,3c42a894e22759f61135c14dc83c68a1fd0b0112b3c0107fc12d0a5248bee8dd,11541,7,2026-09-18T01:26:55Z
board-of-assessors/2025-05-05-minutes-7202.pdf,2025-05-05,board-of-assessors,350fb49a0feed98a0e94255ee3a85e527d005e2f6e88ec8688c0ec58d6d2cbce,7601,6,2026-09-18T01:27:33Z
board-of-assessors/2025-04-16-minutes-7166.pdf,2025-04-16,board-of-assessors,03bc4440bdaf7beb04ce94e276f9fd9e58fb871e661e38744aa9045d5f2cbe91,7229,5,2026-09-18T01:28:07Z
conservation-commission/2025-04-16-minutes-7173.pdf,2025-04-16,conservation-commission,0350c928f730c8ab9d471dc2ef7bd2a83b2feae1e304eed400a0772672b64f2f,10883,6,2026-09-18T01:28:48Z
board-of-assessors/2025-04-02-minutes-7136.pdf,2025-04-02,board-of-assessors,929e4f6fc2e7a171fb984f7ac53d3f1b57f5f76d9f15221a808f441482930bbf,5598,4,2026-09-18T01:29:15Z
conservation-commission/2025-04-02-minutes-7133.pdf,2025-04-02,conservation-commission,b8e20827c68938a5cad361927b4107854f0fd9f8dd1fe762fc1008fb5f92a69e,10136,5,2026-09-18T01:29:53Z
conservation-commission/2025-03-19-minutes-7108.pdf,2025-03-19,conservation-commission,195324c0bd95d21b7989b0665e1f84f45509217f3ca3f8f7b21bd0b8734647b0,9038,5,2026-09-18T01:30:26Z
conservation-commission/2025-03-05-minutes-7084.pdf,2025-03-05,conservation-commission,195324c0bd95d21b7989b0665e1f84f45509217f3ca3f8f7b21bd0b8734647b0,9038,5,2026-09-18T01:30:59Z
conservation-commission/2025-02-25-minutes-7074.pdf,2025-02-25,conservation-commission,8d4da55ff36167f15e3dc1752f9c5e4f833b20e6d8f3ea471fa8352e9bea294e,6715,4,2026-09-18T01:31:28Z
conservation-commission/2025-02-19-minutes-7052.pdf,2025-02-19,conservation-commission,bd0ed22cd485c3346d85935fff4ed4283de03d6509824c594bdd65733677bdfe,8516,5,2026-09-18T01:32:04Z
council-on-aging/2025-02-11-minutes-7014.pdf,2025-02-11,council-on-aging,f286044ebdbab9ab163b07cb9bb7c5871fdbd7d2c24f6e1e1a8cf60dbbed843a,4005,2,2026-09-18T01:32:22Z
board-of-assessors/2025-02-05-minutes-6999.pdf,2025-02-05,board-of-assessors,7a09aea99c3aa38fde6502bf395ffafb0e35c7b00c0376db903cda5dfe21ff55,6058,4,2026-09-18T01:32:47Z
conservation-commission/2025-01-29-minutes-6985.pdf,2025-01-29,conservation-commission,652a7212b907a65b7b74b598119fc333fd3b389bf43df764068d1d0cb1878ada,3713,2,2026-09-18T01:33:03Z
conservation-commission/2025-01-22-minutes-6966.pdf,2025-01-22,conservation-commission,c281f7e3d85feb53651f665494d55c4b6c4afc7177955eb0f329371c1e89e564,18888,6,2026-09-18T01:34:10Z
conservation-commission/2024-12-18-minutes-6931.pdf,2024-12-18,conservation-commission,8bd6c6192ddbcd51476236448c419d6c2b448e004d654a2164d9f9c03ff13663,14239,7,2026-09-18T01:35:03Z
council-on-aging/2024-12-10-minutes-6913.pdf,2024-12-10,council-on-aging,c768d8aab7f822cc4dc7149c11cfde3b6721682a1a2474d4e71c19eea59bf35a,2950,2,2026-09-18T01:35:18Z
council-on-aging/2024-11-12-minutes-6868.pdf,2024-11-12,council-on-aging,4aabc8922a1a0bddcc397abd0272dfa23cbe21c3d7f0059626683348a77c1268,4830,2,2026-09-18T01:35:36Z
finance-committee-appointing-committee/2024-10-22-minutes-6836.pdf,2024-10-22,finance-committee-appointing-committee,fc50d20eab4b288a86ebb5bcc13cc6ccca953d325c347d4274936ec4546f02b0,748,1,2026-09-18T01:35:42Z
town-manager-screening-committee/2024-10-07-minutes-6804.pdf,2024-10-07,town-manager-screening-committee,edde25749e17c56545675a80e24bf37153a0b65a201fe4155e57384a1b0ad3fd,1597,1,2026-09-18T01:35:49Z
