fy,page,order,post,kind,section,stated_members,person,vacancies,term_expires,note,size_check
2025,13,68,ARCHITECTURAL PRESERVATION DISTRICT COMMISSION (APDC,board seat,appointed,5,BOARD OF REGISTRARS OF VOTERS (Term runs April 1 to March 31),0,,,check failed
2025,13,69,ARCHITECTURAL PRESERVATION DISTRICT COMMISSION (APDC,board seat,appointed,5,Ruth Anderson,0,2027,,check failed
2025,13,70,ARCHITECTURAL PRESERVATION DISTRICT COMMISSION (APDC,board seat,appointed,5,Kathy Herrick- Town Clerk,0,,,check failed
2025,13,71,ARCHITECTURAL PRESERVATION DISTRICT COMMISSION (APDC,board seat,appointed,5,Karen Kemp,0,2026,,check failed
2025,13,72,ARCHITECTURAL PRESERVATION DISTRICT COMMISSION (APDC,board seat,appointed,5,Shirley McBride,0,2028,,check failed
2025,13,73,BUILDING COMMISSIONER/ZONING ENFORCEMENT OFFICER,officer,appointed,,Brian Gingras,0,,,no check
2025,13,74,CAPITAL PLANNING COMMITTEE,board seat,appointed,5,Mather Benner-Slain Board,0,,,check failed
2025,13,75,CAPITAL PLANNING COMMITTEE,board seat,appointed,5,eter Beardmore-School Committer,0,,,check failed
2025,13,76,CAPITAL PLANNING COMMITTEE,board seat,appointed,5,Robert Bowen-Member at Large,0,,,check failed
2025,13,77,CONSERVATION COMMISSION,board seat,appointed,7,Richard Bursch,0,2026,,check failed
2025,13,78,CONSERVATION COMMISSION,board seat,appointed,7,Mike Larouche,0,2027,,check failed
2025,13,79,CONSERVATION COMMISSION,board seat,appointed,7,Jenny Pewtherer,0,2027,,check failed
2025,13,80,CONSERVATION COMMISSION,board seat,appointed,7,Teddy Doucet,0,2028,,check failed
2025,13,81,CONSERVATION COMMISSION,board seat,appointed,7,Andrea Burnap,0,2028,,check failed
2025,14,82,COUNCIL ON AGING,board seat,appointed,11,Helen Balcom,0,2027,,checked
2025,14,83,COUNCIL ON AGING,board seat,appointed,11,Cathy Beale,0,2027,,checked
2025,14,84,COUNCIL ON AGING,board seat,appointed,11,Elena Christopher,0,2026,,checked
2025,14,85,COUNCIL ON AGING,board seat,appointed,11,Deborah Lincoln,0,2027,,checked
2025,14,86,COUNCIL ON AGING,board seat,appointed,11,James McGuigan,0,2028,,checked
2025,14,87,COUNCIL ON AGING,board seat,appointed,11,Diane Nowd,0,2026,,checked
2025,14,88,COUNCIL ON AGING,board seat,appointed,11,Jane Rabbitt,0,2028,,checked
2025,14,89,COUNCIL ON AGING,board seat,appointed,11,Susan O'Sullivan,0,2028,,checked
2025,14,90,COUNCIL ON AGING,board seat,appointed,11,Ana Lockwood,0,2027,,checked
2025,14,91,COUNCIL ON AGING,board seat,appointed,11,Jack Rabbit,0,2028,,checked
2025,14,92,COUNCIL ON AGING,board seat,appointed,11,Lou Franco,0,2028,,checked
2025,14,93,COUNCIL ON AGING DIRECTOR,officer,appointed,,Deborah Goodsell,0,,,no check
2025,14,94,CULTURAL COUNCIL,board seat,appointed,"(5, 22)",Daniel Burns,0,2027,,checked
2025,14,95,CULTURAL COUNCIL,board seat,appointed,"(5, 22)",Elise Wiley,0,2027,,checked
2025,14,96,CULTURAL COUNCIL,board seat,appointed,"(5, 22)",Karen Kemp,0,2027,,checked
2025,14,97,CULTURAL COUNCIL,board seat,appointed,"(5, 22)",Donna Saiia,0,2027,,checked
2025,14,98,CULTURAL COUNCIL,board seat,appointed,"(5, 22)",Chriztine Foltz,0,2027,,checked
2025,14,99,CULTURAL COUNCIL,board seat,appointed,"(5, 22)",Nancy Peterson,0,2028,,checked
2025,14,100,CULTURAL COUNCIL,board seat,appointed,"(5, 22)",Tiffany Warren,0,2028,,checked
2025,14,101,DAM KEEPER,officer,appointed,,Ronald Wilson,0,,,no check
2025,14,102,ASSISTANT DAM KEEPER,officer,appointed,,Richard Patry,0,,,no check
2025,14,103,DPW DIRECTOR,officer,appointed,,William Bernard,0,,,no check
2025,14,104,ECONOMIC DEVELOPMENT COMMITTEE,board seat,appointed,,Cathy Clark-Member at Large,0,,,no check
2025,14,105,ECONOMIC DEVELOPMENT COMMITTEE,board seat,appointed,,Jeanne Dupre-Member at Large,0,,,no check
2025,14,106,ECONOMIC DEVELOPMENT COMMITTEE,board seat,appointed,,Joeci Gilchrest-Member at Large,0,,,no check
2025,14,107,ECONOMIC DEVELOPMENT COMMITTEE,board seat,appointed,,Judy Dragoslis-Member at Large,0,,,no check
2025,14,108,ECONOMIC DEVELOPMENT COMMITTEE,board seat,appointed,,Ana Lockwood- Open Space Committee,0,,,no check
2025,14,109,Ex Officio Members,officer,appointed,,Glenn McLeod-Select Board,0,,,no check
2025,14,110,Ex Officio Members,officer,appointed,,Matthew Brenner-Planning Board,0,,,no check
2025,14,111,ELECTION WORKERS,officer,appointed,,Warden: Glen Reinhardt,0,,,no check
2025,14,112,ELECTION WORKERS,officer,appointed,,Deputy Warden: Judy Halligan (R),0,,,no check
