===SHEET Salaries===
,,FY25,FY26,%,,,,,,,,,,,,,,,,,,,,,,,FY23 Level,FY23 Step,FY23 Hourly Rate,,FY23 Degree Advancement,FY23 Annual Salary,FY23 Budgeted Salary,FY23 Budgeted Personnel Budget
,"DESCRIPTION, SALARIES",Budgeted,Proposed,increase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Paraprofessionals /Regular,22067,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S.  Library Paraprofessionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Greenhouse Manager - H.S.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2330 - Paraprofessionals Special Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Special Ed Paraprofessionals,320668,424416,0.3235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Special Ed Paraprofessionals,248261,225152,-0.0931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Special Ed Paraprofessionals,391895,373590,-0.0467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Special Ed Paraprofessionals,361512,275473,-0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ACE Special Ed Paraprofessionals,108577,43742,-0.5971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Special Ed Contracted Services,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Special Ed Home/Hospital Tutoring,10000,1000,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Special Ed Contracted Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2340 - Librarians Salaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Librarian,48611,50555,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Librarian,48611,50555,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Librarian,50511,53405,0.0573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Librarian,50511,53405,0.0573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2355 - Professional Dev Substitutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kind  Professional Dev Subs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P. S. Professional Dev Subs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E. S. Professional Dev Subs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M. S. Professional Dev Subs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H. S. Professional Dev Subs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2357 - Professional Dev Stipends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stipends Kind Professional Dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stipends P. S. Professional Dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stipends E. S. Professional Dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stipends M. S. Professional Dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stipends H. S. Professional Dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stipends - System,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710 - Guidance Salaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Guidance Counselor,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Guidance Counselor,65526,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Guidance Counselor,95817,147680,0.5413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Guidance Counselor,245054,209884,-0.1435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Guidance Secretary,17949,42568,1.3716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Summer Guidance Scheduling,5300,5592,0.0552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800 - Psychological Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,System School Psychologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary School Psychologist,92780,98784,0.0647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elementary School Psychologist,95400,98784,0.0355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Middle School Psychologist,43771,45106,0.0305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,High School Psychologist,43771,45106,0.0305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900 - Social Worker Salaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Social Worker,89364,46470,-0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Social Worker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Social Worker,89364,46470,-0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S Social Worker,58450,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Social Worker,86742,90212,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3200 - School Nurses Salaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Nurses,51078,74510,0.4588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Nurses,65997,79028,0.1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Nurses,68168,73153,0.0731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
