"sy","dist_code","dist_name","ind_cat","ind_subcat","ind_value","ind_value_type"
"2022","01620000","Lunenburg","Student Enrollment","In-District FTE Pupils","1599.8","Count"
"2022","01620000","Lunenburg","Student Enrollment","Out-of-District FTE Pupils","125.1","Count"
"2022","01620000","Lunenburg","Student Enrollment","Total FTE Pupils","1724.9","Count"
"2022","01620000","Lunenburg","Student Demographics","English learner % Headcount","1.4","Percent"
"2022","01620000","Lunenburg","Student Demographics","Low-Income % Headcount","25.6","Percent"
"2022","01620000","Lunenburg","Student Demographics","Student Headcount","1597.0","Count"
"2022","01620000","Lunenburg","Student Demographics","Students with disabilities % Headcount","14.1","Percent"
"2022","01620000","Lunenburg","Teacher Salaries","Average Teacher Salary","85426.0","Amount"
"2022","01620000","Lunenburg","Teacher Salaries","Teacher FTE","111.3","Count"
"2022","01620000","Lunenburg","Teacher Salaries","Teachers per 100 FTE students","7.0","Count"
"2022","01620000","Lunenburg","Other Staff","Instructional Coach FTE","0.0","Count"
"2022","01620000","Lunenburg","Other Staff","Instructional Support FTE","9.5","Count"
"2022","01620000","Lunenburg","Other Staff","Paraprofessional FTE","55.5","Count"
"2022","01620000","Lunenburg","Other Staff","Special Education Instructional Support FTE","1.0","Count"
"2022","01620000","Lunenburg","MCAS Performance","ELA Grade 10 % Meets or Exceeds","65.0","Percent"
"2022","01620000","Lunenburg","MCAS Performance","ELA Grades 3-8 % Meets or Exceeds","40.5","Percent"
"2022","01620000","Lunenburg","MCAS Performance","Math Grade 10 % Meets or Exceeds","59.5","Percent"
"2022","01620000","Lunenburg","MCAS Performance","Math Grades 3-8 % Meets or Exceeds","38.6","Percent"
"2022","01620000","Lunenburg","Expenditures Per Pupil","Administration","763.0","Amount"
"2022","01620000","Lunenburg","Expenditures Per Pupil","Guidance, Counseling and Testing","607.0","Amount"
"2022","01620000","Lunenburg","Expenditures Per Pupil","Instructional Leadership","1215.0","Amount"
"2022","01620000","Lunenburg","Expenditures Per Pupil","Instructional Materials, Equipment and Technology","193.0","Amount"
"2022","01620000","Lunenburg","Expenditures Per Pupil","Insurance, Retirement Programs and Other","2919.0","Amount"
"2022","01620000","Lunenburg","Expenditures Per Pupil","Operations and Maintenance","1224.0","Amount"
"2022","01620000","Lunenburg","Expenditures Per Pupil","Other Teaching Services","1483.0","Amount"
"2022","01620000","Lunenburg","Expenditures Per Pupil","Professional Development","132.0","Amount"
"2022","01620000","Lunenburg","Expenditures Per Pupil","Pupil Services","1460.0","Amount"
"2022","01620000","Lunenburg","Expenditures Per Pupil","Teachers","5878.0","Amount"
"2022","01620000","Lunenburg","Expenditures Per Pupil","Total Expenditures","15864.0","Amount"
"2022","01620000","Lunenburg","Expenditures Per Pupil","Total In-District Expenditures","15873.0","Amount"
"2021","01620000","Lunenburg","Student Enrollment","In-District FTE Pupils","1575.5","Count"
"2021","01620000","Lunenburg","Student Enrollment","Out-of-District FTE Pupils","124.2","Count"
"2021","01620000","Lunenburg","Student Enrollment","Total FTE Pupils","1699.7","Count"
"2021","01620000","Lunenburg","Student Demographics","English learner % Headcount","1.1","Percent"
"2021","01620000","Lunenburg","Student Demographics","Low-Income % Headcount","20.7","Percent"
"2021","01620000","Lunenburg","Student Demographics","Student Headcount","1593.0","Count"
"2021","01620000","Lunenburg","Student Demographics","Students with disabilities % Headcount","16.3","Percent"
"2021","01620000","Lunenburg","Teacher Salaries","Average Teacher Salary","85067.0","Amount"
"2021","01620000","Lunenburg","Teacher Salaries","Teacher FTE","108.7","Count"
"2021","01620000","Lunenburg","Teacher Salaries","Teachers per 100 FTE students","6.9","Count"
"2021","01620000","Lunenburg","Other Staff","Instructional Coach FTE","0.0","Count"
"2021","01620000","Lunenburg","Other Staff","Instructional Support FTE","7.4","Count"
"2021","01620000","Lunenburg","Other Staff","Paraprofessional FTE","59.5","Count"
"2021","01620000","Lunenburg","Other Staff","Special Education Instructional Support FTE","2.0","Count"
"2021","01620000","Lunenburg","MCAS Performance","ELA Grade 10 % Meets or Exceeds","83.2","Percent"
"2021","01620000","Lunenburg","MCAS Performance","ELA Grades 3-8 % Meets or Exceeds","50.4","Percent"
"2021","01620000","Lunenburg","MCAS Performance","Math Grade 10 % Meets or Exceeds","77.6","Percent"
"2021","01620000","Lunenburg","MCAS Performance","Math Grades 3-8 % Meets or Exceeds","36.7","Percent"
"2021","01620000","Lunenburg","Expenditures Per Pupil","Administration","772.0","Amount"
"2021","01620000","Lunenburg","Expenditures Per Pupil","Guidance, Counseling and Testing","518.0","Amount"
"2021","01620000","Lunenburg","Expenditures Per Pupil","Instructional Leadership","910.0","Amount"
"2021","01620000","Lunenburg","Expenditures Per Pupil","Instructional Materials, Equipment and Technology","449.0","Amount"
"2021","01620000","Lunenburg","Expenditures Per Pupil","Insurance, Retirement Programs and Other","2956.0","Amount"
"2021","01620000","Lunenburg","Expenditures Per Pupil","Operations and Maintenance","1136.0","Amount"
"2021","01620000","Lunenburg","Expenditures Per Pupil","Other Teaching Services","1473.0","Amount"
"2021","01620000","Lunenburg","Expenditures Per Pupil","Professional Development","58.0","Amount"
"2021","01620000","Lunenburg","Expenditures Per Pupil","Pupil Services","1059.0","Amount"
"2021","01620000","Lunenburg","Expenditures Per Pupil","Teachers","5869.0","Amount"
"2021","01620000","Lunenburg","Expenditures Per Pupil","Total Expenditures","15201.0","Amount"
"2021","01620000","Lunenburg","Expenditures Per Pupil","Total In-District Expenditures","15201.0","Amount"
"2020","01620000","Lunenburg","Student Enrollment","In-District FTE Pupils","1651.3","Count"
"2020","01620000","Lunenburg","Student Enrollment","Out-of-District FTE Pupils","121.5","Count"
"2020","01620000","Lunenburg","Student Enrollment","Total FTE Pupils","1772.8","Count"
"2020","01620000","Lunenburg","Student Demographics","English learner % Headcount","1.1","Percent"
"2020","01620000","Lunenburg","Student Demographics","Low-Income % Headcount","16.9","Percent"
"2020","01620000","Lunenburg","Student Demographics","Student Headcount","1641.0","Count"
"2020","01620000","Lunenburg","Student Demographics","Students with disabilities % Headcount","15.4","Percent"
"2020","01620000","Lunenburg","Teacher Salaries","Average Teacher Salary","83054.0","Amount"
"2020","01620000","Lunenburg","Teacher Salaries","Teacher FTE","107.4","Count"
"2020","01620000","Lunenburg","Teacher Salaries","Teachers per 100 FTE students","6.5","Count"
"2020","01620000","Lunenburg","Other Staff","Instructional Coach FTE","1.0","Count"
"2020","01620000","Lunenburg","Other Staff","Instructional Support FTE","5.9","Count"
"2020","01620000","Lunenburg","Other Staff","Paraprofessional FTE","57.0","Count"
"2020","01620000","Lunenburg","Other Staff","Special Education Instructional Support FTE","2.0","Count"
"2020","01620000","Lunenburg","Expenditures Per Pupil","Administration","674.0","Amount"
"2020","01620000","Lunenburg","Expenditures Per Pupil","Guidance, Counseling and Testing","472.0","Amount"
"2020","01620000","Lunenburg","Expenditures Per Pupil","Instructional Leadership","728.0","Amount"
"2020","01620000","Lunenburg","Expenditures Per Pupil","Instructional Materials, Equipment and Technology","143.0","Amount"
"2020","01620000","Lunenburg","Expenditures Per Pupil","Insurance, Retirement Programs and Other","2576.0","Amount"
"2020","01620000","Lunenburg","Expenditures Per Pupil","Operations and Maintenance","991.0","Amount"
"2020","01620000","Lunenburg","Expenditures Per Pupil","Other Teaching Services","1334.0","Amount"
"2020","01620000","Lunenburg","Expenditures Per Pupil","Professional Development","74.0","Amount"
"2020","01620000","Lunenburg","Expenditures Per Pupil","Pupil Services","1060.0","Amount"
"2020","01620000","Lunenburg","Expenditures Per Pupil","Teachers","5394.0","Amount"
"2020","01620000","Lunenburg","Expenditures Per Pupil","Total Expenditures","13797.0","Amount"
"2020","01620000","Lunenburg","Expenditures Per Pupil","Total In-District Expenditures","13446.0","Amount"
"2019","01620000","Lunenburg","Student Enrollment","In-District FTE Pupils","1654.0","Count"
"2019","01620000","Lunenburg","Student Enrollment","Out-of-District FTE Pupils","130.4","Count"
"2019","01620000","Lunenburg","Student Enrollment","Total FTE Pupils","1784.4","Count"
"2019","01620000","Lunenburg","Student Demographics","English learner % Headcount","1.5","Percent"
"2019","01620000","Lunenburg","Student Demographics","Low-Income % Headcount","16.7","Percent"
"2019","01620000","Lunenburg","Student Demographics","Student Headcount","1649.0","Count"
"2019","01620000","Lunenburg","Student Demographics","Students with disabilities % Headcount","16.7","Percent"
"2019","01620000","Lunenburg","Teacher Salaries","Average Teacher Salary","77908.0","Amount"
"2019","01620000","Lunenburg","Teacher Salaries","Teacher FTE","110.5","Count"
"2019","01620000","Lunenburg","Teacher Salaries","Teachers per 100 FTE students","6.7","Count"
"2019","01620000","Lunenburg","Other Staff","Instructional Coach FTE","0.0","Count"
"2019","01620000","Lunenburg","Other Staff","Instructional Support FTE","5.4","Count"
"2019","01620000","Lunenburg","Other Staff","Paraprofessional FTE","53.0","Count"
"2019","01620000","Lunenburg","Other Staff","Special Education Instructional Support FTE","2.0","Count"
"2019","01620000","Lunenburg","MCAS Performance","ELA Grade 10 % Meets or Exceeds","77.1","Percent"
"2019","01620000","Lunenburg","MCAS Performance","ELA Grades 3-8 % Meets or Exceeds","47.4","Percent"
"2019","01620000","Lunenburg","MCAS Performance","Math Grade 10 % Meets or Exceeds","71.3","Percent"
"2019","01620000","Lunenburg","MCAS Performance","Math Grades 3-8 % Meets or Exceeds","55.4","Percent"
"2019","01620000","Lunenburg","Expenditures Per Pupil","Administration","571.0","Amount"
"2019","01620000","Lunenburg","Expenditures Per Pupil","Guidance, Counseling and Testing","456.0","Amount"
"2019","01620000","Lunenburg","Expenditures Per Pupil","Instructional Leadership","751.0","Amount"
"2019","01620000","Lunenburg","Expenditures Per Pupil","Instructional Materials, Equipment and Technology","147.0","Amount"
"2019","01620000","Lunenburg","Expenditures Per Pupil","Insurance, Retirement Programs and Other","2843.0","Amount"
"2019","01620000","Lunenburg","Expenditures Per Pupil","Operations and Maintenance","967.0","Amount"
"2019","01620000","Lunenburg","Expenditures Per Pupil","Other Teaching Services","1322.0","Amount"
